stock_id,stock_name,industry,market,industry_source
1240,茂生農經,農業科技,TPEX,official_tpex
1259,安心,觀光餐旅,TPEX,official_tpex
1264,德麥,食品工業,TPEX,official_tpex
1268,漢來美食,觀光餐旅,TPEX,official_tpex
1294,漢田生技,食品工業,TPEX,official_tpex
1295,生合,食品工業,TPEX,official_tpex
1336,台翰,電子零組件業,TPEX,official_tpex
1565,精華,生技醫療業,TPEX,official_tpex
1569,濱川,電腦及週邊設備業,TPEX,official_tpex
1570,力肯,電機機械,TPEX,official_tpex
1580,新麥,電機機械,TPEX,official_tpex
1584,精剛,其他業,TPEX,official_tpex
1586,和勤,電機機械,TPEX,official_tpex
1591,駿吉-KY,電機機械,TPEX,official_tpex
1593,祺驊,運動休閒,TPEX,official_tpex
1595,川寶,半導體業,TPEX,official_tpex
1599,宏佳騰,電機機械,TPEX,official_tpex
1742,台蠟,化學工業,TPEX,official_tpex
1777,生泰,生技醫療業,TPEX,official_tpex
1781,合世,生技醫療業,TPEX,official_tpex
1784,訊聯,生技醫療業,TPEX,official_tpex
1785,光洋科,其他電子業,TPEX,official_tpex
1788,杏昌,生技醫療業,TPEX,official_tpex
1796,金穎生技,食品工業,TPEX,official_tpex
1799,易威,生技醫療業,TPEX,official_tpex
1813,寶利徠,生技醫療業,TPEX,official_tpex
1815,富喬,電子零組件業,TPEX,official_tpex
2035,唐榮公司,鋼鐵工業,TPEX,official_tpex
2061,風青,電器電纜,TPEX,official_tpex
2063,世鎧精密,鋼鐵工業,TPEX,official_tpex
2064,晉椿,鋼鐵工業,TPEX,official_tpex
2065,世豐,鋼鐵工業,TPEX,official_tpex
2066,世德,電機機械,TPEX,official_tpex
2067,嘉鋼,電機機械,TPEX,official_tpex
2070,精湛,電機機械,TPEX,official_tpex
2073,雄順,鋼鐵工業,TPEX,official_tpex
2221,大甲,其他業,TPEX,official_tpex
2230,泰茂,居家生活,TPEX,official_tpex
2235,謚源,電機機械,TPEX,official_tpex
2596,綠意,建材營造,TPEX,official_tpex
2640,大車隊,數位雲端,TPEX,official_tpex
2641,正德,航運業,TPEX,official_tpex
2643,捷迅,航運業,TPEX,official_tpex
2718,全心投控,建材營造,TPEX,official_tpex
2719,燦星旅,觀光餐旅,TPEX,official_tpex
2724,藝舍-KY,其他業,TPEX,official_tpex
2726,雅茗-KY,觀光餐旅,TPEX,official_tpex
2729,瓦城,觀光餐旅,TPEX,official_tpex
2732,六角,觀光餐旅,TPEX,official_tpex
2734,易飛網,觀光餐旅,TPEX,official_tpex
2736,富野,觀光餐旅,TPEX,official_tpex
2740,華軒,觀光餐旅,TPEX,official_tpex
2743,山富,觀光餐旅,TPEX,official_tpex
2745,五福,觀光餐旅,TPEX,official_tpex
2751,王座,觀光餐旅,TPEX,official_tpex
2752,豆府,觀光餐旅,TPEX,official_tpex
2754,亞洲藏壽司,觀光餐旅,TPEX,official_tpex
2755,揚秦,觀光餐旅,TPEX,official_tpex
2756,聯發國際,觀光餐旅,TPEX,official_tpex
2916,滿心,居家生活,TPEX,official_tpex
2924,宏太-KY,居家生活,TPEX,official_tpex
2926,誠品生活,文化創意業,TPEX,official_tpex
2937,集雅社,居家生活,TPEX,official_tpex
2941,米斯特,居家生活,TPEX,official_tpex
2947,振宇五金,居家生活,TPEX,official_tpex
2948,寶陞,居家生活,TPEX,official_tpex
2949,欣新網,數位雲端,TPEX,official_tpex
3064,泰偉,文化創意業,TPEX,official_tpex
3066,李洲,光電業,TPEX,official_tpex
3067,全域,居家生活,TPEX,official_tpex
3071,協禧,電腦及週邊設備業,TPEX,official_tpex
3073,天方能源,綠能環保,TPEX,official_tpex
3078,僑威,電子零組件業,TPEX,official_tpex
3081,聯亞,通信網路業,TPEX,official_tpex
3083,網龍,文化創意業,TPEX,official_tpex
3085,新零售,數位雲端,TPEX,official_tpex
3086,華義*,文化創意業,TPEX,official_tpex
3088,艾訊,電腦及週邊設備業,TPEX,official_tpex
3093,港建*,其他電子業,TPEX,official_tpex
3095,及成,通信網路業,TPEX,official_tpex
3105,穩懋,半導體業,TPEX,official_tpex
3114,好德,電子零組件業,TPEX,official_tpex
3115,富榮綱,電子零組件業,TPEX,official_tpex
3118,進階,生技醫療業,TPEX,official_tpex
3122,笙泉,半導體業,TPEX,official_tpex
3128,昇銳,光電業,TPEX,official_tpex
3131,弘塑,半導體業,TPEX,official_tpex
3141,晶宏,半導體業,TPEX,official_tpex
3147,大綜,資訊服務業,TPEX,official_tpex
3152,璟德,通信網路業,TPEX,official_tpex
3158,嘉實,資訊服務業,TPEX,official_tpex
3162,精確,電機機械,TPEX,official_tpex
3163,波若威,通信網路業,TPEX,official_tpex
3169,亞信,半導體業,TPEX,official_tpex
3171,炎洲流通,居家生活,TPEX,official_tpex
3176,基亞,生技醫療業,TPEX,official_tpex
3178,公準,半導體業,TPEX,official_tpex
3188,鑫龍騰,建材營造,TPEX,official_tpex
3191,雲嘉南,電子零組件業,TPEX,official_tpex
3205,佰研,生技醫療業,TPEX,official_tpex
3206,志豐,電子零組件業,TPEX,official_tpex
3207,耀勝,電子零組件業,TPEX,official_tpex
3211,順達,電腦及週邊設備業,TPEX,official_tpex
3213,茂訊,電腦及週邊設備業,TPEX,official_tpex
3217,優群,電子零組件業,TPEX,official_tpex
3218,大學光,生技醫療業,TPEX,official_tpex
3219,倚強科,其他電子業,TPEX,official_tpex
3221,台嘉碩,通信網路業,TPEX,official_tpex
3224,三顧,電子通路業,TPEX,official_tpex
3226,龍鋒,電機機械,TPEX,official_tpex
3227,原相,半導體業,TPEX,official_tpex
3228,金麗科,半導體業,TPEX,official_tpex
3230,錦明,光電業,TPEX,official_tpex
3232,昱捷,電子通路業,TPEX,official_tpex
3234,光環,通信網路業,TPEX,official_tpex
3236,千如,電子零組件業,TPEX,official_tpex
3252,海灣,觀光餐旅,TPEX,official_tpex
3259,鑫創,半導體業,TPEX,official_tpex
3260,威剛,半導體業,TPEX,official_tpex
3264,欣銓,半導體業,TPEX,official_tpex
3265,台星科,半導體業,TPEX,official_tpex
3268,海德威,半導體業,TPEX,official_tpex
3272,東碩,電腦及週邊設備業,TPEX,official_tpex
3276,宇環,電子零組件業,TPEX,official_tpex
3284,太普高,其他業,TPEX,official_tpex
3285,微端,其他電子業,TPEX,official_tpex
3287,廣寰科,電腦及週邊設備業,TPEX,official_tpex
3288,點晶,電子零組件業,TPEX,official_tpex
3289,宜特,其他電子業,TPEX,official_tpex
3290,東浦,電子零組件業,TPEX,official_tpex
3293,鈊象,文化創意業,TPEX,official_tpex
3294,英濟,電子零組件業,TPEX,official_tpex
3297,杭特,光電業,TPEX,official_tpex
3303,岱稜,其他電子業,TPEX,official_tpex
3306,鼎天,通信網路業,TPEX,official_tpex
3310,佳穎,電子零組件業,TPEX,official_tpex
3313,斐成,建材營造,TPEX,official_tpex
3317,尼克森,半導體業,TPEX,official_tpex
3322,建舜電,電子零組件業,TPEX,official_tpex
3323,加百裕,電腦及週邊設備業,TPEX,official_tpex
3324,雙鴻,其他電子業,TPEX,official_tpex
3325,旭品,電腦及週邊設備業,TPEX,official_tpex
3332,幸康,電子零組件業,TPEX,official_tpex
3339,泰谷,光電業,TPEX,official_tpex
3349,寶德,電腦及週邊設備業,TPEX,official_tpex
