stock_id,stock_name,theme,rows,start_date,end_date,file_path
1101,台泥,,10,20260430,20260703,data/tdcc_stock_history/1101.csv
1102,亞泥,,11,20260430,20260709,data/tdcc_stock_history/1102.csv
1103,嘉泥,,10,20260430,20260703,data/tdcc_stock_history/1103.csv
1104,環泥,,10,20260430,20260703,data/tdcc_stock_history/1104.csv
1108,幸福,,10,20260430,20260703,data/tdcc_stock_history/1108.csv
1109,信大,,10,20260430,20260703,data/tdcc_stock_history/1109.csv
1110,東泥,,10,20260430,20260703,data/tdcc_stock_history/1110.csv
1201,味全,,10,20260430,20260703,data/tdcc_stock_history/1201.csv
1203,味王,,10,20260430,20260703,data/tdcc_stock_history/1203.csv
1210,大成,,10,20260430,20260703,data/tdcc_stock_history/1210.csv
1213,大飲,,10,20260430,20260703,data/tdcc_stock_history/1213.csv
1215,卜蜂,,10,20260430,20260703,data/tdcc_stock_history/1215.csv
1216,統一,,10,20260430,20260703,data/tdcc_stock_history/1216.csv
1217,愛之味,,33,20251121,20260709,data/tdcc_stock_history/1217.csv
1218,泰山,,10,20260430,20260703,data/tdcc_stock_history/1218.csv
1219,福壽,,10,20260430,20260703,data/tdcc_stock_history/1219.csv
1220,台榮,,10,20260430,20260703,data/tdcc_stock_history/1220.csv
1225,福懋油,,10,20260430,20260703,data/tdcc_stock_history/1225.csv
1227,佳格,,10,20260430,20260703,data/tdcc_stock_history/1227.csv
1229,聯華,,10,20260430,20260703,data/tdcc_stock_history/1229.csv
1231,聯華食,,10,20260430,20260703,data/tdcc_stock_history/1231.csv
1232,大統益,,10,20260430,20260703,data/tdcc_stock_history/1232.csv
1233,天仁,,33,20251121,20260709,data/tdcc_stock_history/1233.csv
1234,黑松,,10,20260430,20260703,data/tdcc_stock_history/1234.csv
1235,興泰,,10,20260430,20260703,data/tdcc_stock_history/1235.csv
1236,宏亞,,10,20260430,20260703,data/tdcc_stock_history/1236.csv
1240,茂生農經,,10,20260430,20260703,data/tdcc_stock_history/1240.csv
1256,鮮活果汁-KY,,10,20260430,20260703,data/tdcc_stock_history/1256.csv
1259,安心,,10,20260430,20260703,data/tdcc_stock_history/1259.csv
1264,德麥,,10,20260430,20260703,data/tdcc_stock_history/1264.csv
1268,漢來美食,,10,20260430,20260703,data/tdcc_stock_history/1268.csv
1294,漢田生技,,10,20260430,20260703,data/tdcc_stock_history/1294.csv
1295,生合,,10,20260430,20260703,data/tdcc_stock_history/1295.csv
