event_name,index_id,index_name,event_group,sample_count,mature_d1_count,avg_ret_d1,median_ret_d1,win_rate_d1,baseline_ret_d1,lift_vs_baseline_d1,relative_win_rate_d1,avg_mfe_d1,avg_mae_d1,avg_max_drawdown_d1,avg_time_to_peak_d1,avg_time_to_trough_d1,mature_d3_count,avg_ret_d3,median_ret_d3,win_rate_d3,baseline_ret_d3,lift_vs_baseline_d3,relative_win_rate_d3,avg_mfe_d3,avg_mae_d3,avg_max_drawdown_d3,avg_time_to_peak_d3,avg_time_to_trough_d3,mature_d5_count,avg_ret_d5,median_ret_d5,win_rate_d5,baseline_ret_d5,lift_vs_baseline_d5,relative_win_rate_d5,avg_mfe_d5,avg_mae_d5,avg_max_drawdown_d5,avg_time_to_peak_d5,avg_time_to_trough_d5,mature_d10_count,avg_ret_d10,median_ret_d10,win_rate_d10,baseline_ret_d10,lift_vs_baseline_d10,relative_win_rate_d10,avg_mfe_d10,avg_mae_d10,avg_max_drawdown_d10,avg_time_to_peak_d10,avg_time_to_trough_d10,mature_d20_count,avg_ret_d20,median_ret_d20,win_rate_d20,baseline_ret_d20,lift_vs_baseline_d20,relative_win_rate_d20,avg_mfe_d20,avg_mae_d20,avg_max_drawdown_d20,avg_time_to_peak_d20,avg_time_to_trough_d20,mature_d40_count,avg_ret_d40,median_ret_d40,win_rate_d40,baseline_ret_d40,lift_vs_baseline_d40,relative_win_rate_d40,avg_mfe_d40,avg_mae_d40,avg_max_drawdown_d40,avg_time_to_peak_d40,avg_time_to_trough_d40,mature_d60_count,avg_ret_d60,median_ret_d60,win_rate_d60,baseline_ret_d60,lift_vs_baseline_d60,relative_win_rate_d60,avg_mfe_d60,avg_mae_d60,avg_max_drawdown_d60,avg_time_to_peak_d60,avg_time_to_trough_d60,best_horizon,worst_horizon,sample_status
composite_bull_confirmation,TPEX,TPEx,composite_signal,2,2,0.09814075523837396,0.09814075523837396,50.0,0.2129853975278133,-0.11484464228943936,50.0,1.469270297090941,-1.1575791840800098,-1.3799829604053626,1.0,1.0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,D+1,D+1,D+1:insufficient_sample;D+3:pending_only;D+5:pending_only;D+10:pending_only;D+20:pending_only;D+40:pending_only;D+60:pending_only
composite_bull_confirmation,TWSE,TAIEX,composite_signal,75,74,0.36183562865239377,0.3515343674179938,60.810810810810814,0.2500452322221123,0.11179039643028149,51.35135135135135,0.9678328132871528,-0.4014495080072548,-0.5520408248847165,1.0,1.0,72,0.7059576668563339,0.6442425933936069,65.27777777777779,0.6961710311803675,0.009786635675966382,47.22222222222222,1.8819134764556493,-1.0091238923053278,-1.1216806022183303,2.2777777777777777,1.6805555555555556,70,0.9133586817815617,0.9467499238472232,64.28571428571429,1.1058425102005682,-0.19248382841900658,44.285714285714285,2.4514059192945568,-1.485696614746372,-1.5774770789601185,3.742857142857143,2.3142857142857145,68,2.1566770028554494,2.0059619417745034,69.11764705882352,2.2214392706742925,-0.06476226781884309,47.05882352941176,3.860634147170245,-2.142505394020489,-2.2154450549823648,7.514705882352941,4.176470588235294,66,5.174330995185348,4.895501066839203,86.36363636363636,4.432853555105583,0.7414774400797643,53.03030303030303,7.467963246423555,-2.2973202630172076,-2.3580856445233596,16.5,5.090909090909091,57,8.323405037241638,9.329077503265637,100.0,7.813937866218789,0.5094671710228491,56.14035087719298,11.621980492915332,-2.7025824745822424,-2.7515527300570226,33.19298245614035,8.210526315789474,57,15.748923016476521,14.666760908801013,100.0,14.522066624176128,1.2268563923003928,52.63157894736842,17.575410778866754,-2.7025824745822424,-2.7515527300570226,54.26315789473684,8.210526315789474,D+60,D+1,D+1:ok;D+3:ok;D+5:ok;D+10:ok;D+20:ok;D+40:ok;D+60:ok
kd_high_death_cross,TPEX,TPEx,kd_stochastic,17,17,-0.2126883145771703,-0.07498393201456066,47.05882352941176,0.2129853975278133,-0.4256737121049836,41.17647058823529,0.9900460219049073,-0.9833642247216606,-1.0668868061722299,1.0,1.0,17,0.321217237990642,0.8367095296811566,58.82352941176471,0.6109532379556696,-0.2897359999650276,52.94117647058824,1.6580121606471017,-1.6802069367692751,-1.7503702731028916,2.1176470588235294,1.588235294117647,17,1.6496825334374225,1.3402437543021506,82.35294117647058,1.052821667361058,0.5968608660763646,58.82352941176471,2.641653273617268,-1.6878890344940924,-1.7503702731028916,3.823529411764706,1.7647058823529411,17,2.974117297631946,2.851685086642086,76.47058823529412,2.523126155236303,0.450991142395643,64.70588235294117,4.881493424757671,-2.1903973066622378,-2.2120504177658087,7.588235294117647,4.0,16,4.6785678027881055,4.030708534667438,81.25,4.5347876741069895,0.143780128681116,43.75,7.867373111564586,-2.2685779585850483,-2.2742816837779527,13.5,5.375,15,7.7948423336146755,9.291854277527612,86.66666666666667,6.567869176928251,1.2269731566864248,53.333333333333336,11.635870620216906,-4.144089644099488,-4.150173617638585,26.333333333333332,10.866666666666667,14,14.72305868247354,8.85212630000668,92.85714285714286,12.24124476437591,2.4818139180976306,42.857142857142854,17.978418631054023,-4.672665026135048,-4.672924144510686,45.285714285714285,15.857142857142858,D+60,D+1,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
kd_high_death_cross,TWSE,TAIEX,kd_stochastic,29,29,0.3258045283004781,0.6182749177066738,65.51724137931035,0.2500452322221123,0.07575929607836585,62.06896551724138,0.9937813320720428,-0.39046546077696986,-0.5988491294089715,1.0,1.0,29,0.5360499609862778,0.3375233767888064,55.172413793103445,0.6961710311803675,-0.16012107019408972,41.37931034482759,1.7478192129504488,-1.0087040057555958,-1.1728541565055564,2.1724137931034484,1.6896551724137931,29,0.7021502665911054,0.6934453269549223,58.620689655172406,1.1058425102005682,-0.4036922436094629,41.37931034482759,2.316672656164022,-1.3699085150017662,-1.526046109253641,3.5172413793103448,2.3793103448275863,29,2.1446855724335125,2.926189059297246,68.96551724137932,2.2214392706742925,-0.07675369824077993,55.172413793103445,3.987906326005708,-1.8610994692800282,-1.9574652778753716,7.655172413793103,4.275862068965517,28,3.655278952123711,3.8126771157608763,82.14285714285714,4.432853555105583,-0.7775746029818724,42.857142857142854,6.077177111354252,-2.1726048054490237,-2.259430170638711,14.964285714285714,5.857142857142857,27,5.4576679238474055,7.1455332771703794,92.5925925925926,7.813937866218789,-2.3562699423713838,40.74074074074074,9.726236320001362,-3.873868608495312,-3.9399254488596522,28.814814814814813,10.25925925925926,27,14.214393037016986,14.581712010177883,85.18518518518519,14.522066624176128,-0.30767358715914206,51.85185185185185,17.014822132924117,-4.094132161371671,-4.160189001736011,51.0,12.703703703703704,D+60,D+1,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:ok;D+60:ok
kd_low_golden_cross,TPEX,TPEx,kd_stochastic,6,6,-0.07282585166621762,-0.08572958005449993,50.0,0.2129853975278133,-0.28581124919403095,50.0,1.301879829481345,-0.6592734471953077,-0.8149279786556921,1.0,1.0,6,1.5241471304723866,0.661373595115422,100.0,0.6109532379556696,0.913193892516717,50.0,2.2291445370909546,-0.6592734471953077,-0.8149279786556921,2.6666666666666665,1.0,6,2.063405985803859,2.762864168162227,83.33333333333334,1.052821667361058,1.010584318442801,66.66666666666666,3.2398253675302655,-0.882991575709685,-1.0386461071700694,4.5,1.6666666666666667,6,2.7507373858891775,2.5924561357033693,83.33333333333334,2.523126155236303,0.22761123065287459,50.0,3.9095818242483684,-1.0681122345764664,-1.1456951353156626,7.0,4.166666666666667,6,4.2617735896817015,4.3732911555541705,83.33333333333334,4.5347876741069895,-0.27301408442528796,50.0,5.693176300998078,-2.0305552467789902,-2.104454743463498,13.166666666666666,7.166666666666667,6,8.757764260133284,7.841150267618802,100.0,6.567869176928251,2.189895083205033,50.0,10.69735872229131,-2.0305552467789902,-2.104454743463498,32.833333333333336,7.166666666666667,6,9.639932429156287,11.777218207102123,66.66666666666666,12.24124476437591,-2.601312335219623,33.33333333333333,14.687677071139227,-6.0668309743637705,-6.140730471048278,47.666666666666664,14.5,D+60,D+1,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
kd_low_golden_cross,TWSE,TAIEX,kd_stochastic,4,4,0.4270056472148176,1.2700142038216677,75.0,0.2500452322221123,0.17696041499270532,75.0,0.8424466158020671,-1.487896701632016,-1.7047887431356017,1.0,1.0,4,1.6156494767337048,1.9117562474387673,75.0,0.6961710311803675,0.9194784455533374,75.0,2.1799676563087313,-1.763377145041034,-1.903648256586482,2.75,1.25,4,1.1547031341944485,1.1249764503061033,75.0,1.1058425102005682,0.04886062399388025,50.0,2.677064868370016,-1.763377145041034,-1.903648256586482,3.75,1.25,4,0.5387425723775845,1.9332939385945713,75.0,2.2214392706742925,-1.682696698296708,50.0,3.4674768775939833,-3.1725851294415133,-3.312856240986961,7.0,3.25,4,0.8612082669709251,2.6747738958123324,75.0,4.432853555105583,-3.5716452881346585,50.0,5.432473727214432,-7.002987374065162,-7.14325848561061,13.25,4.5,4,11.563084731142155,15.023217427762958,75.0,7.813937866218789,3.7491468649233655,75.0,12.758697243576027,-7.002987374065162,-7.14325848561061,28.5,4.5,4,18.624814483527526,22.792609641948616,75.0,14.522066624176128,4.102747859351398,75.0,20.883820508061053,-7.002987374065162,-7.14325848561061,58.75,4.5,D+60,D+1,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
index_new_high_but_ma20_breadth_down,TPEX,TPEx,market_breadth,8,8,0.6193524976435563,0.7551847736154693,87.5,0.2129853975278133,0.40636710011574295,87.5,1.062726750669435,-0.19111392295351887,-0.34013763543101344,1.0,1.0,8,0.3657721862403429,0.9616722929500776,75.0,0.6109532379556696,-0.24518105171532667,62.5,2.1309501698397932,-0.6369723035328081,-0.7191668609195608,2.625,1.625,8,-0.7790535961722205,-0.2591916434680597,50.0,1.052821667361058,-1.8318752635332785,37.5,2.589129101529264,-2.0323569947001947,-2.041463135881806,3.75,3.5,8,2.611811121831058,3.495847647828687,75.0,2.523126155236303,0.08868496659475511,75.0,4.117796114273567,-2.7379847569313176,-2.747090898112929,8.125,5.25,7,6.359801932762646,7.113385047037468,100.0,4.5347876741069895,1.8250142586556564,71.42857142857143,8.51012063998381,-2.108980938393961,-2.119387956887231,19.285714285714285,5.142857142857143,7,6.749051511186048,6.666448273602832,100.0,6.567869176928251,0.18118233425779717,57.14285714285714,11.64313515631243,-2.108980938393961,-2.119387956887231,30.142857142857142,5.142857142857143,7,18.42709721242145,24.01172893136403,100.0,12.24124476437591,6.185852448045541,57.14285714285714,21.23435358546164,-2.337867442652048,-2.3482744611453183,45.57142857142857,12.857142857142858,D+60,D+5,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
index_new_high_but_ma20_breadth_down,TWSE,TAIEX,market_breadth,15,15,0.47943728799942015,0.32229390914260136,66.66666666666666,0.2500452322221123,0.22939205577730787,53.333333333333336,1.0653378839953282,-0.10775367390204312,-0.3341437575489888,1.0,1.0,15,1.3221302740036776,0.8487283192448736,80.0,0.6961710311803675,0.6259592428233101,53.333333333333336,2.3298355416335235,-0.5381315448230224,-0.602554141794429,2.4,1.6,15,1.0637599158381177,0.42817476280649913,66.66666666666666,1.1058425102005682,-0.04208259436245054,46.666666666666664,2.7729053968620576,-1.2529207464242664,-1.2803653893426983,4.133333333333334,2.7333333333333334,15,2.205838363694951,2.117631484812388,80.0,2.2214392706742925,-0.015600906979341467,46.666666666666664,4.092006334998983,-2.110163048211886,-2.1203252287879666,7.266666666666667,5.466666666666667,15,4.647613899557507,3.965663631817895,80.0,4.432853555105583,0.21476034445192393,46.666666666666664,8.200407295823933,-2.3736374227276285,-2.3837996033037085,16.133333333333333,6.4,12,6.964885056899892,6.5461258177529125,100.0,7.813937866218789,-0.8490528093188976,50.0,11.660883799333076,-2.953081209842819,-2.965783935562919,29.083333333333332,10.916666666666666,12,18.668588479845237,18.242647667807365,100.0,14.522066624176128,4.146521855669109,66.66666666666666,20.01873987855532,-2.953081209842819,-2.965783935562919,54.333333333333336,10.916666666666666,D+60,D+1,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
macd_dif_low_cross_signal,TPEX,TPEx,momentum,6,6,0.5126712910583956,0.6759257375841377,66.66666666666666,0.2129853975278133,0.2996858935305823,66.66666666666666,0.8233353052460682,-0.09445657265050127,-0.16406754009483474,1.0,1.0,6,0.04578719344708141,-0.08819760300766699,50.0,0.6109532379556696,-0.5651660445085882,33.33333333333333,1.5022315137288096,-1.1152694639907517,-1.176249668741227,1.6666666666666667,1.8333333333333333,6,0.008183409129329059,0.6004685934023701,66.66666666666666,1.052821667361058,-1.0446382582317288,33.33333333333333,1.8524486724566078,-1.6660626427870326,-1.7270428475375077,2.5,2.3333333333333335,6,1.4452411806690344,1.9160219138939727,66.66666666666666,2.523126155236303,-1.0778849745672685,33.33333333333333,2.920764280572348,-1.8319646050961798,-1.8929448098466548,7.333333333333333,3.1666666666666665,6,2.6540809763191864,3.7786324574087593,66.66666666666666,4.5347876741069895,-1.880706697787803,33.33333333333333,4.4127871249478074,-2.377477563793921,-2.4210321179867766,13.166666666666666,5.333333333333333,6,0.8599163936838773,-0.8006224423592112,50.0,6.567869176928251,-5.707952783244373,33.33333333333333,7.522399991741476,-4.981646578335784,-5.000559107886613,29.5,18.166666666666668,6,-2.8769634862562854,-9.531805345877492,33.33333333333333,12.24124476437591,-15.118208250632195,16.666666666666664,8.868528613640285,-15.332839782005122,-15.35175231155595,36.833333333333336,36.0,D+20,D+60,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
macd_dif_low_cross_signal,TWSE,TAIEX,momentum,2,2,-0.8474625231732036,-0.8474625231732036,0.0,0.2500452322221123,-1.0975077553953159,0.0,0.15863018019184882,-0.9022368954117621,-0.9022368954117621,1.0,1.0,2,-0.5296215178290986,-0.5296215178290986,50.0,0.6961710311803675,-1.225792549009466,50.0,1.9720205979619987,-2.4979670086106354,-2.4979670086106354,2.0,2.0,2,0.19989835354621288,0.19989835354621288,50.0,1.1058425102005682,-0.9059441566543553,50.0,2.812480762725267,-4.35928548162684,-4.35928548162684,3.0,2.5,2,-3.6411335228671624,-3.6411335228671624,50.0,2.2214392706742925,-5.862572793541455,50.0,4.936895874050385,-11.966929469757865,-11.966929469757865,5.0,5.0,2,0.059610271567539286,0.059610271567539286,50.0,4.432853555105583,-4.373243283538044,50.0,7.472617262918924,-11.966929469757865,-11.966929469757865,9.5,5.0,2,7.112539144144565,7.112539144144565,50.0,7.813937866218789,-0.7013987220742246,50.0,9.083612646616356,-11.966929469757865,-11.966929469757865,18.0,5.0,2,9.08730703822605,9.08730703822605,50.0,14.522066624176128,-5.4347595859500775,50.0,10.910441834369523,-11.966929469757865,-11.966929469757865,56.0,5.0,D+60,D+10,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
macd_hist_turn_positive,TPEX,TPEx,momentum,16,16,0.3870891402012834,0.4962702906443406,62.5,0.2129853975278133,0.17410374267347006,56.25,1.0421513367995225,-0.20600492761433525,-0.26122292875127157,1.0,1.0,16,0.32387002119767044,0.2503031659552901,56.25,0.6109532379556696,-0.28708321675799914,43.75,1.9119073182781485,-0.9697903637543428,-1.0197765536927292,2.0625,1.625,16,0.2414186449987581,0.3582911568250413,56.25,1.052821667361058,-0.8114030223622999,31.25,2.2845245849921922,-1.7337358078183347,-1.762281872290267,2.875,2.75,15,1.6371084148105184,0.21228663027468286,53.333333333333336,2.523126155236303,-0.8860177404257845,26.666666666666668,3.613719996901688,-2.619630301739766,-2.650079437176494,5.533333333333333,4.466666666666667,15,4.054028831251554,3.537284894837489,60.0,4.5347876741069895,-0.480758842855435,33.33333333333333,5.958012838396588,-2.9181140935198453,-2.941592968733525,12.933333333333334,6.8,14,5.593600468175912,4.016501542458872,64.28571428571429,6.567869176928251,-0.974268708752339,42.857142857142854,10.55527737933536,-4.766191606287634,-4.774296976095132,28.5,16.0,13,4.774130708363986,8.452855809216665,53.84615384615385,12.24124476437591,-7.4671140560119245,23.076923076923077,11.420187729380725,-9.663173553344272,-9.671902413136962,41.38461538461539,24.615384615384617,D+40,D+5,D+1:insufficient_sample;D+3:insufficient_sample;D+5:insufficient_sample;D+10:insufficient_sample;D+20:insufficient_sample;D+40:insufficient_sample;D+60:insufficient_sample
