trade_date,stock_id,stock_name,theme,surge_precondition_score,surge_watch_label,reason_summary,risk_flags
20260527,1808,潤隆,other,103.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,1455,集盛,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,2412,中華電,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,3038,全台,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,3045,台灣大,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,3050,鈺德,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,3705,永信,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,5876,上海商銀,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,6605,帝寶,other,100.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,2347,聯強,other,93.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,1319,東陽,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,1737,臺鹽,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2414,精技,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2505,國揚,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2603,長榮,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,4535,至興,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,5306,桂盟,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,5523,豐謙,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,6180,橘子,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,8409,商之器,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,8941,關中,other,92.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2461,光群雷,other,90.0,A_surge_watch,TDCC領先股價；quiet_accumulation；量能溫和,
20260527,4527,方土霖,other,90.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,7718,友鋮,other,90.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,1604,聲寶,other,85.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2035,唐榮,other,85.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,2480,敦陽科,other,85.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2610,華航,other,85.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,2731,雄獅,other,85.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和；風險:failed_breakout,failed_breakout
20260527,2816,旺旺保,other,85.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和；風險:failed_breakout,failed_breakout
20260527,2903,遠百,other,85.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,6534,正瀚-創,other,85.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和,
20260527,6918,愛派司,other,85.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2850,新產,other,83.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,6214,精誠,other,83.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,1233,天仁,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,3313,斐成,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation,
20260527,3413,京鼎,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,3434,哲固,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,4744,皇將,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,5530,龍巖,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,6680,鑫創電子,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation,
20260527,8341,日友,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,8908,欣雄,other,82.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2891,中信金,other,81.0,A_surge_watch,TDCC領先股價；量能溫和,
20260527,6277,宏正,other,80.0,A_surge_watch,quiet_accumulation；靠近MA20；量能溫和,
20260527,1723,中碳,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,1733,五鼎,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,1734,杏輝,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2024,志聯,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
