model_id,pdf_view,pdf_section,pdf_section_zh,row_type,operation_asof_date,operation_source_date_status,display_order,stock_id,stock_name,stock_display,operation_status,operation_status_zh,quality_status_zh,matched_trigger_ids,selected_trigger_id,selected_confirmation_date,selected_trigger_priority,trigger_zh,entry_basis_zh,entry_price_status_zh,stop_basis_zh,exit_rule_zh,operation_score,tdcc_score,pattern_score,risk_penalty,final_rank_score,rank_reason_zh,entry_rule_id,entry_price_basis,entry_date,entry_price,stop_loss_rule_id,stop_loss_price,stop_loss_label_zh,exit_rule_id,planned_holding_days,operation_age_days,signal_date,confirmation_date,pending_age_zh,pending_group_zh,pending_confirmation_zh,same_stock_pending_count,tdcc_status_zh,sample_size,win_rate_zh,neutral_rate_zh,loss_rate_zh,failure_rate_zh,avg_return_zh,median_return_zh,pdf_bonus_combo_id,pdf_bonus_combo_label_zh,pdf_bonus_combo_sample_size,pdf_bonus_combo_win_rate_zh,pdf_bonus_combo_neutral_rate_zh,pdf_bonus_combo_loss_rate_zh,pdf_bonus_combo_failure_rate_zh,pdf_bonus_combo_avg_return_zh,pdf_bonus_combo_median_return_zh,pdf_bonus_combo_source,row_metric_status,row_metric_scope,row_metric_id,row_metric_label_zh,row_metric_matched_add_score_ids,row_metric_sample_size,row_metric_win_rate_zh,row_metric_neutral_rate_zh,row_metric_failure_rate_zh,row_metric_avg_return_zh,row_metric_median_return_zh,row_metric_source,row_metric_selection_status,confidence_zh,evidence_match_status,evidence_tdcc_list_type,evidence_rank_bucket,evidence_confluence_scope,evidence_confluence_id,evidence_key,evidence_out_of_sample_pass,research_score,pdf_note_zh,daily_signal_date,daily_volume_model_signal_count,adapter_source,adapter_source_status,approval_source,approved_for_daily,operation_module_approved_for_daily,approval_status,operation_module_id,approval_version,operation_directive_level,row_action_status,buy_rank_eligible,buy_filter_id,approval_note_zh,adapter_note_zh,generated_at
volume_range_breakout_v2_low_position_volume_attack,highlight,confirmed_operation,本日可買 / 已確認買入候選,data,20260821,ready,1,8103,瀚荃,8103 瀚荃,confirmed_operation,本日可買 / 已確認買入候選,正向證據,next_day_continuation_confirmed,next_day_continuation_confirmed,20260821,3,隔日續強確認,確認日收盤後成立，下一個交易日開盤買入。,尚未到進場日，進場價等待下一個交易日開盤。,收盤連續4天低於MA20/EMA23較低者的4%，隔日開盤停損。,若未觸發停損，固定第15個交易日收盤出場。,4.0,0.0,1.9,0.0,98.7,突破品質 +1.9 | 收近高點 +4,confirmation_next_open,next_open_after_confirmation,,,sustained_close_below_lower_ma20_ema23_4pct_4d,,MA20/EMA23 4日收盤停損,ema23_close_stop_or_fixed_15d_close,15,1,20260820,20260821,,,,1,model_level rank,26,80.77%,0.00%,19.23%,19.23%,28.77%,18.79%,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,research_validated_pending_post_merge_monitoring,positive_model_contract_evidence,model_level,all,model_contract,volume_range_breakout_v2_low_position_volume_attack,model_level|all||model_contract|volume_range_breakout_v2_low_position_volume_attack,not_applicable,98.7,欄位尚未完成 / 暫用現有資料,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,confirmed_buy_candidate,True,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,highlight,active_operation,操作中,data,20260821,ready,1,6152,百一,6152 百一,active_operation,操作中,已進場追蹤,next_day_continuation_confirmed,next_day_continuation_confirmed,20260811,3,隔日續強確認,確認日收盤後成立，下一個交易日開盤買入。,已進場追蹤；進場日 8/12 開盤價 14.9,收盤連續4天低於MA20/EMA23較低者的4%，隔日開盤停損。,若未觸發停損，固定第15個交易日收盤出場。,10.0,0.0,12.5,0.0,100.0,鎖量漲停突破 +16 | 鎖量且量比低於2.0 +4 | 突破品質 +2.5,confirmation_next_open,next_open_after_confirmation,20260812,14.9,sustained_close_below_lower_ma20_ema23_4pct_4d,,MA20/EMA23 4日收盤停損,ema23_close_stop_or_fixed_15d_close,15,9,20260810,20260811,,,,1,model_level rank,26,80.77%,0.00%,19.23%,19.23%,28.77%,18.79%,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,research_validated_pending_post_merge_monitoring,positive_model_contract_evidence,model_level,all,model_contract,volume_range_breakout_v2_low_position_volume_attack,model_level|all||model_contract|volume_range_breakout_v2_low_position_volume_attack,not_applicable,100.0,依模型風險欄位管理,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,active_operation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,confirmed_operation,本日可買 / 已確認買入候選,data,20260821,ready,1,8103,瀚荃,8103 瀚荃,confirmed_operation,本日可買 / 已確認買入候選,正向證據,next_day_continuation_confirmed,next_day_continuation_confirmed,20260821,3,隔日續強確認,確認日收盤後成立，下一個交易日開盤買入。,尚未到進場日，進場價等待下一個交易日開盤。,收盤連續4天低於MA20/EMA23較低者的4%，隔日開盤停損。,若未觸發停損，固定第15個交易日收盤出場。,4.0,0.0,1.9,0.0,98.7,突破品質 +1.9 | 收近高點 +4,confirmation_next_open,next_open_after_confirmation,,,sustained_close_below_lower_ma20_ema23_4pct_4d,,MA20/EMA23 4日收盤停損,ema23_close_stop_or_fixed_15d_close,15,1,20260820,20260821,,,,1,model_level rank,26,80.77%,0.00%,19.23%,19.23%,28.77%,18.79%,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,research_validated_pending_post_merge_monitoring,positive_model_contract_evidence,model_level,all,model_contract,volume_range_breakout_v2_low_position_volume_attack,model_level|all||model_contract|volume_range_breakout_v2_low_position_volume_attack,not_applicable,98.7,欄位尚未完成 / 暫用現有資料,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,confirmed_buy_candidate,True,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,confirmed_unranked_operation,已確認但未列買入,empty_state,20260821,ready,0,,,本日無已確認但未列買入股票,confirmed_unranked_operation,已確認但未列買入,本日無已確認但未列買入股票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_empty_state,,,,,,,,,,,,empty_state,,,,,,,,,,,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,empty_state,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,本日無已確認但未列買入股票,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,pending_confirmation,待確認,data,20260821,ready,1,2489,瑞軒,2489 瑞軒,pending_confirmation,待確認,等待 close-only 確認,,,,,,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,待確認成立後才啟動 MA20/EMA23 4日收盤停損。,待確認成立後才啟動 D+15 固定收盤出場規則。,4.0,0.0,3.0,0.0,100.0,突破品質 +3.0 | 收近高點 +4,pending_confirmation,,,,sustained_close_below_lower_ma20_ema23_4pct_4d_after_confirmation,,,ema23_close_stop_or_fixed_15d_close,15,0,20260821,,今日訊號,新進榜,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,1,欄位尚未完成 / 暫用現有資料,21,47.62,,,,0.12,,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,insufficient_sample,,,,,,,,100.0,欄位尚未完成 / 暫用現有資料,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,pending_confirmation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,pending_confirmation,待確認,data,20260821,ready,1,6881,潤德,6881 潤德,pending_confirmation,待確認,等待 close-only 確認,,,,,,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,待確認成立後才啟動 MA20/EMA23 4日收盤停損。,待確認成立後才啟動 D+15 固定收盤出場規則。,4.0,0.0,3.4,0.0,100.0,突破品質 +3.4 | 收近高點 +4,pending_confirmation,,,,sustained_close_below_lower_ma20_ema23_4pct_4d_after_confirmation,,,ema23_close_stop_or_fixed_15d_close,15,0,20260821,,今日訊號,新進榜,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,1,欄位尚未完成 / 暫用現有資料,21,47.62,,,,0.12,,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,insufficient_sample,,,,,,,,100.0,依模型風險欄位管理,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,pending_confirmation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,pending_confirmation,待確認,data,20260821,ready,2,6796,晉弘,6796 晉弘,pending_confirmation,待確認,等待 close-only 確認,,,,,,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,待確認成立後才啟動 MA20/EMA23 4日收盤停損。,待確認成立後才啟動 D+15 固定收盤出場規則。,0.0,0.0,1.3,0.0,84.6,突破品質 +1.3,pending_confirmation,,,,sustained_close_below_lower_ma20_ema23_4pct_4d_after_confirmation,,,ema23_close_stop_or_fixed_15d_close,15,0,20260821,,今日訊號,新進榜,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,1,欄位尚未完成 / 暫用現有資料,21,47.62,,,,0.12,,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,insufficient_sample,,,,,,,,84.6,依模型風險欄位管理,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,pending_confirmation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,pending_confirmation,待確認,data,20260821,ready,2,6895,宏碩系統,6895 宏碩系統,pending_confirmation,待確認,等待 close-only 確認,,,,,,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,待確認成立後才啟動 MA20/EMA23 4日收盤停損。,待確認成立後才啟動 D+15 固定收盤出場規則。,4.0,0.0,2.5,0.0,94.7,突破品質 +2.5 | 收近高點 +4,pending_confirmation,,,,sustained_close_below_lower_ma20_ema23_4pct_4d_after_confirmation,,,ema23_close_stop_or_fixed_15d_close,15,0,20260821,,今日訊號,新進榜,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,1,欄位尚未完成 / 暫用現有資料,21,47.62,,,,0.12,,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,insufficient_sample,,,,,,,,94.7,依模型風險欄位管理,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,pending_confirmation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,pending_confirmation,待確認,data,20260821,ready,3,6830,汎銓,6830 汎銓,pending_confirmation,待確認,等待 close-only 確認,,,,,,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,待確認成立後才啟動 MA20/EMA23 4日收盤停損。,待確認成立後才啟動 D+15 固定收盤出場規則。,4.0,0.0,1.6,0.0,94.1,突破品質 +1.6 | 收近高點 +4,pending_confirmation,,,,sustained_close_below_lower_ma20_ema23_4pct_4d_after_confirmation,,,ema23_close_stop_or_fixed_15d_close,15,0,20260821,,今日訊號,新進榜,訊號日後等待隔日續攻收盤確認；未確認前不列買入。,1,欄位尚未完成 / 暫用現有資料,21,47.62,,,,0.12,,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,insufficient_sample,,,,,,,,94.1,依模型風險欄位管理,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,pending_confirmation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
volume_range_breakout_v2_low_position_volume_attack,full,active_operation,操作中,data,20260821,ready,1,6152,百一,6152 百一,active_operation,操作中,已進場追蹤,next_day_continuation_confirmed,next_day_continuation_confirmed,20260811,3,隔日續強確認,確認日收盤後成立，下一個交易日開盤買入。,已進場追蹤；進場日 8/12 開盤價 14.9,收盤連續4天低於MA20/EMA23較低者的4%，隔日開盤停損。,若未觸發停損，固定第15個交易日收盤出場。,10.0,0.0,12.5,0.0,100.0,鎖量漲停突破 +16 | 鎖量且量比低於2.0 +4 | 突破品質 +2.5,confirmation_next_open,next_open_after_confirmation,20260812,14.9,sustained_close_below_lower_ma20_ema23_4pct_4d,,MA20/EMA23 4日收盤停損,ema23_close_stop_or_fixed_15d_close,15,9,20260810,20260811,,,,1,model_level rank,26,80.77%,0.00%,19.23%,19.23%,28.77%,18.79%,,,,,,,,,,,unavailable_no_approved_add_score_metric,,,,,,,,,,,,baseline_not_permitted_in_operation_row,research_validated_pending_post_merge_monitoring,positive_model_contract_evidence,model_level,all,model_contract,volume_range_breakout_v2_low_position_volume_attack,model_level|all||model_contract|volume_range_breakout_v2_low_position_volume_attack,not_applicable,100.0,依模型風險欄位管理,20260821,12,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,approved_daily_operation_guidance,active_operation,False,pos120_low_all_shapes_next_day_continuation_d15_stop,低位放量攻擊 升級為正式 daily operation model；模型條件加 close-only 確認就是買入 gate，TDCC、MA60/MA120、EMA23 距離只可作分層或加分，不得作 hidden gate。,由 v2 正式模型條件與 close-only 確認產生；不使用舊 v1 hidden evidence gate。,2026-08-21 20:00:54 Asia/Taipei
