signal_date,report_line,model_id,model_name_zh,model_registry_order,model_group_zh,model_description_zh,new_signal_stock_display,new_stock_display,new_stock_id,new_stock_name,new_signal_model_score,new_model_score,new_signal_rank_label_zh,new_rank_label,display_rank_new_signal,model_rank_new_signal,new_model_rank_new_signal,repeated_signal_stock_display,repeated_stock_display,repeated_stock_id,repeated_stock_name,repeated_signal_model_score,repeated_model_score,repeated_signal_rank_label_zh,repeated_rank_label,display_rank_repeated_signal,model_rank_repeated_signal,repeated_model_rank_repeated_signal,operation_reminder_zh
20260903,mainstream,volume_range_breakout_v2_low_position_volume_attack,低位放量攻擊,1,突破,訊號日收盤突破前60日高點，且120日位階<=40；盤整、非盤整、寬幅震盪三種形態皆可進入候選。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,今日無候選,今日無候選,,,-,-,-,-,-,-,-,-
20260903,mainstream,volume_range_breakout_v2_mid_position_momentum_attack,中位動能放量攻擊,2,突破,訊號日收盤突破前60日高點，且120日位階>40且<=75；形態只收非盤整或寬幅震盪。,3664 安瑞-KY,3664 安瑞-KY,3664,安瑞-KY,98,98,新進榜 #1,新進榜 #1,1,1,1,今日無候選,今日無候選,,,-,-,-,-,-,-,-,等待隔日續攻 close-only 確認；確認後下一交易日開盤買入，MA20/EMA23 4日收盤停損，否則D+15收盤出場。
20260903,mainstream,volume_range_breakout_v2_high_position_volume_attack,高位階放量攻擊,3,突破,訊號日收盤突破前60日高點，120日位階為高位 high_pos_gt75，型態僅收 non_consolidation 或 wide_range，且訊號日 MA60 > MA120。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,6538 倉和,6538 倉和,6538,倉和,96,96,連續榜 #1,連續榜 #1,1,1,1,等待隔日續攻 close-only 確認；確認後下一交易日開盤買入，收盤連續4天低於 MA20/EMA23 較低者 4% 隔日開盤停損，否則 D+15 收盤出場。
20260903,mainstream,price_pullback_23ema,23EMA回檔模型,4,回檔,買入：本表股票為23EMA回檔模型通過候選，隔日開盤買入。賣出：收盤突破訊號日前20日高點後，隔日開盤賣出。停損：收盤連續4天低於MA20/EMA23較低者的4%，隔日開盤停損。基礎模型績效：勝率66.03% / 和局5.60% / 敗率28.36% / 平均報酬+2.90%。技術強勢組合績效：勝率75.54% / 和局3.52% / 敗率20.95% / 平均報酬+2.96%。勝：D+20內先觸發收盤突破訊號日前20日高點，且停損未先觸發。和：D+20內沒有賣出或停損，且D+20收盤報酬大於等於0%。敗：停損先觸發，或D+20內沒有賣出/停損但D+20收盤報酬小於0%。,1597 直得,1597 直得,1597,直得,70,70,新進榜 #1,新進榜 #1,1,1,1,2353 宏碁,2353 宏碁,2353,宏碁,70,70,連續榜 #1,連續榜 #1,1,1,1,回檔模型不要求先突破；若跌破23EMA或支撐且無法快速收回，需降低風險。
20260903,mainstream,hot_theme_pullback,熱門族群回檔模型,5,回檔,必須有熱門族群標籤，且股價回到23EMA或合理支撐區附近；不以營收作為必要條件。,1727 中華化,1727 中華化,1727,中華化,89,89,新進榜 #1,新進榜 #1,1,1,1,2356 英業達,2356 英業達,2356,英業達,88,88,連續榜 #1,連續榜 #1,1,1,1,熱門族群回檔以族群標籤與23EMA附近支撐為主；若族群退潮或跌破支撐需降風險。
20260903,mainstream,revenue_unreacted_range,營收爆發但股價尚未反應模型,6,基本面,凍結 source_mid_falling v2：月營收來源必須 PIT-ready，且當月年增率>=30%、累計年增率>=20%或連續兩個曆月當月年增率均>=15%；source position 固定為40<position_pct<=75，anchor close 相對20個交易日前 close<-5%，EMA23 五日斜率<0%，並在 anchor 後0至60個交易日由未突破轉為收盤突破前20日最高 close，且 MA60>MA120。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,今日無候選,今日無候選,,,-,-,-,-,-,-,-,-
20260903,mainstream,w_bottom_right_side,W底右側模型,7,型態,W底右側初步成立，右側低點墊高，兩側低點高度不能差距過大；左低右高且已創高者不應歸入此模型。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,今日無候選,今日無候選,,,-,-,-,-,-,-,-,-
20260903,mainstream,neckline_volume_breakout_confirmation,W底頸線帶量突破確認模型,8,突破,W底頸線帶量突破確認：股價收盤站上偵測到的W底頸線，並通過量能確認或漲停確認；第二段圓弧均量必須高於第一段基準。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,今日無候選,今日無候選,,,-,-,-,-,-,-,-,-
20260903,mainstream,pullback_short_reclaim,回檔後短線轉強模型,9,短線,前面有漲勢，回檔未破結構，且重新站回23EMA。,2486 一詮,2486 一詮,2486,一詮,72,72,新進榜 #1,新進榜 #1,1,1,1,3035 智原,3035 智原,3035,智原,56,56,連續榜 #1,連續榜 #1,1,1,1,後續看23EMA是否守住與再攻量價是否延續；若跌回23EMA下方且站不回，應降低風險。
20260903,mainstream,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,10,籌碼,TDCC連續增加，股價尚未大漲，且位於近期盤整區間或尚未完全反應；以tdcc_leading_price為主要狀態。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,今日無候選,今日無候選,,,-,-,-,-,-,-,-,-
20260903,mainstream,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,11,籌碼,all_thresholds_overheated或phase_overheated_after_tdcc，搭配MACD/KD/Bollinger與1W/2W漲幅條件。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,3234 光環,3234 光環,3234,光環,75.6,75.6,連續榜 #1,連續榜 #1,1,1,1,以訊號日隔天開盤為進場假設，後續依D+5 / D+10統計結果與價格轉弱條件管理。
20260903,non_mainstream,volume_range_breakout_v2_low_position_volume_attack,低位放量攻擊,1,突破,訊號日收盤突破前60日高點，且120日位階<=40；盤整、非盤整、寬幅震盪三種形態皆可進入候選。,4924 欣厚-KY,4924 欣厚-KY,4924,欣厚-KY,100,100,新進榜 #1,新進榜 #1,1,1,1,今日無候選,今日無候選,,,-,-,-,-,-,-,-,等待隔日續攻 close-only 確認；確認後下一交易日開盤買入，MA20/EMA23 4日收盤停損，否則D+15收盤出場。
20260903,non_mainstream,volume_range_breakout_v2_mid_position_momentum_attack,中位動能放量攻擊,2,突破,訊號日收盤突破前60日高點，且120日位階>40且<=75；形態只收非盤整或寬幅震盪。,今日無候選,今日無候選,,,-,-,-,-,-,-,-,今日無候選,今日無候選,,,-,-,-,-,-,-,-,-
20260903,non_mainstream,volume_range_breakout_v2_high_position_volume_attack,高位階放量攻擊,3,突破,訊號日收盤突破前60日高點，120日位階為高位 high_pos_gt75，型態僅收 non_consolidation 或 wide_range，且訊號日 MA60 > MA120。,2221 大甲,2221 大甲,2221,大甲,72.1,72.1,新進榜 #1,新進榜 #1,1,1,1,今日無候選,今日無候選,,,-,-,-,-,-,-,-,等待隔日續攻 close-only 確認；確認後下一交易日開盤買入，收盤連續4天低於 MA20/EMA23 較低者 4% 隔日開盤停損，否則 D+15 收盤出場。
20260903,non_mainstream,price_pullback_23ema,23EMA回檔模型,4,回檔,買入：本表股票為23EMA回檔模型通過候選，隔日開盤買入。賣出：收盤突破訊號日前20日高點後，隔日開盤賣出。停損：收盤連續4天低於MA20/EMA23較低者的4%，隔日開盤停損。基礎模型績效：勝率66.03% / 和局5.60% / 敗率28.36% / 平均報酬+2.90%。技術強勢組合績效：勝率75.54% / 和局3.52% / 敗率20.95% / 平均報酬+2.96%。勝：D+20內先觸發收盤突破訊號日前20日高點，且停損未先觸發。和：D+20內沒有賣出或停損，且D+20收盤報酬大於等於0%。敗：停損先觸發，或D+20內沒有賣出/停損但D+20收盤報酬小於0%。,1104 環泥,1104 環泥,1104,環泥,70,70,新進榜 #1,新進榜 #1,1,1,1,1102 亞泥,1102 亞泥,1102,亞泥,70,70,連續榜 #1,連續榜 #1,1,1,1,回檔模型不要求先突破；若跌破23EMA或支撐且無法快速收回，需降低風險。
