generated_at,manifest_version,source_id,source_kind,market,industry_schema,source_url,observed_at,source_available_at,availability_precision,statement_scope,period_basis,monetary_unit,per_share_unit,raw_archive_ref,raw_payload_sha256,raw_byte_count,source_row_count,normalized_row_count,dropped_invalid_identity_row_count,fetch_status,archive_status,historical_pit_eligible,current_snapshot_only,notes
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,tpex_banking,official_openapi_current_snapshot,TPEX,banking,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_basi,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://d8dae9286dbf7118990200cf7e955230c971894a761107e3eb4a87752cf5a3eb,d8dae9286dbf7118990200cf7e955230c971894a761107e3eb4a87752cf5a3eb,919,1,0,1,ok,external_content_addressed_archive_verified,False,True,Banking schema is not forced into general-industry margin formulas.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,tpex_financial_holding,official_openapi_current_snapshot,TPEX,financial_holding,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_fh,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://0ebdbd6352cb42e57a0da1d359745a8e4d720b6272b08a8ac995cb4108066157,0ebdbd6352cb42e57a0da1d359745a8e4d720b6272b08a8ac995cb4108066157,855,1,0,1,ok,external_content_addressed_archive_verified,False,True,Financial-holding schema is normalized independently.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,1177379,884,884,0,ok,external_content_addressed_archive_verified,False,True,Current official snapshot cannot establish historical company-level filing availability.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,tpex_insurance,official_openapi_current_snapshot,TPEX,insurance,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ins,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://cdd5370472cee80de5561f30cfb11ef270e6bf2af26b60416bdc0d8ae80c736f,cdd5370472cee80de5561f30cfb11ef270e6bf2af26b60416bdc0d8ae80c736f,904,1,0,1,ok,external_content_addressed_archive_verified,False,True,Insurance schema is normalized independently.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,tpex_other,official_openapi_current_snapshot,TPEX,other,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_mim,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://26ad04020e590008141924d1d1da1681c3f25d57174668237a7c6d0d6f5a4554,26ad04020e590008141924d1d1da1681c3f25d57174668237a7c6d0d6f5a4554,694,1,0,1,ok,external_content_addressed_archive_verified,False,True,Other-industry schema is preserved separately from general industry.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,tpex_securities,official_openapi_current_snapshot,TPEX,securities,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_bd,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://e4e2d4cbb09fd1d69620f9fd3b6696b1811ff0127ac1e60650d84d4786a60b13,e4e2d4cbb09fd1d69620f9fd3b6696b1811ff0127ac1e60650d84d4786a60b13,6753,7,7,0,ok,external_content_addressed_archive_verified,False,True,Securities schema is normalized independently.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,twse_banking,official_openapi_current_snapshot,TWSE,banking,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_basi,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://e157644afddae8a06f2b2aba9fee2f7d8893557a76c136d7107e9d4e3f8b536c,e157644afddae8a06f2b2aba9fee2f7d8893557a76c136d7107e9d4e3f8b536c,10447,10,10,0,ok,external_content_addressed_archive_verified,False,True,Banking schema is not forced into general-industry margin formulas.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,twse_financial_holding,official_openapi_current_snapshot,TWSE,financial_holding,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_fh,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://f8775b7b4a8f9cf97eead58f3aae6ad2f111898a452292cff8cb1bd56010f683,f8775b7b4a8f9cf97eead58f3aae6ad2f111898a452292cff8cb1bd56010f683,13464,13,13,0,ok,external_content_addressed_archive_verified,False,True,Financial-holding schema is normalized independently.
2026-07-16 01:31:57 Asia/Taipei,financial_statement_source_manifest_v1,twse_general,official_openapi_current_snapshot,TWSE,general,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ci,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://70af406fc44ef35a3f32741f810e47d311e12eed4823b88d07119713093b888a,70af406fc44ef35a3f32741f810e47d311e12eed4823b88d07119713093b888a,1401611,1041,1041,0,ok,external_content_addressed_archive_verified,False,True,Current official snapshot cannot establish historical company-level filing availability.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_source_manifest_v1,twse_insurance,official_openapi_current_snapshot,TWSE,insurance,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ins,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,sha256://5d889f11e432fc060680a649806e4c6fd8403144f77a96c02bac5a77d2204fa5,5d889f11e432fc060680a649806e4c6fd8403144f77a96c02bac5a77d2204fa5,6114,6,6,0,ok,external_content_addressed_archive_verified,False,True,Insurance schema is normalized independently.
