generated_at,data_family_id,data_version,source_id,source_kind,market,industry_schema,source_url,raw_archive_ref,raw_payload_sha256,source_row_sha256,source_table_date,source_table_date_raw,observed_at,first_observed_at,source_available_at,availability_precision,pit_status,historical_pit_eligible,research_asof_join_allowed,allowed_for_formal_model_use,fiscal_year,fiscal_year_roc,fiscal_quarter,fiscal_period,statement_scope,period_basis,monetary_unit,per_share_unit,stock_id,stock_name,revision_id,revision_number,revision_count,supersedes_revision_id,is_latest_known_revision,operating_revenue,operating_cost,gross_profit,operating_expenses,operating_income,non_operating_income_expense,pretax_income,income_tax_expense,net_income,parent_net_income,basic_eps,gross_margin_pct,operating_margin_pct,net_margin_pct,margin_derivation_status,metric_completeness_status,source_metric_labels,provenance_status,numerical_anomaly_candidate,numerical_anomaly_triggers,anomaly_disposition,primary_metric_retained,anomaly_evidence_status,coverage_note
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,fe883afbd5eef880c359806a63a463854e6192416318986ae843bd90bcadafd3,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1240,茂生農經,40b95ebba997a17139df8038c0d6b38527d2eadb46b34a75be294c036895d081,1,1,,True,689952,606979,88237,56276,31961,13174,45135,6882,38253,39391,0.89,12.7889,4.6324,5.5443,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,6c2fc852b55f320ac99c61471e6df8ce6b0b1ac89ad79909a10a1d480707c6df,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1259,安心,9b3e708f0aa8b79e1ebd4d6b8c368211800648c5b9b6a10b1b62dfcf55754b71,1,1,,True,1522360,1175806,346554,337622,8932,-6101,2831,798,2033,1827,0.06,22.7643,0.5867,0.1335,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,8efffe75b8671c0aae754c219eee82c275ea271a2c379ff73234cb04de89cf9a,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1264,德麥,c72e9e0275042ecc8336781aa4c457d96b61ce8ce68fc8533ef1d996cfadbac1,1,1,,True,1757903,1173965,583938,287711,296227,7702,303929,69751,234178,203870,5.5,33.2179,16.8512,13.3214,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,5e33a95eed058bd50c94c0bd39b9e631015feac04a59a134ea844c0fc414cb23,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1268,漢來美食,93cd20aed809598205956883c9c64e03218dde4801c2721d3d605ec678f1486f,1,1,,True,1988327,1016193,972134,656334,315800,-5239,310561,62528,248033,248033,5.87,48.8921,15.8827,12.4745,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,521a133046c44297f23c47d31b6abae559b14d84deb5d055c9d1e9230380dfde,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1294,漢田生技,0a0f0b4d932d39f4db76898bb1e812cd3b81a1b4066a7ad89ffa4781ad92abe7,1,1,,True,228051,144137,83914,31142,52772,636,53408,10681,42727,42722,1.41,36.7962,23.1404,18.7357,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,b223399fd94aa5b845db730400436fdceee4758da9d40fd2f9ca051b39f7cdd0,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1295,生合,b3a09528cbd2538e7e873d217226c7cc91d56347ae0a721785aedab491a07525,1,1,,True,214544,112762,101782,87144,14638,2639,17277,3931,13346,13346,0.39,47.4411,6.8228,6.2206,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,537693c52463fa97a396beb008a48337bd32b0d7105438e9f90d9a802b3796b0,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1336,台翰,0cf1eccbfa28f1cf848476e252991858f8ef07cd1813c1335bb400d7aa1b0c14,1,1,,True,558637,490143,68494,71759,-3265,15336,12071,4554,7517,7517,0.1,12.2609,-0.5845,1.3456,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,0190ed3e3979fe286c40d9746a3f88e259d173b516ec9bd91a3de68a3d6d92d4,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1565,精華,140ab0d3be1bb61c641ae7ee072c9b9d9682c11638e25dc0df314b6c048630dd,1,1,,True,899543,716775,182768,111979,70789,17047,87836,17580,70256,70256,1.39,20.3179,7.8694,7.8102,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,ed47e9227712bbc88cbb9d2888b3e3110284c193859106fa411bf0f7950ee69e,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1569,濱川,187b44139fb65a7ba5dacb8ea3e79a2e706c331e0d7d087980eb33c3f033f930,1,1,,True,806019,748440,57579,134661,-77082,26076,-51006,43136,-94142,-101749,-0.73,7.1436,-9.5633,-11.6799,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
2026-07-16 01:31:58 Asia/Taipei,financial_statement_point_in_time_history,financial_statement_pit_v1,tpex_general,official_openapi_current_snapshot,TPEX,general,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,sha256://78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,78d4b343cca55afd0f98e35e61d24598df9c2aaf48ae8e5668465da8b5e83825,0c4f906c33353178b84c31129bfcc029a0c065878cbdbe0a7c6ba9c911cb8506,2026-07-15,1150715,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,2026-07-16T01:31:56+08:00,first_observed_at,current_snapshot_first_observed_only,False,True,False,2026,115,1,2026Q1,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,1570,力肯,e49522c0eb45f8c1696a6030a03423d4fe5f7d041c2afac1872852a39873e94b,1,1,,True,119453,92449,27004,18165,8839,5550,14389,2293,12096,12096,0.23,22.6064,7.3996,10.1262,general_schema_ratios_derived_from_cumulative_reported_values,required_metrics_complete,operating_revenue=營業收入;operating_cost=營業成本;gross_profit=營業毛利（毛損）淨額;operating_expenses=營業費用;operating_income=營業利益（損失）;non_operating_income_expense=營業外收入及支出;pretax_income=稅前淨利（淨損）;income_tax_expense=所得稅費用（利益）;net_income=本期淨利（淨損）;parent_net_income=淨利（淨損）歸屬於母公司業主;basic_eps=基本每股盈餘（元）,raw_payload_sha_and_source_row_sha_verified,False,,not_triggered,True,not_required,Current OpenAPI rows are usable only from first_observed_at forward and are not historical PIT. Exact company filing availability plus historical coverage validation is required before model use.
