date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20250919,9.25,9.25,9.19,9.2,449770.0,9.266,9.3979,9.3895,9.3875,9.774,-0.4329,-1.6043,-5.8342,0.869,-2.1053,-2.0182,-10.6796
20250922,9.29,9.3,9.15,9.17,461276.0,9.23,9.3789,9.365,9.386,9.7687,-0.3261,-1.9251,-5.0725,0.8971,-2.227,-2.0822,-10.9709
20250923,9.17,9.2,9.15,9.2,264582.0,9.21,9.364,9.3485,9.3858,9.7637,0.3272,-1.0753,-3.4627,0.5368,-1.751,-1.5885,-10.6796
20250924,9.2,9.3,9.16,9.23,206441.0,9.208,9.3528,9.328,9.3835,9.759,0.3261,-0.1082,-4.2531,0.4226,-1.3129,-1.0506,-10.3883
20250925,9.23,9.28,9.2,9.23,254928.0,9.206,9.3426,9.313,9.3807,9.7545,0.0,-0.1082,-3.148,0.5332,-1.2048,-0.8912,-10.3883
20250926,9.29,9.29,9.07,9.2,638452.0,9.206,9.3307,9.2955,9.3802,9.7497,-0.325,0.0,-3.6649,1.2942,-1.4006,-1.0274,-10.6796
20250930,9.06,9.23,9.06,9.15,202412.0,9.202,9.3156,9.2825,9.378,9.7447,-0.5435,-0.2181,-2.763,0.4241,-1.7779,-1.4274,-11.165
20251001,9.15,9.15,9.09,9.15,282219.0,9.192,9.3018,9.2765,9.3778,9.7397,0.0,-0.5435,-1.2945,0.6383,-1.6322,-1.3637,-11.165
20251002,9.16,9.16,9.04,9.11,362013.0,9.168,9.2858,9.267,9.3773,9.7344,-0.4372,-1.3001,-2.043,0.8496,-1.8936,-1.6942,-11.5534
20251003,9.1,9.1,9.01,9.08,570049.0,9.138,9.2687,9.2585,9.3765,9.7251,-0.3293,-1.6251,-1.8378,1.2933,-2.0357,-1.928,-11.8447
20251007,9.09,9.1,9.0,9.1,591433.0,9.118,9.2546,9.256,9.3763,9.7176,0.2203,-1.087,-0.5464,1.3047,-1.6708,-1.6854,-11.6505
20251008,9.09,9.17,9.03,9.1,545980.0,9.108,9.2417,9.2485,9.3762,9.7166,0.0,-0.5464,-1.6216,1.1734,-1.5337,-1.6057,-11.6505
