# PRICE_WINDOW_155

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_032=20251215,10.1,10.15,10.05,10.1,118000.0,10.08,10.2242,10.117,10.2919,10.2919,0.4975,-0.4926,-1.9417,0.9343,-1.2148,-0.168,-13.3047

PRICE_WINDOW_180_ROW_033=20251216,10.2,10.2,10.05,10.05,169000.0,10.07,10.2097,10.107,10.2845,10.2845,-0.495,-0.495,-1.9512,1.3291,-1.564,-0.564,-13.7339

PRICE_WINDOW_180_ROW_034=20251217,10.15,10.15,10.05,10.05,97000.0,10.07,10.1964,10.1045,10.2776,10.2776,0.0,0.0,-0.495,0.8114,-1.4356,-0.5394,-13.7339

PRICE_WINDOW_180_ROW_035=20251218,10.05,10.05,10.0,10.0,42000.0,10.05,10.18,10.102,10.2697,10.2697,-0.4975,-0.9901,-0.4975,0.359,-1.7683,-1.0097,-14.1631

PRICE_WINDOW_180_ROW_036=20251219,10.05,10.15,10.05,10.1,96000.0,10.06,10.1733,10.1075,10.265,10.265,1.0,0.4975,1.1011,0.8237,-0.7209,-0.0742,-13.3047

PRICE_WINDOW_180_ROW_037=20251222,10.15,10.25,10.05,10.15,49000.0,10.07,10.1714,10.115,10.2619,10.2619,0.495,0.495,1.5,0.4266,-0.2104,0.346,-12.8755

PRICE_WINDOW_180_ROW_038=20251223,10.1,10.1,10.0,10.0,82000.0,10.06,10.1571,10.1125,10.255,10.255,-1.4778,-0.4975,-0.4975,0.7084,-1.5468,-1.1125,-14.1631

PRICE_WINDOW_180_ROW_039=20251224,10.05,10.1,10.0,10.05,163000.0,10.06,10.1482,10.1075,10.2497,10.2497,0.5,0.0,-0.9852,1.3814,-0.9675,-0.5689,-13.7339

PRICE_WINDOW_180_ROW_040=20251226,10.05,10.2,10.0,10.1,168000.0,10.08,10.1442,10.11,10.246,10.246,0.4975,1.0,0.4975,1.3844,-0.4355,-0.0989,-13.3047

PRICE_WINDOW_180_ROW_041=20251229,10.15,10.2,10.1,10.1,196000.0,10.08,10.1405,10.1025,10.2424,10.2424,0.0,0.0,-1.4634,1.5993,-0.3993,-0.0247,-13.3047

PRICE_WINDOW_180_ROW_042=20251230,10.1,10.15,10.05,10.1,65000.0,10.07,10.1371,10.095,10.239,10.239,0.0,-0.4926,-1.4634,0.5437,-0.3662,0.0495,-13.3047

PRICE_WINDOW_180_ROW_043=20251231,10.3,10.35,10.15,10.15,322000.0,10.1,10.1382,10.095,10.237,10.237,0.495,1.5,0.0,2.458,0.1165,0.5448,-12.8755

PRICE_WINDOW_180_ROW_044=20260102,10.35,10.35,10.1,10.15,249000.0,10.12,10.1392,10.0925,10.235,10.235,0.0,0.995,-0.4902,1.7824,0.1068,0.5697,-12.8755

PRICE_WINDOW_180_ROW_045=20260105,10.15,10.15,10.0,10.0,440000.0,10.1,10.1276,10.0825,10.2298,10.2298,-1.4778,-0.9901,-1.9608,2.8205,-1.2597,-0.8182,-14.1631

PRICE_WINDOW_180_ROW_046=20260106,10.0,10.05,9.97,10.0,250000.0,10.08,10.1169,10.0775,10.2248,10.2248,0.0,-0.9901,-0.9901,1.538,-1.1559,-0.769,-14.1631

PRICE_WINDOW_180_ROW_047=20260107,10.1,11.0,10.1,11.0,1385000.0,10.26,10.1905,10.12,10.2413,10.2413,10.0,8.9109,8.3744,6.0666,7.9433,8.6957,-5.5794

PRICE_WINDOW_180_ROW_048=20260108,11.6,11.8,11.1,11.25,3109000.0,10.48,10.2788,10.1775,10.2623,10.2623,2.2727,10.8374,11.3861,8.1902,9.4483,10.538,-4.661

PRICE_WINDOW_180_ROW_049=20260109,11.25,11.35,10.9,11.35,613000.0,10.72,10.3681,10.2425,10.2845,10.2845,0.8889,11.8227,12.9353,1.5198,9.4705,10.8128,-3.8136

PRICE_WINDOW_180_ROW_050=20260112,11.35,11.35,10.95,11.15,759000.0,10.95,10.4332,10.295,10.3018,10.3018,-1.7621,11.5,10.396,1.7661,6.8699,8.305,-5.5085

PRICE_WINDOW_180_ROW_051=20260113,11.45,11.45,11.1,11.3,275000.0,11.21,10.5055,10.3575,10.3214,10.3214,1.3453,13.0,12.4378,0.6361,7.563,9.0997,-4.2373

PRICE_WINDOW_180_ROW_052=20260114,11.3,11.3,11.15,11.2,298000.0,11.25,10.5634,10.4125,10.3383,10.3383,-0.885,1.8182,10.8911,0.6752,6.0269,7.563,-5.0847

PRICE_WINDOW_180_ROW_053=20260115,11.4,12.2,11.4,11.7,1555000.0,11.34,10.6581,10.495,10.364,10.364,4.4643,4.0,16.4179,3.0451,9.7759,11.4817,-4.0984

PRICE_WINDOW_180_ROW_054=20260116,11.6,11.8,11.55,11.65,550000.0,11.4,10.7407,10.575,10.3878,10.3878,-0.4274,2.6432,15.9204,1.0313,8.4656,10.1655,-4.5082

PRICE_WINDOW_180_ROW_055=20260119,11.7,11.9,11.5,11.7,318000.0,11.51,10.8207,10.66,10.4116,10.4116,0.4292,4.9327,17.0,0.5812,8.1264,9.7561,-4.0984

PRICE_WINDOW_180_ROW_056=20260120,11.8,11.8,11.5,11.55,290000.0,11.56,10.8815,10.7325,10.432,10.432,-1.2821,2.2124,14.3564,0.5208,6.1439,7.6171,-5.3279

PRICE_WINDOW_180_ROW_057=20260121,11.55,11.55,11.15,11.35,433000.0,11.59,10.9205,10.7925,10.4481,10.4481,-1.7316,1.3393,11.8227,0.7517,3.933,5.1656,-6.9672

PRICE_WINDOW_180_ROW_058=20260122,11.4,11.6,11.3,11.45,335000.0,11.54,10.9646,10.865,10.4653,10.4653,0.8811,-2.1368,14.5,0.5691,4.4268,5.3843,-6.1475

PRICE_WINDOW_180_ROW_059=20260123,11.45,11.7,11.3,11.5,187000.0,11.51,11.0092,10.9375,10.4829,10.4829,0.4367,-1.2876,14.4279,0.317,4.4577,5.1429,-5.7377

PRICE_WINDOW_180_ROW_060=20260126,11.75,11.75,11.55,11.6,332000.0,11.49,11.0585,11.0125,10.5015,10.5015,0.8696,-0.8547,14.8515,0.5551,4.897,5.3348,-4.918

PRICE_WINDOW_180_ROW_061=20260127,11.6,11.65,11.35,11.35,281000.0,11.45,11.0828,11.075,10.5048,10.5154,-2.1552,-1.7316,12.3762,0.4665,2.4113,2.4831,-6.9672

PRICE_WINDOW_180_ROW_062=20260128,11.7,11.8,11.45,11.55,231000.0,11.49,11.1217,11.1475,10.5157,10.5321,1.7621,1.7621,14.3564,0.3783,3.8511,3.6107,-5.3279

PRICE_WINDOW_180_ROW_063=20260129,11.55,12.3,11.55,11.9,1382000.0,11.58,11.1866,11.235,10.5357,10.5538,3.0303,3.9301,17.2414,2.0826,6.3777,5.919,-3.252

PRICE_WINDOW_180_ROW_064=20260130,11.75,12.2,11.7,11.8,1105000.0,11.64,11.2377,11.3175,10.5548,10.5733,-0.8403,2.6087,16.2562,1.5643,5.0039,4.2633,-4.065

PRICE_WINDOW_180_ROW_065=20260202,11.7,12.0,11.5,11.5,577000.0,11.62,11.2595,11.3925,10.5682,10.5875,-2.5424,-0.8621,15.0,0.809,2.1356,0.9436,-6.5041

PRICE_WINDOW_180_ROW_066=20260203,11.75,11.75,11.35,11.4,297000.0,11.63,11.2712,11.4625,10.5807,10.5998,-0.8696,0.4405,14.0,0.415,1.1424,-0.5453,-7.3171

PRICE_WINDOW_180_ROW_067=20260204,11.55,11.6,11.4,11.55,137000.0,11.63,11.2945,11.49,10.5982,10.614,1.3158,0.0,5.0,0.2097,2.2624,0.5222,-6.0976

PRICE_WINDOW_180_ROW_068=20260205,11.5,11.55,11.35,11.4,190000.0,11.53,11.3033,11.4975,10.6165,10.6256,-1.2987,-4.2017,1.3333,0.3746,0.8558,-0.848,-7.3171

PRICE_WINDOW_180_ROW_069=20260206,11.6,11.6,11.1,11.1,312000.0,11.39,11.2863,11.485,10.6282,10.6325,-2.6316,-5.9322,-2.2026,0.6339,-1.6509,-3.3522,-9.7561

PRICE_WINDOW_180_ROW_070=20260209,11.2,11.25,11.05,11.05,117000.0,11.3,11.2666,11.48,10.6382,10.6384,-0.4505,-3.913,-0.8969,0.2543,-1.9228,-3.7456,-10.1626

PRICE_WINDOW_180_ROW_071=20260210,11.05,11.1,10.9,10.95,189000.0,11.21,11.2402,11.4625,10.649,10.6428,-0.905,-3.9474,-3.0973,0.4147,-2.5822,-4.4711,-10.9756

PRICE_WINDOW_180_ROW_072=20260211,10.95,11.2,10.9,11.1,317000.0,11.12,11.2286,11.4575,10.6623,10.6492,1.3699,-3.8961,-0.8929,0.694,-1.1449,-3.1202,-9.7561

PRICE_WINDOW_180_ROW_073=20260223,11.1,11.1,10.8,10.95,289000.0,11.03,11.2053,11.42,10.674,10.6533,-1.3514,-3.9474,-6.4103,0.7345,-2.2788,-4.1156,-10.9756

PRICE_WINDOW_180_ROW_074=20260224,11.0,11.0,10.9,10.95,230000.0,11.0,11.1841,11.385,10.6882,10.6573,0.0,-1.3514,-6.0086,0.6094,-2.0929,-3.8208,-10.9756

PRICE_WINDOW_180_ROW_075=20260225,11.0,11.15,10.95,11.1,282000.0,11.01,11.1771,11.355,10.7057,10.6632,1.3699,0.4525,-5.1282,0.7507,-0.6895,-2.2457,-9.7561

PRICE_WINDOW_180_ROW_076=20260226,11.15,11.25,10.95,11.0,222000.0,11.02,11.1623,11.3275,10.7225,10.6676,-0.9009,0.4566,-4.7619,0.5964,-1.4541,-2.8912,-10.5691

PRICE_WINDOW_180_ROW_077=20260302,10.8,11.0,10.8,11.0,224000.0,11.0,11.1488,11.31,10.7392,10.6719,0.0,-0.9009,-3.0837,0.6191,-1.3345,-2.7409,-10.5691

PRICE_WINDOW_180_ROW_078=20260303,10.9,11.0,10.8,10.8,283000.0,10.97,11.1197,11.2775,10.7517,10.6736,-1.8182,-1.3699,-5.6769,0.7879,-2.8752,-4.2341,-12.1951

PRICE_WINDOW_180_ROW_079=20260304,11.0,11.0,10.55,10.55,275000.0,10.89,11.0722,11.23,10.7583,10.672,-2.3148,-3.653,-8.2609,0.7563,-4.7167,-6.0552,-14.2276

PRICE_WINDOW_180_ROW_080=20260305,10.75,10.9,10.6,10.7,159000.0,10.81,11.0412,11.185,10.7692,10.6724,1.4218,-3.6036,-7.7586,0.448,-3.0904,-4.3362,-13.0081

PRICE_WINDOW_180_ROW_081=20260306,10.55,11.15,10.55,11.05,266000.0,10.82,11.042,11.17,10.7825,10.677,3.271,0.4545,-2.6432,0.751,0.0729,-1.0743,-10.1626

PRICE_WINDOW_180_ROW_082=20260309,11.0,11.0,10.5,10.6,188000.0,10.74,11.0051,11.1225,10.7883,10.6761,-4.0724,-3.6364,-8.2251,0.534,-3.6812,-4.6977,-13.8211

PRICE_WINDOW_180_ROW_083=20260310,10.7,10.9,10.55,10.65,230000.0,10.71,10.9755,11.06,10.7967,10.6758,0.4717,-1.3889,-10.5042,0.7811,-2.9659,-3.7071,-13.4146

PRICE_WINDOW_180_ROW_084=20260311,10.7,10.75,10.6,10.7,226000.0,10.74,10.9526,11.005,10.805,10.6761,0.4695,1.4218,-9.322,0.9022,-2.306,-2.7715,-13.0081

PRICE_WINDOW_180_ROW_085=20260312,10.7,10.8,10.6,10.7,216000.0,10.74,10.9315,10.965,10.8133,10.6764,0.0,0.0,-6.9565,0.9292,-2.1179,-2.4168,-13.0081

PRICE_WINDOW_180_ROW_086=20260313,10.7,10.7,10.5,10.5,207000.0,10.63,10.8956,10.92,10.82,10.6743,-1.8692,-4.9774,-7.8947,0.9081,-3.6305,-3.8462,-14.6341

PRICE_WINDOW_180_ROW_087=20260316,10.5,10.6,10.45,10.5,210000.0,10.61,10.8626,10.8675,10.8258,10.6723,0.0,-0.9434,-9.0909,0.9067,-3.338,-3.3816,-14.6341

PRICE_WINDOW_180_ROW_088=20260317,10.5,10.6,10.5,10.55,232000.0,10.59,10.8365,10.825,10.8333,10.6709,0.4762,-0.939,-7.4561,0.9927,-2.6443,-2.5404,-14.2276

PRICE_WINDOW_180_ROW_089=20260318,10.75,10.75,10.6,10.65,223000.0,10.58,10.821,10.8025,10.8433,10.6707,0.9479,-0.4673,-4.0541,0.9727,-1.5803,-1.4117,-13.4146

PRICE_WINDOW_180_ROW_090=20260319,10.5,10.6,10.45,10.45,240000.0,10.53,10.7901,10.7725,10.8492,10.6682,-1.8779,-2.3364,-5.4299,1.0195,-3.1518,-2.9937,-15.0407

PRICE_WINDOW_180_ROW_091=20260320,10.55,11.1,10.55,10.9,553000.0,10.61,10.7992,10.77,10.8633,10.6708,4.3062,3.8095,-0.4566,2.1806,0.933,1.2071,-11.3821

PRICE_WINDOW_180_ROW_092=20260323,10.9,10.95,10.65,10.7,211000.0,10.65,10.791,10.75,10.8733,10.6711,-1.8349,1.9048,-3.6036,0.8498,-0.8431,-0.4651,-13.0081

PRICE_WINDOW_180_ROW_093=20260324,10.85,10.85,10.6,10.6,121000.0,10.66,10.7751,10.7325,10.8825,10.6703,-0.9346,0.4739,-3.1963,0.5044,-1.6247,-1.2346,-13.8211

PRICE_WINDOW_180_ROW_094=20260325,10.8,10.8,10.6,10.6,150000.0,10.65,10.7605,10.715,10.8917,10.6696,0.0,-0.4695,-3.1963,0.6359,-1.4913,-1.0733,-13.8211

PRICE_WINDOW_180_ROW_095=20260326,10.7,10.7,10.5,10.5,209000.0,10.66,10.7388,10.685,10.9,10.6678,-0.9434,0.4785,-5.4054,0.8999,-2.2234,-1.7314,-14.6341

PRICE_WINDOW_180_ROW_096=20260327,10.5,10.5,10.35,10.4,94000.0,10.56,10.7105,10.655,10.905,10.665,-0.9524,-4.5872,-5.4545,0.4162,-2.8993,-2.3932,-15.4472

PRICE_WINDOW_180_ROW_097=20260330,10.6,10.75,10.35,10.4,304000.0,10.5,10.6847,10.625,10.9092,10.6623,0.0,-2.8037,-5.4545,1.3226,-2.6642,-2.1176,-15.4472

PRICE_WINDOW_180_ROW_098=20260331,10.6,10.7,10.35,10.35,342000.0,10.45,10.6568,10.6025,10.915,10.6591,-0.4808,-2.3585,-4.1667,1.4691,-2.8786,-2.3815,-15.8537

PRICE_WINDOW_180_ROW_099=20260401,10.6,10.6,10.4,10.45,95000.0,10.42,10.6395,10.5975,10.9217,10.657,0.9662,-1.4151,-0.9479,0.4245,-1.7815,-1.3918,-15.0407

PRICE_WINDOW_180_ROW_100=20260402,10.45,10.45,10.3,10.3,114000.0,10.38,10.6112,10.5775,10.925,10.6534,-1.4354,-1.9048,-3.7383,0.5146,-2.9331,-2.6235,-16.2602

PRICE_WINDOW_180_ROW_101=20260407,10.55,10.55,10.15,10.15,160000.0,10.33,10.5728,10.5325,10.9258,10.6484,-1.4563,-2.4038,-8.1448,0.7399,-3.999,-3.6316,-17.4797

PRICE_WINDOW_180_ROW_102=20260408,10.3,10.35,10.25,10.3,181000.0,10.31,10.5501,10.5175,10.9292,10.645,1.4778,-0.9615,-2.8302,0.8384,-2.3703,-2.068,-16.2602

PRICE_WINDOW_180_ROW_103=20260409,10.4,10.4,10.0,10.1,675000.0,10.26,10.5126,10.49,10.9283,10.6397,-1.9417,-2.4155,-5.1643,2.8343,-3.9245,-3.7178,-17.8862

