# PRICE_WINDOW_157

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20250407,14.35,14.5,13.95,14.5,1001834.0,,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251103,27.1,27.65,24.95,24.95,6078000.0,,,,,,72.069,,,,,,

PRICE_WINDOW_180_ROW_003=20251104,25.1,26.25,24.9,24.95,2251000.0,,,,,,0.0,,,,,,

PRICE_WINDOW_180_ROW_004=20251105,24.55,25.15,24.0,24.75,1221000.0,,,,,,-0.8016,,,,,,

PRICE_WINDOW_180_ROW_005=20251106,24.55,25.15,24.55,24.7,878000.0,22.77,17.5355,22.77,22.77,22.77,-0.202,,,0.3841,40.8572,8.4761,-10.6691

PRICE_WINDOW_180_ROW_006=20251107,24.55,24.55,22.5,23.55,2641000.0,24.58,18.0367,22.9,22.9,22.9,-4.6559,62.4138,,1.1262,30.5671,2.8384,-14.8282

PRICE_WINDOW_180_ROW_007=20251110,23.55,23.55,22.5,22.7,1537000.0,24.13,18.4253,22.8714,22.8714,22.8714,-3.6093,-9.018,,0.6893,23.2001,-0.7495,-17.9024

PRICE_WINDOW_180_ROW_008=20251111,23.25,23.7,23.0,23.1,773000.0,23.76,18.8149,22.9,22.9,22.9,1.7621,-7.4148,,0.3775,22.7753,0.8734,-16.4557

PRICE_WINDOW_180_ROW_009=20251112,23.0,23.65,23.0,23.5,620000.0,23.51,19.2053,22.9667,22.9667,22.9667,1.7316,-5.0505,,0.3282,22.3621,2.3222,-15.009

PRICE_WINDOW_180_ROW_010=20251113,23.5,23.5,21.15,22.05,2486000.0,22.98,19.4424,22.875,22.875,22.875,-6.1702,-10.7287,,1.2757,13.4122,-3.6066,-20.2532

PRICE_WINDOW_180_ROW_011=20251114,21.4,21.4,20.5,20.85,1954000.0,22.44,19.5597,22.6909,22.6909,22.6909,-5.4422,-11.465,,1.0025,6.597,-8.113,-24.5931

PRICE_WINDOW_180_ROW_012=20251117,21.15,21.15,20.3,20.5,1125000.0,22.0,19.638,22.5083,22.5083,22.5083,-1.6787,-9.6916,,0.5982,4.3893,-8.9226,-25.859

PRICE_WINDOW_180_ROW_013=20251118,20.65,21.8,20.45,20.6,2011000.0,21.5,19.7182,22.3615,22.3615,22.3615,0.4878,-10.8225,,1.0637,4.4721,-7.8775,-25.4973

PRICE_WINDOW_180_ROW_014=20251119,20.6,21.2,20.0,20.05,832000.0,20.81,19.7458,22.1964,22.1964,22.1964,-2.6699,-14.6809,,0.4584,1.5404,-9.6702,-27.4864

PRICE_WINDOW_180_ROW_015=20251120,20.6,20.85,19.65,20.05,913000.0,20.41,19.7712,22.0533,22.0533,22.0533,0.0,-9.0703,,0.5203,1.4102,-9.084,-27.4864

PRICE_WINDOW_180_ROW_016=20251121,19.6,19.95,19.2,19.4,677000.0,20.12,19.7403,21.8875,21.8875,21.8875,-3.2419,-6.9544,,0.4012,-1.7236,-11.3649,-29.8373

PRICE_WINDOW_180_ROW_017=20251124,19.35,19.9,19.0,19.05,594000.0,19.83,19.6827,21.7206,21.7206,21.7206,-1.8041,-7.0732,,0.366,-3.2146,-12.2952,-31.1031

PRICE_WINDOW_180_ROW_018=20251125,19.5,19.75,19.1,19.4,461000.0,19.59,19.6592,21.5917,21.5917,21.5917,1.8373,-5.8252,,0.2958,-1.3183,-10.1505,-29.8373

PRICE_WINDOW_180_ROW_019=20251126,19.4,19.85,19.4,19.65,744000.0,19.51,19.6584,21.4895,21.4895,21.4895,1.2887,-1.995,,0.4909,-0.0428,-8.5599,-28.9331

PRICE_WINDOW_180_ROW_020=20251127,19.65,20.7,19.55,20.45,1033000.0,19.59,19.7244,21.4375,21.4375,21.4375,4.0712,1.995,,0.6926,3.6788,-4.6064,-26.0398

PRICE_WINDOW_180_ROW_021=20251128,20.4,22.2,20.2,21.85,3111000.0,20.08,19.9015,21.805,21.4571,21.4571,6.846,12.6289,50.6897,1.948,9.7907,0.2064,-20.9765

PRICE_WINDOW_180_ROW_022=20251201,21.35,21.85,20.6,20.65,1879000.0,20.4,19.9639,21.59,21.4205,21.4205,-5.492,8.399,-17.2345,1.3547,3.4368,-4.3539,-25.3165

PRICE_WINDOW_180_ROW_023=20251202,20.75,21.25,20.1,20.3,951000.0,20.58,19.9919,21.3575,21.3717,21.3717,-1.6949,4.6392,-18.6373,0.7193,1.5412,-4.9514,-26.5823

