source_name,market,table_index,rows,columns,parsed_as
TWSE_MI_INDEX_ALL_JSON,TWSE,8,31379,證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比,quote
TWSE_MI_INDEX_ALL_JSON,TWSE,9,2,start | span | title,quote
TWSE_MI_INDEX_0999_JSON,TWSE,0,27229,暫停交易 | 證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 標的代號 | 標的名稱 | 標的收盤價/指數,quote
TWSE_MI_INDEX_0999_JSON,TWSE,1,3,start | span | title,quote
TWSE_MI_INDEX_0999_CSV,TWSE,0,27236,"(元,股) | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | (元,交易單位) | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | 標的資訊 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20",quote
TWSE_MI_INDEX_0999_CSV,TWSE,1,27235,暫停交易 | 證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 標的代號 | 標的名稱 | 標的收盤價/指數 | Unnamed: 20,quote
TWSE_MI_INDEX_0999P_JSON,TWSE,0,2723,暫停交易 | 證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 標的代號 | 標的名稱 | 標的收盤價/指數,quote
TWSE_MI_INDEX_0999P_JSON,TWSE,1,3,start | span | title,quote
TWSE_MI_INDEX_0999P_CSV,TWSE,0,2730,"(元,股) | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | (元,交易單位) | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | 標的資訊 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20",quote
TWSE_MI_INDEX_0999P_CSV,TWSE,1,2729,暫停交易 | 證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 標的代號 | 標的名稱 | 標的收盤價/指數 | Unnamed: 20,quote
TWSE_MI_INDEX_0999C_JSON,TWSE,0,34,證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 牛熊證觸及限制價格 | 標的代號 | 標的名稱 | 標的收盤價/指數,quote
TWSE_MI_INDEX_0999C_JSON,TWSE,1,3,start | span | title,quote
TWSE_MI_INDEX_0999C_CSV,TWSE,0,41,"(元,股) | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | (元,交易單位) | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | 標的資訊 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20",quote
TWSE_MI_INDEX_0999C_CSV,TWSE,1,40,證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 牛熊證觸及限制價格 | 標的代號 | 標的名稱 | 標的收盤價/指數 | Unnamed: 20,quote
TWSE_MI_INDEX_0999B_JSON,TWSE,0,9,證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 牛熊證觸及限制價格 | 標的代號 | 標的名稱 | 標的收盤價/指數,quote
TWSE_MI_INDEX_0999B_JSON,TWSE,1,3,start | span | title,quote
TWSE_MI_INDEX_0999B_CSV,TWSE,0,16,"(元,股) | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | (元,交易單位) | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | 標的資訊 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20",quote
TWSE_MI_INDEX_0999B_CSV,TWSE,1,15,證券代號 | 證券名稱 | 成交股數 | 成交筆數 | 成交金額 | 開盤價 | 最高價 | 最低價 | 收盤價 | 漲跌(+/-) | 漲跌價差 | 最後揭示買價 | 最後揭示買量 | 最後揭示賣價 | 最後揭示賣量 | 本益比 | 牛熊證觸及限制價格 | 標的代號 | 標的名稱 | 標的收盤價/指數 | Unnamed: 20,quote
