# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates

TDCC_WINDOW_ROW_001=20260508,80.01,0.07000000000000739,,,76.61,0.04999999999999716,,,72.9,0.05000000000001137,,,71.28,0.04999999999999716,,,1,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_002=20260515,80.07,0.05999999999998806,0.12999999999999545,,76.67,0.060000000000002274,0.10999999999999943,,72.96,0.05999999999998806,0.10999999999999943,,71.34,0.060000000000002274,0.10999999999999943,,2,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_003=20260522,80.09,0.020000000000010232,0.0799999999999983,0.15000000000000568,76.68,0.010000000000005116,0.07000000000000739,0.12000000000000455,72.97,0.010000000000005116,0.06999999999999318,0.12000000000000455,71.35,0.009999999999990905,0.06999999999999318,0.11999999999999034,3,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_004=20260529,80.13,0.03999999999999204,0.060000000000002274,0.11999999999999034,76.7,0.01999999999999602,0.030000000000001137,0.09000000000000341,72.99,0.01999999999999602,0.030000000000001137,0.0899999999999892,71.37,0.020000000000010232,0.030000000000001137,0.09000000000000341,4,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_005=20260605,80.22,0.09000000000000341,0.12999999999999545,0.15000000000000568,76.79,0.09000000000000341,0.10999999999999943,0.12000000000000455,73.08,0.09000000000000341,0.10999999999999943,0.12000000000000455,71.46,0.0899999999999892,0.10999999999999943,0.11999999999999034,5,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_006=20260612,80.3,0.0799999999999983,0.1700000000000017,0.20999999999999375,76.87,0.0799999999999983,0.1700000000000017,0.18999999999999773,73.16,0.0799999999999983,0.1700000000000017,0.18999999999999773,71.54,0.0800000000000125,0.1700000000000017,0.19000000000001194,6,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_007=20260618,80.34,0.04000000000000625,0.12000000000000455,0.21000000000000796,76.91,0.03999999999999204,0.11999999999999034,0.20999999999999375,73.2,0.04000000000000625,0.12000000000000455,0.21000000000000796,71.58,0.03999999999999204,0.12000000000000455,0.20999999999999375,7,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_008=20260626,80.4,0.060000000000002274,0.10000000000000853,0.18000000000000682,76.96,0.04999999999999716,0.0899999999999892,0.1699999999999875,73.25,0.04999999999999716,0.09000000000000341,0.1700000000000017,71.63,0.04999999999999716,0.0899999999999892,0.1700000000000017,8,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_009=20260703,80.43,0.030000000000001137,0.09000000000000341,0.13000000000000966,76.98,0.020000000000010232,0.07000000000000739,0.10999999999999943,73.27,0.01999999999999602,0.06999999999999318,0.10999999999999943,71.65,0.020000000000010232,0.07000000000000739,0.10999999999999943,9,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_010=20260709,80.42,-0.010000000000005116,0.01999999999999602,0.0799999999999983,76.96,-0.020000000000010232,0.0,0.04999999999999716,73.25,-0.01999999999999602,0.0,0.04999999999999716,71.63,-0.020000000000010232,0.0,0.04999999999999716,0,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_011=20260717,80.42,0.0,-0.010000000000005116,0.01999999999999602,77.97,1.0100000000000051,0.9899999999999949,1.0100000000000051,73.24,-0.010000000000005116,-0.030000000000001137,-0.010000000000005116,71.62,-0.009999999999990905,-0.030000000000001137,-0.009999999999990905,1,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,

TDCC_WINDOW_ROW_012=20260724,80.42,0.0,0.0,-0.010000000000005116,77.96,-0.010000000000005116,1.0,0.9799999999999898,73.21,-0.030000000000001137,-0.04000000000000625,-0.060000000000002274,71.59,-0.030000000000001137,-0.03999999999999204,-0.060000000000002274,0,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
