as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,64.99,,60.39,,58.83,,58.83,,0,False,False,False,,
20260508,65.01,0.020000000000010232,60.41,0.01999999999999602,58.85,0.020000000000003126,58.85,0.020000000000003126,1,True,True,True,,
20260515,65.0,-0.010000000000005116,60.39,-0.01999999999999602,58.83,-0.020000000000003126,58.83,-0.020000000000003126,0,False,False,False,,
20260522,65.11,0.10999999999999943,60.38,-0.00999999999999801,58.82,-0.00999999999999801,58.82,-0.00999999999999801,1,False,False,False,,
20260529,65.03,-0.0799999999999983,60.36,-0.020000000000003126,58.8,-0.020000000000003126,58.8,-0.020000000000003126,0,False,False,False,,
20260605,65.03,0.0,60.34,-0.01999999999999602,58.78,-0.01999999999999602,58.78,-0.01999999999999602,0,False,False,False,,
20260612,65.13,0.09999999999999432,60.47,0.12999999999999545,58.91,0.12999999999999545,58.91,0.12999999999999545,1,True,True,True,,
20260618,65.15,0.020000000000010232,60.47,0.0,58.91,0.0,58.91,0.0,2,False,False,False,,
20260626,64.83,-0.3200000000000074,60.16,-0.3100000000000023,58.6,-0.30999999999999517,58.6,-0.30999999999999517,0,False,False,False,,
20260703,64.54,-0.28999999999999204,59.94,-0.21999999999999886,58.38,-0.21999999999999886,56.08,-2.520000000000003,0,False,False,False,,
20260717,64.56,0.01999999999999602,59.92,-0.01999999999999602,58.36,-0.020000000000003126,56.08,0.0,1,False,False,False,,
