as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,50.04,,47.78,,46.44,,44.97,,0,False,False,False,,
20260508,49.88,-0.1599999999999966,47.63,-0.14999999999999858,46.36,-0.0799999999999983,45.03,0.060000000000002274,1,False,True,False,,
20260515,49.05,-0.8300000000000054,46.93,-0.7000000000000028,45.59,-0.769999999999996,44.32,-0.7100000000000009,0,False,False,False,,
20260522,48.77,-0.27999999999999403,46.71,-0.21999999999999886,45.3,-0.29000000000000625,43.97,-0.3500000000000014,0,False,False,False,,
20260529,48.47,-0.30000000000000426,46.33,-0.38000000000000256,44.9,-0.3999999999999986,43.65,-0.3200000000000003,0,False,False,False,,
20260605,48.02,-0.44999999999999574,45.82,-0.509999999999998,44.43,-0.46999999999999886,43.1,-0.5499999999999972,0,False,False,False,,
20260612,47.29,-0.730000000000004,44.96,-0.8599999999999994,43.61,-0.8200000000000003,42.4,-0.7000000000000028,0,False,False,False,,
20260618,47.15,-0.14000000000000057,44.87,-0.09000000000000341,43.63,0.020000000000003126,42.3,-0.10000000000000142,1,False,True,False,,
20260626,46.74,-0.4099999999999966,44.52,-0.3499999999999943,43.27,-0.35999999999999943,41.9,-0.3999999999999986,0,False,False,False,,
20260703,46.72,-0.020000000000003126,44.49,-0.030000000000001137,43.15,-0.12000000000000455,41.79,-0.10999999999999943,0,False,False,False,,
20260717,46.99,0.2700000000000031,44.69,0.19999999999999574,43.29,0.14000000000000057,42.15,0.35999999999999943,1,True,True,True,,
