as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,76.16,,72.5,,71.51,,68.96,,0,False,False,False,,
20260508,78.99,2.8299999999999983,73.45,0.9500000000000028,71.46,-0.05000000000001137,68.91,-0.04999999999999716,1,False,False,False,,
20260515,79.91,0.9200000000000017,75.64,2.1899999999999977,73.72,2.260000000000005,68.74,-0.1700000000000017,2,False,True,False,,
20260522,80.62,0.710000000000008,75.52,-0.12000000000000455,74.53,0.8100000000000023,69.32,0.5799999999999983,3,False,True,False,,
20260529,79.7,-0.9200000000000017,75.46,-0.060000000000002274,74.47,-0.060000000000002274,69.23,-0.0899999999999892,0,False,False,False,,
20260605,79.07,-0.6300000000000097,75.42,-0.03999999999999204,73.48,-0.9899999999999949,69.69,0.45999999999999375,1,False,True,False,,
20260612,78.73,-0.3399999999999892,74.41,-1.0100000000000051,71.5,-1.980000000000004,67.77,-1.9200000000000017,0,False,False,False,,
20260618,79.12,0.39000000000000057,74.16,-0.25,72.2,0.7000000000000028,67.07,-0.7000000000000028,1,False,True,False,,
20260626,81.09,1.9699999999999989,75.41,1.25,73.45,1.25,69.76,2.690000000000012,2,True,True,True,,
20260703,80.67,-0.4200000000000017,75.65,0.2400000000000091,73.69,0.23999999999999488,69.85,0.0899999999999892,3,False,True,False,,
20260717,80.55,-0.12000000000000455,75.53,-0.12000000000000455,71.31,-2.3799999999999955,68.71,-1.1400000000000006,0,False,False,False,,
