as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260508,41.38,0.30000000000000426,,,31.52,0.030000000000001137,,,26.37,0.120000000000001,,,26.37,0.120000000000001,,,1,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260515,41.85,0.46999999999999886,0.7700000000000031,,29.68,-1.8399999999999999,-1.8099999999999987,,26.91,0.5399999999999991,0.6600000000000001,,26.91,0.5399999999999991,0.6600000000000001,,2,False,True,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260522,41.89,0.03999999999999915,0.509999999999998,0.8100000000000023,29.81,0.129999999999999,-1.7100000000000009,-1.6799999999999997,27.04,0.129999999999999,0.6699999999999982,0.7899999999999991,27.04,0.129999999999999,0.6699999999999982,0.7899999999999991,3,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260529,42.17,0.28000000000000114,0.3200000000000003,0.7899999999999991,32.37,2.5599999999999987,2.6899999999999977,0.8499999999999979,27.22,0.17999999999999972,0.3099999999999987,0.8499999999999979,27.22,0.17999999999999972,0.3099999999999987,0.8499999999999979,4,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260605,42.6,0.4299999999999997,0.7100000000000009,0.75,33.0,0.6300000000000026,3.1900000000000013,3.3200000000000003,27.53,0.3100000000000023,0.490000000000002,0.620000000000001,27.53,0.3100000000000023,0.490000000000002,0.620000000000001,5,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260612,41.46,-1.1400000000000006,-0.7100000000000009,-0.4299999999999997,33.49,0.490000000000002,1.1200000000000045,3.6800000000000033,27.65,0.11999999999999744,0.4299999999999997,0.6099999999999994,27.65,0.11999999999999744,0.4299999999999997,0.6099999999999994,6,False,True,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260618,41.59,0.13000000000000256,-1.009999999999998,-0.5799999999999983,33.64,0.14999999999999858,0.6400000000000006,1.2700000000000031,30.87,3.2200000000000024,3.34,3.650000000000002,27.69,0.0400000000000027,0.16000000000000014,0.4700000000000024,7,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260626,41.99,0.3999999999999986,0.5300000000000011,-0.6099999999999994,34.04,0.3999999999999986,0.5499999999999972,1.0399999999999991,31.27,0.3999999999999986,3.620000000000001,3.7399999999999984,27.89,0.1999999999999993,0.240000000000002,0.35999999999999943,8,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260703,42.19,0.19999999999999574,0.5999999999999943,0.7299999999999969,34.24,0.20000000000000284,0.6000000000000014,0.75,31.47,0.1999999999999993,0.5999999999999979,3.8200000000000003,27.97,0.0799999999999983,0.2799999999999976,0.3200000000000003,9,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260709,42.3,0.10999999999999943,0.30999999999999517,0.7099999999999937,34.35,0.10999999999999943,0.3100000000000023,0.7100000000000009,31.58,0.10999999999999943,0.3099999999999987,0.7099999999999973,27.99,0.019999999999999574,0.09999999999999787,0.29999999999999716,10,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260717,42.57,0.2700000000000031,0.38000000000000256,0.5799999999999983,34.62,0.269999999999996,0.37999999999999545,0.5799999999999983,31.85,0.2700000000000031,0.38000000000000256,0.5800000000000018,28.09,0.10000000000000142,0.120000000000001,0.1999999999999993,11,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260724,42.89,0.3200000000000003,0.5900000000000034,0.7000000000000028,34.94,0.3200000000000003,0.5899999999999963,0.6999999999999957,32.17,0.3200000000000003,0.5900000000000034,0.7000000000000028,32.17,4.080000000000002,4.180000000000003,4.200000000000003,12,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
