# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260430,36.86,,34.96,,29.08,,23.93,,0,False,False,False,,

TDCC_WINDOW_ROW_002=20260508,35.79,-1.0700000000000003,30.91,-4.050000000000001,28.2,-0.879999999999999,21.92,-2.009999999999998,0,False,False,False,,

TDCC_WINDOW_ROW_003=20260515,35.68,-0.10999999999999943,32.01,1.0999999999999979,28.2,0.0,21.85,-0.07000000000000028,1,False,False,False,,

TDCC_WINDOW_ROW_004=20260522,35.68,0.0,33.12,1.1099999999999994,28.24,0.03999999999999915,21.82,-0.030000000000001137,2,False,True,False,,

TDCC_WINDOW_ROW_005=20260529,35.17,-0.509999999999998,33.6,0.480000000000004,26.9,-1.3399999999999999,21.81,-0.010000000000001563,3,False,False,False,,

TDCC_WINDOW_ROW_006=20260605,33.95,-1.2199999999999989,31.68,-1.9200000000000017,26.95,0.05000000000000071,21.81,0.0,4,False,True,False,,

TDCC_WINDOW_ROW_007=20260612,33.93,-0.020000000000003126,32.64,0.9600000000000009,26.94,-0.00999999999999801,21.81,0.0,5,False,False,False,,

TDCC_WINDOW_ROW_008=20260618,33.84,-0.0899999999999963,31.8,-0.8399999999999999,26.93,-0.010000000000001563,21.81,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_009=20260626,33.4,-0.44000000000000483,30.61,-1.1900000000000013,26.84,-0.08999999999999986,21.81,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_010=20260703,33.61,0.21000000000000085,31.71,1.1000000000000014,27.1,0.26000000000000156,21.81,0.0,1,False,True,False,,
