as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,54.72,,51.54,,47.22,,45.44,,0,False,False,False,,
20260508,54.75,0.030000000000001137,51.57,0.030000000000001137,47.22,0.0,45.44,0.0,1,False,False,False,,
20260515,55.56,0.8100000000000023,51.58,0.00999999999999801,48.8,1.5799999999999983,45.44,0.0,2,False,True,False,,
20260522,55.55,-0.010000000000005116,51.57,-0.00999999999999801,47.22,-1.5799999999999983,45.44,0.0,0,False,False,False,,
20260529,55.42,-0.12999999999999545,51.44,-0.13000000000000256,47.22,0.0,45.44,0.0,0,False,False,False,,
20260605,54.84,-0.5799999999999983,50.0,-1.4399999999999977,47.22,0.0,45.44,0.0,0,False,False,False,,
20260612,55.2,0.35999999999999943,51.41,1.4099999999999966,47.22,0.0,45.44,0.0,1,False,False,False,,
20260618,55.2,0.0,51.41,0.0,47.22,0.0,45.44,0.0,0,False,False,False,,
20260626,55.22,0.01999999999999602,51.41,0.0,47.22,0.0,45.44,0.0,1,False,False,False,,
20260703,55.24,0.020000000000003126,51.43,0.020000000000003126,47.23,0.00999999999999801,45.45,0.010000000000005116,2,True,True,True,,
20260717,55.24,0.0,51.43,0.0,47.23,0.0,45.45,0.0,0,False,False,False,,
