# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260430,49.19,,45.5,,44.28,,42.92,,0,False,False,False,,

TDCC_WINDOW_ROW_002=20260508,49.32,0.13000000000000256,45.31,-0.18999999999999773,44.24,-0.03999999999999915,42.69,-0.23000000000000398,1,False,False,False,,

TDCC_WINDOW_ROW_003=20260515,49.1,-0.21999999999999886,44.95,-0.35999999999999943,43.73,-0.5100000000000051,42.21,-0.4799999999999969,0,False,False,False,,

TDCC_WINDOW_ROW_004=20260522,48.72,-0.38000000000000256,44.83,-0.12000000000000455,43.52,-0.20999999999999375,41.82,-0.39000000000000057,0,False,False,False,,

TDCC_WINDOW_ROW_005=20260529,48.78,0.060000000000002274,44.64,-0.18999999999999773,43.3,-0.22000000000000597,41.95,0.13000000000000256,1,False,True,False,,

TDCC_WINDOW_ROW_006=20260605,48.93,0.14999999999999858,44.92,0.28000000000000114,43.46,0.1600000000000037,42.09,0.14000000000000057,2,True,True,True,,

TDCC_WINDOW_ROW_007=20260612,49.12,0.18999999999999773,44.98,0.05999999999999517,43.65,0.18999999999999773,42.44,0.3499999999999943,3,True,True,True,,

TDCC_WINDOW_ROW_008=20260618,49.72,0.6000000000000014,46.0,1.0200000000000031,44.31,0.6600000000000037,42.58,0.14000000000000057,4,True,True,True,,
