as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,79.02,,75.62,,67.45,,56.6,,0,False,False,False,,
20260508,79.02,0.0,75.62,0.0,67.45,0.0,56.6,0.0,0,False,False,False,,
20260515,79.14,0.12000000000000455,75.74,0.11999999999999034,67.45,0.0,56.6,0.0,1,False,False,False,,
20260522,79.08,-0.060000000000002274,75.74,0.0,67.45,0.0,56.6,0.0,0,False,False,False,,
20260529,78.82,-0.2600000000000051,75.48,-0.2599999999999909,67.19,-0.2600000000000051,56.34,-0.259999999999998,0,False,False,False,,
20260605,78.62,-0.19999999999998863,75.28,-0.20000000000000284,66.99,-0.20000000000000284,56.14,-0.20000000000000284,0,False,False,False,,
20260612,78.45,-0.1700000000000017,75.23,-0.04999999999999716,66.94,-0.04999999999999716,56.09,-0.04999999999999716,0,False,False,False,,
20260618,76.83,-1.6200000000000045,75.14,-0.09000000000000341,66.85,-0.09000000000000341,56.0,-0.09000000000000341,0,False,False,False,,
