as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260522,48.95,-0.5499999999999972,-0.8900000000000006,0.39000000000000057,45.88,-0.6499999999999986,-1.0799999999999983,0.10000000000000142,44.94,-0.3100000000000023,-0.8800000000000026,0.09999999999999432,43.99,0.13000000000000256,-0.75,0.21999999999999886,1,False,True,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260529,49.01,0.05999999999999517,-0.490000000000002,-0.8300000000000054,46.09,0.21000000000000085,-0.4399999999999977,-0.8699999999999974,45.06,0.12000000000000455,-0.18999999999999773,-0.759999999999998,44.13,0.14000000000000057,0.2700000000000031,-0.6099999999999994,2,True,True,True,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260605,49.41,0.3999999999999986,0.45999999999999375,-0.09000000000000341,47.0,0.9099999999999966,1.1199999999999974,0.46999999999999886,45.85,0.7899999999999991,0.9100000000000037,0.6000000000000014,45.04,0.9099999999999966,1.0499999999999972,1.1799999999999997,3,True,True,True,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260612,49.42,0.010000000000005116,0.4100000000000037,0.46999999999999886,46.88,-0.11999999999999744,0.7899999999999991,1.0,45.94,0.0899999999999963,0.8799999999999955,1.0,44.99,-0.04999999999999716,0.8599999999999994,1.0,4,False,True,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260618,48.75,-0.6700000000000017,-0.6599999999999966,-0.259999999999998,46.18,-0.7000000000000028,-0.8200000000000003,0.0899999999999963,45.25,-0.6899999999999977,-0.6000000000000014,0.18999999999999773,44.48,-0.5100000000000051,-0.5600000000000023,0.3499999999999943,0,False,False,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260626,49.39,0.6400000000000006,-0.030000000000001137,-0.01999999999999602,46.84,0.6600000000000037,-0.03999999999999915,-0.1599999999999966,46.15,0.8999999999999986,0.21000000000000085,0.29999999999999716,45.1,0.6200000000000045,0.10999999999999943,0.060000000000002274,1,True,True,True,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260703,48.26,-1.1300000000000026,-0.490000000000002,-1.1600000000000037,45.61,-1.230000000000004,-0.5700000000000003,-1.2700000000000031,44.71,-1.4399999999999977,-0.5399999999999991,-1.2299999999999969,43.94,-1.1600000000000037,-0.5399999999999991,-1.0500000000000043,0,False,False,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260709,48.36,0.10000000000000142,-1.0300000000000011,-0.39000000000000057,45.78,0.1700000000000017,-1.0600000000000023,-0.3999999999999986,44.54,-0.1700000000000017,-1.6099999999999994,-0.7100000000000009,43.9,-0.03999999999999915,-1.2000000000000028,-0.5799999999999983,1,False,False,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260717,48.43,0.07000000000000028,0.1700000000000017,-0.9600000000000009,46.07,0.28999999999999915,0.46000000000000085,-0.7700000000000031,44.75,0.21000000000000085,0.03999999999999915,-1.3999999999999986,44.13,0.23000000000000398,0.19000000000000483,-0.9699999999999989,2,True,True,True,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260724,48.58,0.14999999999999858,0.21999999999999886,0.3200000000000003,46.0,-0.07000000000000028,0.21999999999999886,0.39000000000000057,44.69,-0.060000000000002274,0.14999999999999858,-0.020000000000003126,44.06,-0.07000000000000028,0.1600000000000037,0.12000000000000455,3,False,False,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260731,48.73,0.14999999999999858,0.29999999999999716,0.36999999999999744,46.14,0.14000000000000057,0.07000000000000028,0.35999999999999943,44.9,0.21000000000000085,0.14999999999999858,0.35999999999999943,44.27,0.21000000000000085,0.14000000000000057,0.37000000000000455,4,True,True,True,,,tdcc-20260807-01698d0b1c2355ac,complete,
20260807,48.94,0.21000000000000085,0.35999999999999943,0.509999999999998,46.34,0.20000000000000284,0.3400000000000034,0.2700000000000031,44.86,-0.03999999999999915,0.1700000000000017,0.10999999999999943,44.24,-0.030000000000001137,0.17999999999999972,0.10999999999999943,5,False,False,False,,,tdcc-20260807-01698d0b1c2355ac,complete,
