code,name,threshold_lots,ratio_pct,shares,holders
0050,元大台灣50,400,27.31,5053752381,807
0051,元大中型100,400,15.66,3838657,5
0052,富邦科技,400,19.830000000000002,498854097,155
0053,元大電子,400,21.29,1062000,1
0055,元大MSCI金融,400,45.14,37099577,15
0056,元大高股息,400,14.02,1966071947,684
0057,富邦摩台,400,0.0,0,0
0061,元大寶滬深,400,31.72,33200901,23
1101,台泥,400,54.800000000000004,4124306129,941
1102,亞泥,400,82.3,2919533783,412
1103,嘉泥,400,79.06,624852958,131
1104,環泥,400,74.28,510167695,116
1108,幸福,400,80.84,327251076,79
1109,信大,400,79.97,272864843,77
1110,東泥,400,93.94999999999999,537520834,56
1201,味全,400,63.3,320484991,62
1203,味王,400,90.97,218368060,51
1210,大成,400,63.0,563962522,142
1213,大飲,400,82.03999999999999,46466185,12
1215,卜蜂,400,64.52000000000001,190248003,40
1216,統一,400,87.92,4996661426,765
1217,愛之味,400,59.870000000000005,296185852,122
1218,泰山,400,68.92,344644348,74
1219,福壽,400,61.94,211410804,82
1220,台榮,400,67.7,119917380,47
1225,福懋油,400,88.96,215589514,38
1227,佳格,400,67.48,617705532,68
1229,聯華,400,65.39,1174702282,160
1231,聯華食,400,64.86,193634605,27
1232,大統益,400,73.7,117908671,10
1233,天仁,400,73.88,66952421,27
1234,黑松,400,83.39,335193547,137
1235,興泰,400,96.53,182051192,17
1236,宏亞,400,83.89999999999999,72742646,25
1240,茂生農經,400,70.53,31201419,26
1256,鮮活果汁-KY,400,61.26,21922774,11
1259,安心,400,75.26,24384919,8
1264,德麥,400,49.120000000000005,18209175,17
1268,漢來美食,400,79.11,33407262,17
1294,漢田生技,400,56.71,17341780,12
1295,生合,400,55.629999999999995,19183613,14
1301,台塑,400,73.75,4696327963,565
1303,南亞,400,84.73,6721666010,695
1304,台聚,400,59.82,711263509,106
1305,華夏,400,50.23,291957549,50
1307,三芳,400,81.03,322434001,62
1308,亞聚,400,50.65,300896181,56
1309,台達化,400,46.91,186576668,36
1310,台苯,400,30.83,162846112,96
1312,國喬,400,52.92,585932331,185
1313,聯成,400,66.19,881141442,156
1314,中石化,400,38.81,1469275366,751
1315,達新,400,80.71,79997940,42
1316,上曜,400,39.19,147440301,86
1319,東陽,400,82.66000000000001,489045219,103
1321,大洋,400,69.38,157692751,91
1323,永裕,400,70.53,64386369,37
1324,地球,400,66.9,50275939,21
1325,恆大,400,46.92,40025314,10
1326,台化,400,82.26,4822756060,515
1336,台翰,400,50.5,39213143,22
1337,再生-KY,400,47.7,128333945,59
1338,廣華-KY,400,42.9,35985028,24
1339,昭輝,400,74.55000000000001,55266043,15
1340,勝悅-KY,400,35.410000000000004,54183177,26
1341,富林-KY,400,85.0,44930712,17
1342,八貫,400,55.67,43429794,11
1402,遠東新,400,87.78,4700042357,529
