code,name,threshold_lots,ratio_pct,shares,holders
0050,,400,27.58,5084626549,797
0051,,400,15.98,3917278,5
0052,,400,19.39,486459135,157
0053,,400,21.23,1059000,1
0055,,400,45.29,37217489,15
0056,,400,12.9,1821335980,703
0057,,400,0.0,0,0
0061,,400,31.03,32480631,23
1101,,400,54.6,4108996339,931
1102,,400,82.39,2922860847,412
1103,,400,79.01,624522802,131
1104,,400,74.38000000000001,510895870,118
1107,,400,99.7,10069887,1
1108,,400,80.86,327321311,79
1109,,400,79.81,272350366,76
1110,,400,93.88,537109088,55
1201,,400,63.21,319960637,60
1203,,400,90.97,218353060,51
1204,,400,45.72,8406600,6
1207,,400,77.2,358376692,48
1210,,400,63.5,568421653,142
1212,,400,44.17,77057823,45
1213,,400,82.03,46457185,12
1215,,400,65.47,193051010,41
1216,,400,88.19999999999999,5013227965,771
1217,,400,59.97,296633993,121
1218,,400,68.89999999999999,344580557,72
1219,,400,61.89,211272652,82
1220,,400,67.47,119501380,46
1221,,400,34.07,32505214,22
1224,,400,88.28,63538455,20
1225,,400,88.92,215480514,38
1227,,400,67.60000000000001,618766116,68
1228,,400,37.92,4223807,5
1229,,400,65.37,1174273941,159
1231,,400,64.89,193688105,27
1232,,400,73.71000000000001,117921671,10
1233,,400,73.78,66860421,27
1234,,400,83.44,335431821,136
1235,,400,96.32,181666530,16
1236,,400,83.86999999999999,72710646,25
1238,,400,11.73,3516000,4
1240,,400,70.53999999999999,31208419,26
1256,,400,62.540000000000006,22377492,12
1259,,400,75.26,24384919,8
1260,,400,75.82,77431769,29
1264,,400,49.19,18233175,17
1268,,400,79.11,33407262,17
1269,,400,77.6,16224304,7
1271,,400,66.93,40427844,18
1293,,400,73.71000000000001,12603742,11
1294,,400,56.69,17335780,12
1295,,400,55.35,19086613,14
1301,,400,73.72,4694149381,563
1303,,400,84.77,6725372261,697
1304,,400,59.36,705882026,105
1305,,400,50.17,291628368,53
1306,,400,21.29,9502500,4
1307,,400,81.11999999999999,322797807,62
1308,,400,50.69,301099499,56
1309,,400,46.43,184710370,33
1310,,400,30.599999999999998,161655543,93
1312,,400,53.07,587473456,192
1313,,400,65.92999999999999,877604609,155
1314,,400,38.71,1466003012,749
1315,,400,80.71,79994979,42
1316,,400,39.16,147273108,84
1319,,400,82.91,490515114,104
1321,,400,69.33,157568347,91
1323,,400,70.5,64359369,37
1324,,400,67.11,50436939,21
1325,,400,46.269999999999996,39471314,9
1326,,400,82.25999999999999,4822266805,511
1333,,400,51.18,38152162,14
1336,,400,49.81999999999999,38688995,21
1337,,400,47.78,128571945,59
1338,,400,42.92,35995028,24
1339,,400,74.51,55235043,15
1340,,400,35.22,53881921,26
1341,,400,85.0,44929712,17
1342,,400,55.57,43356794,11
1343,,400,66.99000000000001,27152463,23
1402,,400,87.82000000000001,4701984320,527
1407,,400,35.2,155616513,76
1408,,400,20.59,72859689,72
1409,,400,66.0,1068601732,215
1410,,400,74.96000000000001,46487984,18
1413,,400,75.56,99833599,26
1414,,400,87.9,174104014,38
1416,,400,55.6,103091206,41
1417,,400,57.58,109415034,50
1418,,400,71.31,40543140,19
1419,,400,90.58999999999999,271863681,71
1423,,400,80.84,80560643,25
1432,,400,54.81,59220637,17
1434,,400,71.45,1204112204,161
1435,,400,94.89,132652802,24
1436,,400,78.11,151701166,44
1437,,400,79.3,160110230,77
1438,,400,82.88000000000001,92187850,29
1439,,400,84.87,78103389,31
1440,,400,78.46,1300239527,278
1441,,400,64.98,46637724,15
1442,,400,86.88000000000001,318248440,107
1443,,400,89.58,121266297,40
1444,,400,64.84,645775064,137
1445,,400,68.73,89838613,40
1446,,400,68.8,94766745,33
1447,,400,69.98,637086473,141
1449,,400,39.839999999999996,50653437,30
1450,,400,25.68,20374520,14
1451,,400,62.72,124250249,37
1452,,400,47.949999999999996,63624467,41
1453,,400,75.98,86063703,19
1454,,400,81.71,106118525,35
1455,,400,65.96,350808994,77
1456,,400,84.41,79129836,14
1457,,400,74.73,236770143,73
1458,,400,59.69,155773308,59
1459,,400,85.07,305173747,80
1460,,400,70.91,492693348,130
1462,,400,46.45,140233413,100
1463,,400,81.18,140696837,42
1464,,400,59.55,253518386,80
1465,,400,72.39,75028467,38
1466,,400,72.78999999999999,80932261,40
1467,,400,66.01,154249323,40
1468,,400,97.46000000000001,156352162,18
1469,,400,92.33,80550814,29
1470,,400,87.47999999999999,75048266,36
1471,,400,22.75,34266768,23
1472,,400,80.49,42257866,18
1473,,400,72.16,105505504,32
1474,,400,59.05,76743691,32
1475,,400,76.36000000000001,50420750,16
1476,,400,83.35,228757800,78
1477,,400,68.92,170047781,84
1480,,400,98.2,408644039,61
1491,,400,59.620000000000005,32693738,25
1498,,400,48.56,424968,1
1503,,400,75.44,393124380,72
1504,,400,74.34,1767246308,274
1506,,400,77.56,233044823,46
1507,,400,100.0,250000000,1
1512,,400,54.25,53275786,20
1513,,400,43.94,221177314,84
1514,,400,45.4,124055670,65
1515,,400,52.8,95860282,40
1516,,400,60.96,24395577,15
1517,,400,48.31999999999999,106348172,30
1519,,400,75.83,239569930,80
1521,,400,68.61,52315578,13
1522,,400,59.4,185931535,58
1524,,400,40.19,66448618,25
1525,,400,87.68,64364008,8
1526,,400,37.2,22331230,11
1527,,400,30.12,41762154,20
1528,,400,35.88,68665929,23
1529,,400,47.19,73234247,26
1530,,400,75.41,71342827,14
1531,,400,63.57,115824855,52
1532,,400,64.71,273524495,107
1533,,400,63.91,62994846,36
1534,,400,46.86,31783276,19
1535,,400,75.39999999999999,93313657,10
1536,,400,34.71,96897523,51
1537,,400,51.19,42025040,24
1538,,400,78.21,25268478,7
1539,,400,60.08,39284214,11
1540,,400,34.43,29445222,22
1541,,400,83.76,66015078,15
1553,,400,0.0,0,0
1557,,400,30.38,526527,1
1558,,400,34.44,22240487,30
1560,,400,65.89,98707011,63
1563,,400,41.45,93556003,61
1565,,400,17.71,8939339,12
1568,,400,62.78,64744773,27
1569,,400,55.9,80654537,36
1570,,400,54.150000000000006,27899484,11
1571,,400,67.23,765000,1
1573,,400,0.0,0,0
1575,,400,0.0,0,0
1577,,400,0.0,0,0
1580,,400,41.72,20594367,17
1582,,400,32.25,46545460,27
1583,,400,91.21,99801703,17
1584,,400,40.150000000000006,93362403,35
1585,,400,65.27,37676711,33
1586,,400,71.02000000000001,75912281,35
1587,,400,48.77,39067398,23
1589,,400,28.6,43830415,30
1590,,400,72.7,145432567,100
1591,,400,19.06,7256385,8
1592,,400,26.43,29350413,25
1593,,400,49.89,19852311,18
1594,,400,83.09,27605325,13
1595,,400,51.599999999999994,28093984,24
1597,,400,58.099999999999994,51881880,39
1598,,400,60.05,107607369,51
1599,,400,65.54,47875852,21
1601,,400,12.129999999999999,13009317,14
1602,,400,12.09,47056285,26
1603,,400,72.88,139750068,31
1604,,400,57.94,222660413,68
1605,,400,69.77000000000001,3092291370,345
1606,,400,15.71,121298048,120
1608,,400,63.99,405035314,54
1609,,400,31.8,249853514,106
1611,,400,53.82,173771580,80
1612,,400,61.44,194250476,61
1613,,400,57.709999999999994,131272691,67
1614,,400,82.74000000000001,222727602,84
1615,,400,80.72,158785509,35
1616,,400,61.160000000000004,118788558,28
1617,,400,74.84,126879908,36
1618,,400,56.18,108312095,23
1623,,400,78.86,52062917,13
1626,,400,69.19,103691577,49
1702,,400,57.51,169205280,29
1707,,400,57.89,85781040,53
1708,,400,48.129999999999995,119870724,55
1709,,400,61.58,293832555,117
1710,,400,61.61,545893161,133
1711,,400,46.129999999999995,252797232,85
1712,,400,58.23,244882960,133
1713,,400,72.82000000000001,109952827,28
1714,,400,62.519999999999996,620217781,191
1717,,400,65.75,770922076,227
1718,,400,55.68,938981239,264
1720,,400,65.49000000000001,117050109,31
1721,,400,44.330000000000005,81982790,39
1722,,400,65.68,643959143,159
1723,,400,51.470000000000006,121965925,35
1725,,400,94.21,171333574,20
1726,,400,85.99000000000001,139332918,27
1727,,400,63.63,81492351,30
1729,,400,91.39,165187621,47
1730,,400,57.3,36241298,11
1731,,400,56.78,75497767,21
1732,,400,46.400000000000006,19695882,5
1733,,400,39.53,39529227,17
1734,,400,46.6,88681157,45
1735,,400,78.17999999999999,77710154,12
1736,,400,87.98,266995307,44
1737,,400,63.5,127042863,31
1742,,400,80.57,74681798,27
1748,,400,39.260000000000005,5617604,3
1752,,400,63.88,64532595,20
1760,,400,42.86,36768636,22
1762,,400,44.53,34263204,14
1763,,400,100.0,1816766453,1
1764,,400,100.0,715186287,1
1765,,400,100.0,437517135,1
1766,,400,100.0,493557368,1
1773,,400,75.84,227552649,59
1775,,400,100.0,88000000,1
1776,,400,67.24000000000001,40431430,34
1777,,400,59.96,26743893,10
1780,,400,80.17,77180060,38
1781,,400,40.8,19350320,18
1783,,400,64.14,57542975,21
1784,,400,28.509999999999998,15158142,15
1785,,400,59.36,353892438,119
1786,,400,51.61,38633810,28
1788,,400,49.96000000000001,22253091,15
1789,,400,76.87,607967869,54
1794,,400,0.0,0,0
