ticker,name,market,date,close,volume_lots,ma20,ma60,gap_ma20_pct,gap_ma60_pct,high_40,low_40,consolidation_range_pct,breakout_pct,volume_ratio,return_5d_pct,score,judge
6558,興能高,listed,20260515,31.35,4288.0,29.91,30.22,4.81,3.74,33.5,26.95,24.3,-6.42,4.88,7.18,60,初步觀察
6742,澤米,listed,20260515,44.0,3992.0,40.85,41.61,7.72,5.74,45.4,37.75,20.26,-3.08,7.59,13.84,60,初步觀察
6698,旭暉應材,listed,20260515,31.7,1720.0,31.12,31.51,1.86,0.61,34.55,29.05,18.93,-8.25,4.16,-3.65,60,初步觀察
2376,技嘉,listed,20260515,326.5,20436.0,294.85,256.05,10.73,27.51,333.0,221.5,50.34,-1.95,1.64,3.0,58,初步觀察
4576,大銀微系統,listed,20260515,265.5,8640.0,219.78,160.91,20.81,65.0,264.5,114.5,131.0,0.38,1.56,16.45,58,初步觀察
2327,國巨*,listed,20260515,455.5,116741.0,353.75,298.7,28.76,52.49,462.0,243.0,90.12,-1.41,2.39,17.1,55,初步觀察
6147,頎邦,otc,20260517,205.0,82576.0,205.0,205.0,0.0,0.0,205.0,176.0,16.48,0.0,1.0,0.0,55,初步觀察
6278,台表科,listed,20260515,220.5,43440.0,177.6,126.57,24.16,74.21,226.0,92.5,144.32,-2.43,2.58,9.7,55,初步觀察
2891,中信金,listed,20260515,54.8,36032.0,53.84,53.13,1.79,3.15,57.0,50.4,13.1,-3.86,0.7,-2.84,55,初步觀察
3048,益登,listed,20260515,56.1,24416.0,41.96,39.16,33.71,43.25,51.0,33.85,50.66,10.0,2.71,32.31,55,初步觀察
3305,昇貿,listed,20260515,138.5,21193.0,115.95,111.03,19.45,24.74,134.5,98.1,37.1,2.97,2.77,20.43,55,初步觀察
8926,台汽電,listed,20260515,61.1,17577.0,48.48,46.31,26.04,31.95,60.7,42.85,41.66,0.66,3.24,24.44,55,初步觀察
3504,揚明光,listed,20260515,77.3,10387.0,67.21,60.39,15.01,28.0,74.8,50.4,48.41,3.34,4.38,24.48,55,初步觀察
8043,蜜望實,otc,20260517,113.0,9804.0,113.0,113.0,0.0,0.0,113.0,108.5,4.15,0.0,1.0,0.0,55,初步觀察
6207,雷科,otc,20260517,77.2,9070.0,77.2,77.2,0.0,0.0,77.2,72.3,6.78,0.0,1.0,0.0,55,初步觀察
3498,陽程,otc,20260517,149.0,7586.0,149.0,149.0,0.0,0.0,149.0,132.5,12.45,0.0,1.0,0.0,55,初步觀察
9136,巨騰-DR,listed,20260422,12.15,7094.0,9.73,8.81,24.91,37.93,11.6,7.21,60.89,4.74,2.79,28.57,55,初步觀察
6446,藥華藥,listed,20260515,826.0,6962.0,676.55,670.72,22.09,23.15,832.0,578.0,43.94,-0.72,2.4,14.09,55,初步觀察
3580,友威科,otc,20260517,105.0,6425.0,105.0,105.0,0.0,0.0,105.0,94.5,11.11,0.0,1.0,0.0,55,初步觀察
2540,愛山林,listed,20260515,58.2,6366.0,54.98,50.12,5.85,16.12,59.0,45.85,28.68,-1.36,3.66,13.45,55,初步觀察
6449,鈺邦,listed,20260515,263.0,5781.0,182.4,168.99,44.19,55.63,239.5,147.0,62.93,9.81,3.13,43.72,55,初步觀察
