date,twse_rows,tpex_rows,total_rows,valid,reason
20260517,0,5707,1121,False,TWSE rows too low: 0
20260516,0,5707,1121,False,TWSE rows too low: 0
20260510,0,5707,1121,False,TWSE rows too low: 0
20260509,0,5707,1121,False,TWSE rows too low: 0
20260503,0,0,0,False,combined empty
20260502,0,5707,1121,False,TWSE rows too low: 0
20260501,0,5707,1121,False,TWSE rows too low: 0
20260426,0,5707,1121,False,TWSE rows too low: 0
20260425,0,5707,1121,False,TWSE rows too low: 0
20260419,0,5707,1121,False,TWSE rows too low: 0
20260418,0,5707,1121,False,TWSE rows too low: 0
20260412,0,5707,1121,False,TWSE rows too low: 0
20260411,0,0,0,False,combined empty
20260406,0,5707,1121,False,TWSE rows too low: 0
20260405,0,5707,1121,False,TWSE rows too low: 0
20260404,0,5707,1121,False,TWSE rows too low: 0
20260403,0,5707,1121,False,TWSE rows too low: 0
20260329,0,5707,1121,False,TWSE rows too low: 0
20260328,0,5707,1121,False,TWSE rows too low: 0
20260322,0,5707,1121,False,TWSE rows too low: 0
20260321,0,5707,1121,False,TWSE rows too low: 0
20260315,0,5707,1121,False,TWSE rows too low: 0
20260314,0,5707,1121,False,TWSE rows too low: 0
20260308,0,5707,1121,False,TWSE rows too low: 0
20260307,0,5707,1121,False,TWSE rows too low: 0
20260301,0,5707,1121,False,TWSE rows too low: 0
20260228,0,0,0,False,combined empty
20260227,0,5707,1121,False,TWSE rows too low: 0
20260222,0,5707,1121,False,TWSE rows too low: 0
20260221,0,5707,1121,False,TWSE rows too low: 0
20260220,0,5707,1121,False,TWSE rows too low: 0
20260219,0,5707,1121,False,TWSE rows too low: 0
20260218,0,5707,1121,False,TWSE rows too low: 0
20260217,0,5707,1121,False,TWSE rows too low: 0
20260216,0,5707,1121,False,TWSE rows too low: 0
20260215,0,5707,1121,False,TWSE rows too low: 0
20260214,0,5707,1121,False,TWSE rows too low: 0
20260213,0,5707,1121,False,TWSE rows too low: 0
20260212,0,5707,1121,False,TWSE rows too low: 0
20260208,0,5707,1121,False,TWSE rows too low: 0
20260207,0,5707,1121,False,TWSE rows too low: 0
20260201,0,0,0,False,combined empty
20260131,0,5707,1121,False,TWSE rows too low: 0
20260125,0,5707,1121,False,TWSE rows too low: 0
20260124,0,5707,1121,False,TWSE rows too low: 0
20260118,0,5707,1121,False,TWSE rows too low: 0
20260117,0,5707,1121,False,TWSE rows too low: 0
20260111,0,5707,1121,False,TWSE rows too low: 0
20260110,0,5707,1121,False,TWSE rows too low: 0
20260104,0,5707,1121,False,TWSE rows too low: 0
20260103,0,5707,1121,False,TWSE rows too low: 0
20260101,0,5707,1121,False,TWSE rows too low: 0
20251228,0,5707,1121,False,TWSE rows too low: 0
20251227,0,5707,1121,False,TWSE rows too low: 0
20251225,0,5707,1121,False,TWSE rows too low: 0
20251221,0,5707,1121,False,TWSE rows too low: 0
20251220,0,5707,1121,False,TWSE rows too low: 0
20251214,0,5707,1121,False,TWSE rows too low: 0
20251213,0,5707,1121,False,TWSE rows too low: 0
20251207,0,5707,1121,False,TWSE rows too low: 0
20251206,0,5707,1121,False,TWSE rows too low: 0
20251130,0,5707,1121,False,TWSE rows too low: 0
20251129,0,5707,1121,False,TWSE rows too low: 0
20251123,0,5707,1121,False,TWSE rows too low: 0
20251122,0,5707,1121,False,TWSE rows too low: 0
20251116,0,5707,1121,False,TWSE rows too low: 0
20251115,0,5707,1121,False,TWSE rows too low: 0
20251109,0,5707,1121,False,TWSE rows too low: 0
20251108,0,5707,1121,False,TWSE rows too low: 0
20251102,0,5707,1121,False,TWSE rows too low: 0
20251101,0,5707,1121,False,TWSE rows too low: 0
20251031,1057,5707,2177,True,valid
20251030,1058,5707,2178,True,valid
20251029,1055,5707,2175,True,valid
20251028,1056,5707,2176,True,valid
20251027,1056,5707,2176,True,valid
20251026,0,5707,1121,False,TWSE rows too low: 0
20251025,0,5707,1121,False,TWSE rows too low: 0
20251024,0,5707,1121,False,TWSE rows too low: 0
20251023,1056,5707,2176,True,valid
20251022,1055,5707,2175,True,valid
20251021,1056,5707,2176,True,valid
20251020,1055,5707,2175,True,valid
20251019,0,5707,1121,False,TWSE rows too low: 0
20251018,0,5707,1121,False,TWSE rows too low: 0
20251017,1053,0,1053,False,TPEx rows too low: 0
20251016,1057,5707,2177,True,valid
20251015,1056,0,1056,False,TPEx rows too low: 0
20251014,1055,5707,2175,True,valid
20251013,1056,5707,2176,True,valid
20251012,0,5707,1121,False,TWSE rows too low: 0
20251011,0,5707,1121,False,TWSE rows too low: 0
20251010,0,5707,1121,False,TWSE rows too low: 0
20251009,1054,5707,2174,True,valid
20251008,1052,5707,2172,True,valid
20251007,1056,5707,2176,True,valid
20251006,0,5707,1121,False,TWSE rows too low: 0
20251005,0,5707,1121,False,TWSE rows too low: 0
20251004,0,5707,1121,False,TWSE rows too low: 0
20251003,1050,5707,2170,True,valid
20251002,1047,5707,2167,True,valid
20251001,1049,5707,2169,True,valid
20250930,1046,5707,2166,True,valid
20250929,0,5707,1121,False,TWSE rows too low: 0
20250928,0,5707,1121,False,TWSE rows too low: 0
20250927,0,5707,1121,False,TWSE rows too low: 0
20250926,1050,5707,2170,True,valid
20250925,1045,5707,2165,True,valid
20250924,1054,5707,2174,True,valid
20250923,1054,5707,2174,True,valid
20250922,1048,5707,2168,True,valid
20250921,0,5707,1121,False,TWSE rows too low: 0
20250920,0,5707,1121,False,TWSE rows too low: 0
20250919,1055,5707,2175,True,valid
20250918,1054,5707,2174,True,valid
20250917,1056,5707,2176,True,valid
20250916,1055,0,1055,False,TPEx rows too low: 0
20250915,0,5707,1121,False,TWSE rows too low: 0
20250914,0,5707,1121,False,TWSE rows too low: 0
20250913,0,5707,1121,False,TWSE rows too low: 0
20250912,1052,0,1052,False,TPEx rows too low: 0
20250911,1052,5707,2172,True,valid
20250910,1052,5707,2172,True,valid
20250909,1053,5707,2173,True,valid
20250908,1048,0,1048,False,TPEx rows too low: 0
20250907,0,5707,1121,False,TWSE rows too low: 0
20250906,0,5707,1121,False,TWSE rows too low: 0
20250905,1047,5707,2167,True,valid
20250904,1047,5707,2167,True,valid
20250903,1050,5707,2170,True,valid
20250902,1048,5707,2168,True,valid
20250901,1046,5707,2166,True,valid
20250831,0,5707,1121,False,TWSE rows too low: 0
20250830,0,5707,1121,False,TWSE rows too low: 0
20250829,1048,5707,2168,True,valid
20250828,1048,5707,2168,True,valid
20250827,1051,5707,2171,True,valid
20250826,1049,5707,2169,True,valid
20250825,1049,5707,2169,True,valid
20250824,0,5707,1121,False,TWSE rows too low: 0
20250823,0,5707,1121,False,TWSE rows too low: 0
20250822,1046,5707,2166,True,valid
20250821,1050,5707,2170,True,valid
20250820,1049,5707,2169,True,valid
20250819,1049,5707,2169,True,valid
20250818,1049,5707,2169,True,valid
20250817,0,0,0,False,combined empty
20250816,0,0,0,False,combined empty
20250815,1047,5707,2167,True,valid
20250814,1047,5707,2167,True,valid
20250813,1046,5707,2166,True,valid
20250812,1043,5707,2163,True,valid
20250811,1045,5707,2165,True,valid
20250810,0,5707,1121,False,TWSE rows too low: 0
20250809,0,5707,1121,False,TWSE rows too low: 0
20250808,1049,5707,2169,True,valid
20250807,1050,5707,2170,True,valid
20250806,1050,5707,2170,True,valid
20250805,1046,5707,2166,True,valid
20250804,1042,5707,2162,True,valid
20250803,0,5707,1121,False,TWSE rows too low: 0
20250802,0,5707,1121,False,TWSE rows too low: 0
20250801,1048,5707,2168,True,valid
20250731,1044,5707,2164,True,valid
20250730,1038,5707,2158,True,valid
20250729,1047,5707,2167,True,valid
20250728,1045,5707,2165,True,valid
20250727,0,0,0,False,combined empty
20250726,0,5707,1121,False,TWSE rows too low: 0
20250725,1042,5707,2163,True,valid
20250724,1046,5707,2166,True,valid
20250723,1045,5707,2165,True,valid
20250722,1045,5707,2165,True,valid
20250721,1041,5707,2161,True,valid
20250720,0,5707,1121,False,TWSE rows too low: 0
20250719,0,5707,1121,False,TWSE rows too low: 0
20250718,1044,5707,2164,True,valid
20250717,1042,5707,2162,True,valid
20250716,1037,5707,2157,True,valid
20250715,1043,5707,2163,True,valid
20250714,1037,5707,2157,True,valid
20250713,0,5707,1121,False,TWSE rows too low: 0
20250712,0,5707,1121,False,TWSE rows too low: 0
20250711,1042,5707,2162,True,valid
20250710,1038,5707,2158,True,valid
20250709,1037,5707,2157,True,valid
20250708,1044,5707,2164,True,valid
20250707,1035,5707,2155,True,valid
20250706,0,5707,1121,False,TWSE rows too low: 0
20250705,0,5707,1121,False,TWSE rows too low: 0
20250704,1048,5707,2168,True,valid
20250703,1043,5707,2163,True,valid
20250702,1038,5707,2158,True,valid
20250701,1049,5707,2169,True,valid
20250630,1048,5707,2168,True,valid
20250629,0,5707,1121,False,TWSE rows too low: 0
20250628,0,5707,1121,False,TWSE rows too low: 0
20250627,1048,5707,2168,True,valid
20250626,1048,5707,2168,True,valid
20250625,1040,5707,2160,True,valid
20250624,1048,5707,2168,True,valid
20250623,1046,5707,2166,True,valid
20250622,0,5707,1121,False,TWSE rows too low: 0
20250621,0,5707,1121,False,TWSE rows too low: 0
20250620,1045,5707,2165,True,valid
20250619,1046,5707,2166,True,valid
20250618,1047,5707,2167,True,valid
20250617,1046,5707,2166,True,valid
20250616,1046,5707,2166,True,valid
20250615,0,5707,1121,False,TWSE rows too low: 0
20250614,0,5707,1121,False,TWSE rows too low: 0
20250613,1043,5707,2163,True,valid
20250612,1040,5707,2160,True,valid
20250611,1045,5707,2165,True,valid
20250610,1045,5707,2165,True,valid
20250609,1034,5707,2154,True,valid
20250608,0,5707,1121,False,TWSE rows too low: 0
20250607,0,5707,1121,False,TWSE rows too low: 0
20250606,1038,5707,2158,True,valid
20250605,1040,5707,2160,True,valid
20250604,1043,5707,2163,True,valid
20250603,1044,5707,2164,True,valid
20250602,1039,5707,2159,True,valid
20250601,0,5707,1121,False,TWSE rows too low: 0
20250531,0,5707,1121,False,TWSE rows too low: 0
20250530,0,5707,1121,False,TWSE rows too low: 0
20250529,1040,5707,2160,True,valid
20250528,1038,5707,2158,True,valid
20250527,1044,5707,2164,True,valid
20250526,1043,5707,2163,True,valid
20250525,0,5707,1121,False,TWSE rows too low: 0
20250524,0,5707,1121,False,TWSE rows too low: 0
20250523,1038,5707,2158,True,valid
20250522,1038,5707,2158,True,valid
20250521,1043,0,1043,False,TPEx rows too low: 0
20250520,1041,5707,2161,True,valid
20250519,1040,5707,2160,True,valid
20250518,0,5707,1121,False,TWSE rows too low: 0
20250517,0,5707,1121,False,TWSE rows too low: 0
20250516,1041,5707,2161,True,valid
20250515,1037,5707,2157,True,valid
20250514,1042,5707,2162,True,valid
20250513,1035,5707,2155,True,valid
20250512,1043,5707,2163,True,valid
20250511,0,5707,1121,False,TWSE rows too low: 0
20250510,0,5707,1121,False,TWSE rows too low: 0
20250509,1040,5707,2160,True,valid
20250508,1037,5707,2157,True,valid
20250507,1041,5707,2161,True,valid
20250506,1040,5707,2160,True,valid
20250505,1040,5707,2160,True,valid
20250504,0,5707,1121,False,TWSE rows too low: 0
20250503,0,5707,1121,False,TWSE rows too low: 0
20250502,1042,5707,2162,True,valid
20250501,0,5707,1121,False,TWSE rows too low: 0
20250430,1042,5707,2162,True,valid
20250429,1043,5707,2163,True,valid
20250428,1035,5707,2155,True,valid
20250427,0,5707,1121,False,TWSE rows too low: 0
20250426,0,5707,1121,False,TWSE rows too low: 0
20250425,1041,5707,2161,True,valid
20250424,1036,5707,2156,True,valid
20250423,1037,5707,2157,True,valid
20250422,1039,5707,2159,True,valid
20250421,1037,5707,2157,True,valid
20250420,0,5707,1121,False,TWSE rows too low: 0
20250419,0,5707,1121,False,TWSE rows too low: 0
20250418,1039,5707,2159,True,valid
20250417,1039,5707,2159,True,valid
20250416,1042,5707,2162,True,valid
20250415,1041,5707,2161,True,valid
20250414,1041,5707,2161,True,valid
20250413,0,5707,1121,False,TWSE rows too low: 0
20250412,0,5707,1121,False,TWSE rows too low: 0
20250411,1039,0,1039,False,TPEx rows too low: 0
