ticker,name,market,date,revenue_period,industry,revenue_yoy_pct,cumulative_yoy_pct,close,ma20,ma60,gap_ma20_pct,gap_ma60_pct,return_10d_pct,return_20d_pct,score,judge
3231,緯創,listed,20260515,11504,電腦及週邊設備業,111.99,135.27,135.5,141.15,133.98,-4.0,1.14,-1.09,1.12,70,可觀察
4934,太極,listed,20260515,11504,光電業,108.39,125.75,16.6,17.1,17.56,-2.9,-5.49,4.4,1.22,70,可觀察
2404,漢唐,listed,20260515,11504,其他電子業,102.23,82.88,1000.0,995.25,967.78,0.48,3.33,5.26,6.95,70,可觀察
2545,皇翔,listed,20260515,11504,建材營造,102.09,53.12,37.65,37.9,37.11,-0.65,1.46,0.4,2.59,70,可觀察
4739,康普,listed,20260515,11504,化學工業,96.24,115.46,96.3,92.2,82.71,4.45,16.43,13.56,7.72,70,可觀察
8499,鼎炫-KY,listed,20260515,11504,其他電子業,95.5,80.38,276.0,276.27,271.97,-0.1,1.48,7.6,2.22,70,可觀察
2383,台光電,listed,20260515,11504,電子零組件業,93.62,62.74,4615.0,4534.5,3307.08,1.78,39.55,1.54,20.34,70,可觀察
2467,志聖,listed,20260515,11504,電子零組件業,86.98,76.55,587.0,571.38,447.66,2.73,31.13,-3.61,13.98,70,可觀察
2347,聯強,listed,20260515,11504,電子通路業,83.28,49.73,82.4,83.23,77.56,-1.0,6.24,-0.12,0.24,70,可觀察
2305,全友,listed,20260515,11504,電腦及週邊設備業,81.07,58.26,16.4,16.8,15.51,-2.4,5.76,4.46,-7.61,70,可觀察
4967,十銓,listed,20260515,11504,半導體業,78.61,70.72,276.0,274.1,234.38,0.69,17.76,-1.78,29.58,70,可觀察
3025,星通,listed,20260515,11504,通信網路業,76.45,47.6,60.3,62.23,60.53,-3.1,-0.38,0.33,-4.59,70,可觀察
1714,和桐,listed,20260515,11504,化學工業,71.71,47.62,9.84,9.64,9.64,2.12,2.04,4.68,-0.2,70,可觀察
6139,亞翔,listed,20260515,11504,其他電子業,70.59,68.33,693.0,700.95,608.9,-1.13,13.81,3.43,3.59,70,可觀察
2812,台中銀,listed,20260515,11504,金融保險業,69.85,22.82,18.75,19.85,20.38,-5.54,-8.01,-5.54,-9.2,70,可觀察
8488,吉源-KY,listed,20260514,11504,其他,67.99,58.45,9.89,10.16,9.98,-2.65,-0.93,-2.08,-2.56,70,可觀察
6209,今國光,listed,20260515,11504,光電業,66.88,52.51,67.0,65.26,59.08,2.67,13.4,7.54,10.2,70,可觀察
6691,洋基工程,listed,20260515,11504,其他電子業,66.7,73.74,628.0,651.65,625.6,-3.63,0.38,-0.48,-4.56,70,可觀察
5388,中磊,listed,20260515,11504,通信網路業,65.53,51.67,77.6,80.63,80.23,-3.76,-3.28,1.44,-7.07,70,可觀察
8021,尖點,listed,20260515,11504,其他電子業,63.18,54.21,441.5,427.65,312.73,3.24,41.18,9.69,24.37,70,可觀察
2248,華勝-KY,listed,20260515,11504,汽車工業,58.99,37.28,54.1,56.16,51.58,-3.67,4.9,-4.25,2.46,70,可觀察
8112,至上,listed,20260515,11504,電子通路業,55.96,111.09,81.6,85.12,80.94,-4.14,0.81,-0.12,-4.9,70,可觀察
6957,裕慶-KY,listed,20260515,11504,其他,53.31,34.47,160.0,160.45,164.14,-0.28,-2.52,-0.31,-3.9,70,可觀察
4916,事欣科,listed,20260515,11504,電腦及週邊設備業,50.22,30.08,67.7,65.27,61.74,3.72,9.66,9.9,3.83,70,可觀察
6753,龍德造船,listed,20260515,11504,航運業,49.52,15.97,129.0,138.28,136.45,-6.71,-5.46,-5.15,-8.51,69,可觀察
1708,東鹼,listed,20260515,11504,化學工業,42.0,12.0,39.65,40.21,39.75,-1.39,-0.26,-5.14,-0.75,69,可觀察
6438,迅得,listed,20260515,11504,其他電子業,32.59,17.02,163.5,174.9,165.88,-6.52,-1.44,-7.1,-7.37,69,可觀察
6923,中台,listed,20260515,11504,綠能環保,31.98,10.75,79.1,83.68,83.63,-5.47,-5.42,-7.49,3.94,69,可觀察
8070,長華*,listed,20260515,11504,電子通路業,28.15,22.43,45.15,47.63,45.14,-5.21,0.01,-5.84,-2.69,69,可觀察
3037,欣興,listed,20260515,11504,電子零組件業,27.64,25.3,821.0,816.55,603.63,0.54,36.01,-7.02,27.29,69,可觀察
3189,景碩,listed,20260515,11504,半導體業,26.75,28.27,486.0,492.22,382.13,-1.26,27.18,-7.95,23.51,69,可觀察
2486,一詮,listed,20260515,11504,光電業,21.16,20.27,249.0,249.92,183.68,-0.37,35.56,-7.95,34.23,69,可觀察
4148,全宇生技-KY,listed,20260515,11504,生技醫療業,55.04,14.38,35.0,36.95,38.73,-5.28,-9.64,-4.89,-8.85,68,可觀察
6112,邁達特,listed,20260515,11504,資訊服務業,26.91,27.25,41.9,45.5,45.62,-7.92,-8.16,-8.32,-11.7,68,可觀察
9940,信義,listed,20260515,11504,其他,22.12,27.96,18.25,19.6,20.23,-6.89,-9.81,-8.75,-9.65,68,可觀察
4949,有成精密,listed,20260515,11504,光電業,43.92,38.67,85.7,93.63,72.71,-8.47,17.87,-18.77,-3.05,67,可觀察
8046,南電,listed,20260515,11504,電子零組件業,39.47,34.15,786.0,879.6,650.02,-10.64,20.92,-21.79,9.02,67,可觀察
4989,榮科,listed,20260515,11504,電子零組件業,28.89,69.29,87.7,102.54,79.55,-14.47,10.25,-22.39,-16.48,67,可觀察
1617,榮星,listed,20260515,11504,電器電纜,23.66,19.93,14.3,15.19,15.17,-5.86,-5.72,-4.67,-10.06,67,可觀察
2851,中再保,listed,20260515,11504,金融保險業,605.14,139.31,32.65,31.07,29.89,5.09,9.23,8.29,10.12,63,初步觀察
8271,宇瞻,listed,20260515,11504,半導體業,360.82,276.89,242.0,229.02,173.48,5.67,39.49,10.0,48.01,63,初步觀察
6005,群益證,listed,20260515,11504,金融保險業,301.6,128.82,31.25,29.49,28.97,5.99,7.86,11.41,11.61,63,初步觀察
2506,太設,listed,20260515,11504,建材營造,182.93,24.5,8.6,8.76,8.89,-1.84,-3.31,-3.26,-4.23,63,初步觀察
3443,創意,listed,20260515,11504,半導體業,156.85,81.04,4845.0,4520.0,3173.83,7.19,52.65,13.73,44.84,63,初步觀察
2337,旺宏,listed,20260515,11504,半導體業,153.71,93.46,162.5,150.93,131.3,7.67,23.76,5.52,16.91,63,初步觀察
2208,台船,listed,20260515,11504,航運業,132.19,40.98,19.15,20.36,21.22,-5.92,-9.75,-3.28,-7.93,63,初步觀察
7750,新代,listed,20260515,11504,電機機械,94.87,63.77,2555.0,2431.0,1703.25,5.1,50.01,-0.78,52.99,63,初步觀察
3046,建碁,listed,20260515,11504,電腦及週邊設備業,93.6,16.58,50.6,49.46,48.36,2.31,4.64,4.33,3.27,63,初步觀察
2363,矽統,listed,20260515,11504,半導體業,87.15,113.29,60.5,56.89,52.47,6.35,15.3,16.35,13.51,63,初步觀察
2388,威盛,listed,20260515,11504,半導體業,84.79,22.36,75.4,75.26,59.3,0.19,27.16,-4.07,22.8,63,初步觀察
2816,旺旺保,listed,20260515,11504,金融保險業,78.74,29.41,30.3,30.48,30.52,-0.58,-0.71,-0.16,-2.57,63,初步觀察
6426,統新,listed,20260515,11504,通信網路業,76.49,61.91,256.0,241.08,187.44,6.19,36.58,14.54,23.97,63,初步觀察
7765,中華資安,listed,20260515,11504,數位雲端,75.03,28.44,241.0,233.05,236.47,3.41,1.92,6.4,2.34,63,初步觀察
1533,車王電,listed,20260515,11504,汽車工業,72.77,65.36,34.4,32.66,31.12,5.33,10.53,5.85,9.73,63,初步觀察
2353,宏碁,listed,20260515,11504,電腦及週邊設備業,68.39,29.65,27.7,27.97,27.45,-0.96,0.91,0.36,-2.46,63,初步觀察
2520,冠德,listed,20260515,11504,建材營造,66.98,18.86,30.9,30.35,31.31,1.8,-1.3,4.92,0.16,63,初步觀察
5880,合庫金,listed,20260515,11504,金融保險業,65.45,21.78,22.85,23.08,23.38,-1.01,-2.28,-0.44,-4.39,63,初步觀察
2850,新產,listed,20260515,11504,金融保險業,64.58,21.62,132.5,128.78,121.38,2.89,9.17,-0.38,6.43,63,初步觀察
2886,兆豐金,listed,20260515,11504,金融保險業,63.04,23.64,39.4,39.59,39.48,-0.47,-0.21,0.77,-1.38,63,初步觀察
2838,聯邦銀,listed,20260515,11504,金融保險業,62.81,25.28,20.1,20.38,20.28,-1.39,-0.87,0.5,-5.41,63,初步觀察
2374,佳能,listed,20260515,11504,光電業,62.53,73.2,82.2,77.04,74.09,6.69,10.95,4.85,13.85,63,初步觀察
3030,德律,listed,20260515,11504,其他電子業,62.51,35.38,395.0,368.6,288.68,7.16,36.83,15.33,28.25,63,初步觀察
3416,融程電,listed,20260515,11504,電腦及週邊設備業,56.33,27.27,163.0,161.65,152.79,0.84,6.68,3.49,2.52,63,初步觀察
1256,鮮活果汁-KY,listed,20260515,11504,食品工業,56.21,55.43,179.5,168.3,159.93,6.65,12.24,11.15,15.81,63,初步觀察
5284,jpp-KY,listed,20260515,11504,其他,54.65,47.78,376.5,356.12,302.8,5.72,24.34,9.77,18.77,63,初步觀察
