signal_date,report_bucket,stock_id,stock_name,model_id,model_name_zh,model_group,model_score,model_rank,effective_primary_theme,risk_penalty_tags,next_confirmation,base_model_score,operation_score,tdcc_score,pattern_score,risk_penalty,final_rank_score,rank_reason_zh,volume_position_bucket_120d,volume_shape_bucket,volume_ma60,volume_ma120,volume_ma60_gt_ma120,industry,primary_theme,secondary_themes,effective_structural_theme_bucket,effective_mainstream_label,report_line_memberships,mainstream_report_eligible,non_mainstream_report_eligible,dual_report_membership_flag,tdcc_status,warrant_flow_signal,score_components,candidate_source_row_ids,candidate_source_row_sha256s,candidate_source_categories,candidate_formal_outcome_sha256,candidate_presentation_source_artifact,candidate_presentation_source_artifact_sha256,candidate_presentation_source_row_sha256
20260529,mainstream,1514,亞力,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,48.0,46,重電電網,tdcc_distribution_penalty,先看 TDCC 是否停止轉弱，再看價格能否守住 MA20/EMA23 與突破區。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1590,亞德客-KY,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,65.5,9,機器人,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1597,直得,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,66.5,8,機器人自動化,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2345,智邦,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,65.0,11,CPO光通訊,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2347,聯強,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,64.0,14,電子通路業_待細分,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2363,矽統,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,64.0,15,半導體業_待細分,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2368,金像電,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,64.3,13,PCB_CCL_ABF材料,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2374,佳能,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,72.4,1,機器人,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2382,廣達,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,69.5,5,AI伺服器,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2383,台光電,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,65.5,10,PCB_CCL_ABF材料,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
