as_of_date,stock_id,stock_name,theme,retail_ratio,retail_ratio_change_1w,total_shareholders,total_shareholders_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,theme_breadth_level,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w
20260430,3037,欣興,,,,,,0,False,False,False,Neutral,76.89,,,,74.49,,,,72.44,,,,69.93,,,
20260508,3037,欣興,,,,,,0,False,False,False,Neutral,75.97,-0.9200000000000017,,,73.37,-1.1199999999999903,,,71.51,-0.9299999999999926,,,68.92,-1.0100000000000051,,
20260515,3037,欣興,,,,,,0,False,False,False,Neutral,75.85,-0.12000000000000455,-1.0400000000000063,,73.22,-0.15000000000000568,-1.269999999999996,,71.37,-0.14000000000000057,-1.0699999999999932,,68.78,-0.14000000000000057,-1.1500000000000057,
20260522,3037,欣興,,,,,,1,False,False,False,Neutral,76.0,0.15000000000000568,0.030000000000001137,-0.8900000000000006,73.24,0.01999999999999602,-0.13000000000000966,-1.25,71.23,-0.14000000000000057,-0.28000000000000114,-1.2099999999999937,68.6,-0.18000000000000682,-0.3200000000000074,-1.3300000000000125
20260529,3037,欣興,,,,,,2,True,True,True,Neutral,76.79,0.7900000000000063,0.9400000000000119,0.8200000000000074,73.85,0.6099999999999994,0.6299999999999955,0.47999999999998977,71.88,0.6499999999999915,0.5099999999999909,0.36999999999999034,69.21,0.6099999999999994,0.4299999999999926,0.28999999999999204
20260605,3037,欣興,,,,,,0,False,False,False,Neutral,75.68,-1.1099999999999994,-0.3199999999999932,-0.1699999999999875,72.85,-1.0,-0.39000000000000057,-0.37000000000000455,70.86,-1.019999999999996,-0.37000000000000455,-0.5100000000000051,68.44,-0.769999999999996,-0.1599999999999966,-0.3400000000000034
20260612,3037,欣興,,,,,,0,False,False,False,Neutral,75.3,-0.38000000000000966,-1.490000000000009,-0.7000000000000028,72.5,-0.3499999999999943,-1.3499999999999943,-0.7399999999999949,70.25,-0.6099999999999994,-1.6299999999999955,-0.980000000000004,68.15,-0.28999999999999204,-1.059999999999988,-0.44999999999998863
20260618,3037,欣興,,,,,,1,True,True,True,Neutral,75.72,0.4200000000000017,0.03999999999999204,-1.0700000000000074,72.66,0.1599999999999966,-0.18999999999999773,-1.1899999999999977,70.34,0.09000000000000341,-0.519999999999996,-1.539999999999992,68.25,0.09999999999999432,-0.18999999999999773,-0.9599999999999937
20260626,3037,欣興,,,,,,2,True,True,True,Neutral,76.08,0.35999999999999943,0.7800000000000011,0.3999999999999915,72.96,0.29999999999999716,0.45999999999999375,0.10999999999999943,70.93,0.5900000000000034,0.6800000000000068,0.07000000000000739,68.45,0.20000000000000284,0.29999999999999716,0.010000000000005116
20260703,3037,欣興,,,,,,0,False,False,False,Neutral,75.61,-0.46999999999999886,-0.10999999999999943,0.3100000000000023,72.48,-0.47999999999998977,-0.1799999999999926,-0.01999999999999602,70.22,-0.710000000000008,-0.12000000000000455,-0.030000000000001137,68.11,-0.3400000000000034,-0.14000000000000057,-0.04000000000000625
