as_of_date,stock_id,stock_name,theme,retail_ratio,retail_ratio_change_1w,total_shareholders,total_shareholders_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,theme_breadth_level,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w
20260430,5201,凱衛,,,,,,0,False,False,False,Neutral,57.22,,,,51.37,,,,41.94,,,,34.68,,,
20260508,5201,凱衛,,,,,,1,False,True,False,Neutral,56.61,-0.6099999999999994,,,51.8,0.4299999999999997,,,42.37,0.4299999999999997,,,35.11,0.4299999999999997,,
20260515,5201,凱衛,,,,,,2,True,True,True,Neutral,58.13,1.5200000000000031,0.9100000000000037,,52.08,0.28000000000000114,0.7100000000000009,,42.65,0.28000000000000114,0.7100000000000009,,35.39,0.28000000000000114,0.7100000000000009,
20260522,5201,凱衛,,,,,,3,True,True,True,Neutral,59.25,1.1199999999999974,2.6400000000000006,2.030000000000001,52.1,0.020000000000003126,0.30000000000000426,0.730000000000004,42.67,0.020000000000003126,0.30000000000000426,0.730000000000004,35.41,0.01999999999999602,0.29999999999999716,0.7299999999999969
20260529,5201,凱衛,,,,,,0,False,False,False,Neutral,57.76,-1.490000000000002,-0.37000000000000455,1.1499999999999986,51.49,-0.6099999999999994,-0.5899999999999963,-0.30999999999999517,42.27,-0.3999999999999986,-0.37999999999999545,-0.09999999999999432,32.94,-2.469999999999999,-2.450000000000003,-2.1700000000000017
20260605,5201,凱衛,,,,,,1,False,True,False,Neutral,57.86,0.10000000000000142,-1.3900000000000006,-0.2700000000000031,51.58,0.0899999999999963,-0.5200000000000031,-0.5,42.31,0.03999999999999915,-0.35999999999999943,-0.3399999999999963,32.94,0.0,-2.469999999999999,-2.450000000000003
20260612,5201,凱衛,,,,,,2,True,True,True,Neutral,58.17,0.3100000000000023,0.4100000000000037,-1.0799999999999983,51.76,0.17999999999999972,0.269999999999996,-0.3400000000000034,44.63,2.3200000000000003,2.3599999999999994,1.9600000000000009,33.0,0.060000000000002274,0.060000000000002274,-2.4099999999999966
20260618,5201,凱衛,,,,,,3,False,True,False,Neutral,56.96,-1.2100000000000009,-0.8999999999999986,-0.7999999999999972,50.26,-1.5,-1.3200000000000003,-1.230000000000004,44.75,0.11999999999999744,2.4399999999999977,2.479999999999997,32.86,-0.14000000000000057,-0.0799999999999983,-0.0799999999999983
20260626,5201,凱衛,,,,,,4,False,True,False,Neutral,56.04,-0.9200000000000017,-2.1300000000000026,-1.8200000000000003,50.61,0.3500000000000014,-1.1499999999999986,-0.9699999999999989,45.1,0.3500000000000014,0.46999999999999886,2.789999999999999,33.2,0.3400000000000034,0.20000000000000284,0.2600000000000051
20260703,5201,凱衛,,,,,,5,True,True,True,Neutral,56.51,0.46999999999999886,-0.45000000000000284,-1.6600000000000037,51.15,0.5399999999999991,0.8900000000000006,-0.6099999999999994,45.64,0.5399999999999991,0.8900000000000006,1.009999999999998,33.64,0.4399999999999977,0.7800000000000011,0.6400000000000006
20260709,5201,凱衛,,,,,,6,True,True,True,Neutral,56.68,0.1700000000000017,0.6400000000000006,-0.28000000000000114,51.29,0.14000000000000057,0.6799999999999997,1.0300000000000011,45.78,0.14000000000000057,0.6799999999999997,1.0300000000000011,33.72,0.0799999999999983,0.519999999999996,0.8599999999999994
20260717,5201,凱衛,,,,,,7,True,True,True,Neutral,56.84,0.1600000000000037,0.3300000000000054,0.8000000000000043,51.43,0.14000000000000057,0.28000000000000114,0.8200000000000003,45.92,0.14000000000000057,0.28000000000000114,0.8200000000000003,33.86,0.14000000000000057,0.21999999999999886,0.6599999999999966
20260724,5201,凱衛,,,,,,8,False,False,False,Neutral,57.08,0.23999999999999488,0.3999999999999986,0.5700000000000003,52.96,1.5300000000000011,1.6700000000000017,1.8100000000000023,43.65,-2.270000000000003,-2.1300000000000026,-1.990000000000002,33.86,0.0,0.14000000000000057,0.21999999999999886
20260731,5201,凱衛,,,,,,9,True,True,True,Neutral,57.42,0.3400000000000034,0.5799999999999983,0.740000000000002,53.22,0.259999999999998,1.7899999999999991,1.9299999999999997,43.91,0.259999999999998,-2.010000000000005,-1.8700000000000045,36.64,2.780000000000001,2.780000000000001,2.9200000000000017
20260807,5201,凱衛,,,,,,0,False,False,False,Neutral,57.33,-0.09000000000000341,0.25,0.4899999999999949,53.15,-0.07000000000000028,0.18999999999999773,1.7199999999999989,43.84,-0.06999999999999318,0.19000000000000483,-2.0799999999999983,36.57,-0.07000000000000028,2.710000000000001,2.710000000000001
20260814,5201,凱衛,,,,,,1,False,True,False,Neutral,57.15,-0.17999999999999972,-0.2700000000000031,0.07000000000000028,53.03,-0.11999999999999744,-0.18999999999999773,0.07000000000000028,43.72,-0.12000000000000455,-0.18999999999999773,0.07000000000000028,38.99,2.4200000000000017,2.3500000000000014,5.130000000000003
20260821,5201,凱衛,,,,,,2,False,False,False,Neutral,57.96,0.8100000000000023,0.6300000000000026,0.5399999999999991,52.92,-0.10999999999999943,-0.22999999999999687,-0.29999999999999716,43.61,-0.10999999999999943,-0.23000000000000398,-0.29999999999999716,38.87,-0.12000000000000455,2.299999999999997,2.229999999999997
20260828,5201,凱衛,,,,,,0,False,False,False,Neutral,57.86,-0.10000000000000142,0.7100000000000009,0.5300000000000011,52.42,-0.5,-0.6099999999999994,-0.7299999999999969,43.11,-0.5,-0.6099999999999994,-0.730000000000004,38.37,-0.5,-0.6200000000000045,1.7999999999999972
