as_of_date,stock_id,stock_name,theme,retail_ratio,retail_ratio_change_1w,total_shareholders,total_shareholders_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,theme_breadth_level,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w
20260430,1213,大飲,,,,,,0,False,False,False,Neutral,82.03,,,,80.56,,,,80.56,,,,77.46,,,
20260508,1213,大飲,,,,,,1,False,True,False,Neutral,82.04,0.010000000000005116,,,80.57,0.009999999999990905,,,80.57,0.009999999999990905,,,77.46,0.0,,
20260515,1213,大飲,,,,,,2,False,True,False,Neutral,82.11,0.06999999999999318,0.0799999999999983,,80.64,0.07000000000000739,0.0799999999999983,,80.64,0.07000000000000739,0.0799999999999983,,77.46,0.0,0.0,
20260522,1213,大飲,,,,,,3,False,True,False,Neutral,82.15,0.04000000000000625,0.10999999999999943,0.12000000000000455,80.68,0.04000000000000625,0.11000000000001364,0.12000000000000455,80.68,0.04000000000000625,0.11000000000001364,0.12000000000000455,77.46,0.0,0.0,0.0
20260529,1213,大飲,,,,,,4,False,True,False,Neutral,82.22,0.06999999999999318,0.10999999999999943,0.1799999999999926,80.75,0.06999999999999318,0.10999999999999943,0.18000000000000682,80.75,0.06999999999999318,0.10999999999999943,0.18000000000000682,77.46,0.0,0.0,0.0
20260605,1213,大飲,,,,,,0,False,False,False,Neutral,82.22,0.0,0.06999999999999318,0.10999999999999943,80.75,0.0,0.06999999999999318,0.10999999999999943,80.75,0.0,0.06999999999999318,0.10999999999999943,77.46,0.0,0.0,0.0
20260612,1213,大飲,,,,,,0,False,False,False,Neutral,82.22,0.0,0.0,0.06999999999999318,80.75,0.0,0.0,0.06999999999999318,80.75,0.0,0.0,0.06999999999999318,77.46,0.0,0.0,0.0
