as_of_date,stock_id,stock_name,theme,retail_ratio,retail_ratio_change_1w,total_shareholders,total_shareholders_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,theme_breadth_level,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w
20260430,2923,鼎固-KY,,,,,,0,False,False,False,Neutral,99.42,,,,99.37,,,,99.33,,,,99.33,,,
20260508,2923,鼎固-KY,,,,,,1,False,False,False,Neutral,99.45,0.030000000000001137,,,99.37,0.0,,,99.33,0.0,,,99.33,0.0,,
20260515,2923,鼎固-KY,,,,,,0,False,False,False,Neutral,99.42,-0.030000000000001137,0.0,,99.37,0.0,0.0,,99.33,0.0,0.0,,99.33,0.0,0.0,
20260522,2923,鼎固-KY,,,,,,0,False,False,False,Neutral,99.4,-0.01999999999999602,-0.04999999999999716,-0.01999999999999602,99.37,0.0,0.0,0.0,99.33,0.0,0.0,0.0,99.33,0.0,0.0,0.0
20260529,2923,鼎固-KY,,,,,,1,False,True,False,Neutral,99.4,0.0,-0.01999999999999602,-0.04999999999999716,99.37,0.0,0.0,0.0,99.37,0.04000000000000625,0.04000000000000625,0.04000000000000625,99.33,0.0,0.0,0.0
20260605,2923,鼎固-KY,,,,,,2,False,False,False,Neutral,99.42,0.01999999999999602,0.01999999999999602,0.0,99.37,0.0,0.0,0.0,99.37,0.0,0.04000000000000625,0.04000000000000625,99.33,0.0,0.0,0.0
