as_of_date,stock_id,stock_name,theme,retail_ratio,retail_ratio_change_1w,total_shareholders,total_shareholders_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,theme_breadth_level,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w
20260430,8227,巨有科技,,,,,,0,False,False,False,Neutral,27.36,,,,27.36,,,,27.36,,,,18.22,,,
20260508,8227,巨有科技,,,,,,1,False,False,False,Neutral,30.9,3.539999999999999,,,28.7,1.3399999999999999,,,25.29,-2.0700000000000003,,,18.22,0.0,,
20260515,8227,巨有科技,,,,,,2,False,True,False,Neutral,29.11,-1.7899999999999991,1.75,,27.63,-1.0700000000000003,0.2699999999999996,,27.63,2.34,0.2699999999999996,,18.22,0.0,0.0,
20260522,8227,巨有科技,,,,,,3,False,True,False,Neutral,29.2,0.08999999999999986,-1.6999999999999993,1.8399999999999999,27.74,0.10999999999999943,-0.9600000000000009,0.379999999999999,27.74,0.10999999999999943,2.4499999999999993,0.379999999999999,18.22,0.0,0.0,0.0
20260529,8227,巨有科技,,,,,,4,False,False,False,Neutral,29.37,0.1700000000000017,0.26000000000000156,-1.5299999999999976,29.37,1.6300000000000026,1.740000000000002,0.6700000000000017,27.6,-0.13999999999999702,-0.029999999999997584,2.3100000000000023,18.22,0.0,0.0,0.0
