as_of_date,stock_id,stock_name,theme,retail_ratio,retail_ratio_change_1w,total_shareholders,total_shareholders_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,theme_breadth_level,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w
20260430,4545,銘鈺,,,,,,0,False,False,False,Neutral,73.37,,,,72.14,,,,71.12,,,,71.12,,,
20260508,4545,銘鈺,,,,,,0,False,False,False,Neutral,73.37,0.0,,,72.14,0.0,,,71.12,0.0,,,71.12,0.0,,
20260515,4545,銘鈺,,,,,,0,False,False,False,Neutral,73.37,0.0,0.0,,72.14,0.0,0.0,,71.12,0.0,0.0,,71.12,0.0,0.0,
20260522,4545,銘鈺,,,,,,0,False,False,False,Neutral,73.27,-0.10000000000000853,-0.10000000000000853,-0.10000000000000853,72.04,-0.09999999999999432,-0.09999999999999432,-0.09999999999999432,71.02,-0.10000000000000853,-0.10000000000000853,-0.10000000000000853,71.02,-0.10000000000000853,-0.10000000000000853,-0.10000000000000853
20260529,4545,銘鈺,,,,,,0,False,False,False,Neutral,73.18,-0.0899999999999892,-0.18999999999999773,-0.18999999999999773,71.95,-0.09000000000000341,-0.18999999999999773,-0.18999999999999773,70.93,-0.0899999999999892,-0.18999999999999773,-0.18999999999999773,70.93,-0.0899999999999892,-0.18999999999999773,-0.18999999999999773
20260605,4545,銘鈺,,,,,,0,False,False,False,Neutral,73.15,-0.030000000000001137,-0.11999999999999034,-0.21999999999999886,71.92,-0.030000000000001137,-0.12000000000000455,-0.21999999999999886,70.9,-0.030000000000001137,-0.11999999999999034,-0.21999999999999886,70.9,-0.030000000000001137,-0.11999999999999034,-0.21999999999999886
20260612,4545,銘鈺,,,,,,1,True,True,True,Neutral,73.17,0.01999999999999602,-0.010000000000005116,-0.09999999999999432,71.93,0.010000000000005116,-0.01999999999999602,-0.10999999999999943,70.91,0.009999999999990905,-0.020000000000010232,-0.10999999999999943,70.91,0.009999999999990905,-0.020000000000010232,-0.10999999999999943
