event_date,index_id,index_name,event_name,event_group,event_value,close_on_event,market_regime,risk_level,mature_d1,future_ret_d1,future_max_ret_d1,future_min_ret_d1,mfe_d1,mae_d1,max_drawdown_d1,time_to_peak_d1,time_to_trough_d1,mature_d3,future_ret_d3,future_max_ret_d3,future_min_ret_d3,mfe_d3,mae_d3,max_drawdown_d3,time_to_peak_d3,time_to_trough_d3,mature_d5,future_ret_d5,future_max_ret_d5,future_min_ret_d5,mfe_d5,mae_d5,max_drawdown_d5,time_to_peak_d5,time_to_trough_d5,mature_d10,future_ret_d10,future_max_ret_d10,future_min_ret_d10,mfe_d10,mae_d10,max_drawdown_d10,time_to_peak_d10,time_to_trough_d10,mature_d20,future_ret_d20,future_max_ret_d20,future_min_ret_d20,mfe_d20,mae_d20,max_drawdown_d20,time_to_peak_d20,time_to_trough_d20,mature_d40,future_ret_d40,future_max_ret_d40,future_min_ret_d40,mfe_d40,mae_d40,max_drawdown_d40,time_to_peak_d40,time_to_trough_d40,mature_d60,future_ret_d60,future_max_ret_d60,future_min_ret_d60,mfe_d60,mae_d60,max_drawdown_d60,time_to_peak_d60,time_to_trough_d60
20241203,TPEX,TPEx,macd_hist_turn_positive,momentum,True,259.11,mild_bull,low_risk,True,1.3469182972482674,1.3546370267453867,0.00771872949711927,1.3546370267453867,0.00771872949711927,0.0,1.0,1.0,True,0.930106904403516,1.9837134807610513,0.00771872949711927,1.9837134807610513,0.00771872949711927,0.0,2.0,1.0,True,-0.3473428273706225,1.9837134807610513,-0.36278028636486104,1.9837134807610513,-0.36278028636486104,-0.36278028636486104,2.0,5.0,True,-2.0377445872409417,1.9837134807610513,-3.477287638454718,1.9837134807610513,-3.477287638454718,-3.477287638454718,2.0,9.0,True,-1.2620122727799,1.9837134807610513,-3.477287638454718,1.9837134807610513,-3.477287638454718,-3.477287638454718,2.0,9.0,True,-1.3777932152367778,1.9837134807610513,-6.641966732275872,1.9837134807610513,-6.641966732275872,-6.641966732275872,2.0,28.0,True,-1.4742773339508353,1.999150939755312,-6.641966732275872,1.999150939755312,-6.641966732275872,-6.641966732275872,54.0,28.0
20241203,TWSE,TAIEX,macd_hist_turn_positive,momentum,True,23027.46,mild_bull,normal_risk,True,0.9895576846078669,0.9895576846078669,0.03144072337983861,0.9895576846078669,0.03144072337983861,0.0,1.0,1.0,True,0.7200533623769267,1.5620915202979369,0.03144072337983861,1.5620915202979369,0.03144072337983861,0.0,2.0,1.0,True,0.42392864866556135,1.5620915202979369,0.03144072337983861,1.5620915202979369,0.03144072337983861,0.0,2.0,1.0,True,-0.04103796076511124,1.5620915202979369,-0.6378905880196961,1.5620915202979369,-0.6378905880196961,-0.6378905880196961,2.0,6.0,True,0.03317777992013493,1.5620915202979369,-2.2460575330496724,1.5620915202979369,-2.2460575330496724,-2.2460575330496724,2.0,13.0,True,1.9577061473562418,3.9799873715989698,-2.4720051625320316,3.9799873715989698,-2.4720051625320316,-2.4720051625320316,24.0,28.0,True,-2.4679665060757805,3.9799873715989698,-2.9007107166834745,3.9799873715989698,-2.9007107166834745,-2.9007107166834745,24.0,56.0
20241206,TWSE,TAIEX,kd_high_death_cross,kd_stochastic,True,23193.27,mild_bull,normal_risk,True,0.344841413047825,0.572234962987106,-0.09075908657985021,0.572234962987106,-0.09075908657985021,-0.09075908657985021,1.0,1.0,True,-1.2488105385743298,0.5852559815842984,-1.348235932233799,0.5852559815842984,-1.348235932233799,-1.348235932233799,2.0,3.0,True,-0.745000597155987,0.5852559815842984,-1.348235932233799,0.5852559815842984,-1.348235932233799,-1.348235932233799,2.0,3.0,True,-2.944906000749359,0.5852559815842984,-2.944906000749359,0.5852559815842984,-2.944906000749359,-2.944906000749359,2.0,10.0,True,1.528201930991191,1.5522606342270873,-2.944906000749359,1.5522606342270873,-2.944906000749359,-2.944906000749359,20.0,10.0,True,0.4159827398206417,3.2366285564734865,-3.1692383178396066,3.2366285564734865,-3.1692383178396066,-3.1692383178396066,21.0,25.0,True,-5.310117978189366,3.2366285564734865,-6.138418601602968,3.2366285564734865,-6.138418601602968,-6.138418601602968,21.0,58.0
20241209,TWSE,TAIEX,ma20_slope_up_price_above_ma20_ma60,trend_ma,True,23273.25,mild_bull,normal_risk,True,-0.6366536689117241,0.2395883686206135,-0.8671758349177661,0.2395883686206135,-0.8671758349177661,-0.8671758349177661,1.0,1.0,True,-0.9730054891345263,0.2395883686206135,-1.6872589775815627,0.2395883686206135,-1.6872589775815627,-1.6872589775815627,1.0,2.0,True,-1.0026532607177674,0.2395883686206135,-1.6872589775815627,0.2395883686206135,-1.6872589775815627,-1.6872589775815627,1.0,2.0,True,-0.7249094991030436,0.2395883686206135,-3.278441988119407,0.2395883686206135,-3.278441988119407,-3.278441988119407,1.0,9.0,True,1.6242682049133705,2.8818493334622497,-3.278441988119407,2.8818493334622497,-3.278441988119407,-3.278441988119407,20.0,9.0,True,0.5420815743396368,2.8818493334622497,-3.5020033729711075,2.8818493334622497,-3.5020033729711075,-3.5020033729711075,20.0,24.0,True,-5.608155285574645,2.8818493334622497,-6.460979880334716,2.8818493334622497,-6.460979880334716,-6.460979880334716,20.0,57.0
20241210,TWSE,TAIEX,kd_high_death_cross,kd_stochastic,True,23125.08,correction,normal_risk,True,-0.9576183087799062,-0.07230245257530132,-1.0573368827264673,-0.07230245257530132,-1.0573368827264673,-1.0573368827264673,1.0,1.0,True,-0.45232275953208667,0.2776639042978424,-1.0573368827264673,0.2776639042978424,-1.0573368827264673,-1.0573368827264673,2.0,1.0,True,-0.4630038036625317,0.6024627806692884,-1.0573368827264673,0.6024627806692884,-1.0573368827264673,-1.0573368827264673,4.0,1.0,True,-0.020929657324431084,0.8699213148667839,-2.6587151266071363,0.8699213148667839,-2.6587151266071363,-2.6587151266071363,10.0,8.0,True,1.2205363181446272,3.541047209350201,-2.6587151266071363,3.541047209350201,-2.6587151266071363,-2.6587151266071363,19.0,8.0,True,0.11904823680608523,3.541047209350201,-2.8837089428447427,3.541047209350201,-2.8837089428447427,-2.8837089428447427,19.0,23.0,True,-4.352201159952751,3.541047209350201,-5.861644586743065,3.541047209350201,-5.861644586743065,-5.861644586743065,19.0,56.0
20241218,TWSE,TAIEX,macd_hist_turn_positive,momentum,True,23168.67,mild_bull,low_risk,True,-1.0204297441329113,-0.9543491275070926,-1.835970731164105,-0.9543491275070926,-1.835970731164105,-1.835970731164105,1.0,1.0,True,-0.276796207982577,-0.15719503968073534,-2.8418549705270024,-0.15719503968073534,-2.8418549705270024,-2.8418549705270024,3.0,2.0,True,0.2221102894555571,0.6801426236378694,-2.8418549705270024,0.6801426236378694,-2.8418549705270024,-2.8418549705270024,4.0,2.0,True,-1.4528671693282202,0.7207578164823536,-2.8418549705270024,0.7207578164823536,-2.8418549705270024,-2.8418549705270024,7.0,2.0,True,-0.6196730325909949,3.3462430083384342,-3.0664254788902334,3.3462430083384342,-3.0664254788902334,-3.0664254788902334,13.0,17.0,True,1.7119670658695796,3.3462430083384342,-3.0664254788902334,3.3462430083384342,-3.0664254788902334,-3.0664254788902334,13.0,17.0,True,-3.8650470657141667,3.3462430083384342,-6.03875837499519,3.3462430083384342,-6.03875837499519,-6.03875837499519,13.0,50.0
20241218,TWSE,TAIEX,reclaim_ma20_after_breakdown,trend_ma,True,23168.67,mild_bull,low_risk,True,-1.0204297441329113,-0.9543491275070926,-1.835970731164105,-0.9543491275070926,-1.835970731164105,-1.835970731164105,1.0,1.0,True,-0.276796207982577,-0.15719503968073534,-2.8418549705270024,-0.15719503968073534,-2.8418549705270024,-2.8418549705270024,3.0,2.0,True,0.2221102894555571,0.6801426236378694,-2.8418549705270024,0.6801426236378694,-2.8418549705270024,-2.8418549705270024,4.0,2.0,True,-1.4528671693282202,0.7207578164823536,-2.8418549705270024,0.7207578164823536,-2.8418549705270024,-2.8418549705270024,7.0,2.0,True,-0.6196730325909949,3.3462430083384342,-3.0664254788902334,3.3462430083384342,-3.0664254788902334,-3.0664254788902334,13.0,17.0,True,1.7119670658695796,3.3462430083384342,-3.0664254788902334,3.3462430083384342,-3.0664254788902334,-3.0664254788902334,13.0,17.0,True,-3.8650470657141667,3.3462430083384342,-6.03875837499519,3.3462430083384342,-6.03875837499519,-6.03875837499519,13.0,50.0
20241219,TPEX,TPEx,kd_low_golden_cross,kd_stochastic,True,254.73,correction,normal_risk,True,-0.9186197149923414,0.7144820005496211,-0.9186197149923414,0.7144820005496211,-0.9186197149923414,-0.9186197149923414,1.0,1.0,True,0.22376634083147717,1.067797275546667,-0.9186197149923414,1.067797275546667,-0.9186197149923414,-0.9186197149923414,3.0,1.0,True,0.9618026930475532,1.3308208691555912,-0.9186197149923414,1.3308208691555912,-0.9186197149923414,-0.9186197149923414,5.0,1.0,True,-0.9343226161033225,1.3308208691555912,-0.946099791936561,1.3308208691555912,-0.946099791936561,-0.946099791936561,5.0,10.0,True,-2.622384485533691,1.3308208691555912,-5.036705531346907,1.3308208691555912,-5.036705531346907,-5.036705531346907,5.0,16.0,True,3.054214266085653,3.6509245083029107,-5.036705531346907,3.6509245083029107,-5.036705531346907,-5.036705531346907,39.0,16.0,True,-1.0285400227691976,3.752993365524282,-5.036705531346907,3.752993365524282,-5.036705531346907,-5.036705531346907,42.0,16.0
20241223,TWSE,TAIEX,reclaim_ma20_after_breakdown,trend_ma,True,23104.54,mild_bull,low_risk,True,0.06795201289444552,0.9595949540653015,0.06795201289444552,0.9595949540653015,0.06795201289444552,0.0,1.0,1.0,True,0.6163290851062042,0.9595949540653015,0.06795201289444552,0.9595949540653015,0.06795201289444552,0.0,1.0,1.0,True,0.3707496448749792,1.000322880265081,0.06795201289444552,1.000322880265081,0.06795201289444552,0.0,4.0,1.0,True,2.366331465590754,3.6330954868610155,-1.6919185579976959,3.6330954868610155,-1.6919185579976959,-1.6919185579976959,10.0,7.0,True,0.8460242013041519,3.6330954868610155,-2.797372291333222,3.6330954868610155,-2.797372291333222,-2.797372291333222,10.0,14.0,True,-0.22229397339224022,3.6330954868610155,-2.797372291333222,3.6330954868610155,-2.797372291333222,-2.797372291333222,10.0,14.0,True,-6.499371984899948,3.6330954868610155,-6.836275467938346,3.6330954868610155,-6.836275467938346,-6.836275467938346,10.0,60.0
20241225,TWSE,TAIEX,macd_hist_turn_positive,momentum,True,23220.13,mild_bull,low_risk,True,0.11546016322905306,0.43277104822410095,0.09392712271636405,0.43277104822410095,0.09392712271636405,0.0,1.0,1.0,True,-0.12889678050898024,0.4975424340862844,-0.26024832763641426,0.4975424340862844,-0.26024832763641426,-0.26024832763641426,2.0,3.0,True,-1.6712654063521626,0.4975424340862844,-2.1812970039358115,0.4975424340862844,-2.1812970039358115,-2.1812970039358115,2.0,5.0,True,-0.5986185262528698,3.1172090767795035,-2.1812970039358115,3.1172090767795035,-2.1812970039358115,-2.1812970039358115,8.0,5.0,True,-2.2627780292358457,3.1172090767795035,-3.281247779405194,3.1172090767795035,-3.281247779405194,-3.281247779405194,8.0,12.0,True,-2.684093499907192,3.1172090767795035,-3.7063961312878146,3.1172090767795035,-3.7063961312878146,-3.7063961312878146,8.0,40.0,True,-8.354647454600828,3.1172090767795035,-10.870869370671043,3.1172090767795035,-10.870869370671043,-10.870869370671043,8.0,59.0
