date,total_stocks,advancing_stocks,declining_stocks,advance_volume,decline_volume,new_20d_high_count,new_60d_high_count,new_120d_high_count,new_20d_low_count,new_60d_low_count,new_120d_low_count,stocks_above_ma20_count,stocks_above_ma60_count,stocks_above_ma120_count,stocks_above_ma240_count,limit_up_count,limit_down_count,strong_stock_count,weak_stock_count,advance_decline_ratio,advance_decline_volume_ratio,new_high_new_low_ratio,pct_stocks_above_ma20,pct_stocks_above_ma60,pct_stocks_above_ma120,pct_stocks_above_ma240,strong_stock_ratio,weak_stock_ratio,candidate_count,strict_breakout_count,range_rebound_count,revenue_low_response_count,pattern_watch_count,strong_sector_count,weak_sector_count,electronics_relative_strength,finance_relative_strength,non_fin_electronics_relative_strength,twse_vs_tpex_relative_strength,large_cap_vs_small_cap_relative_strength,breadth_expansion,breadth_deterioration,narrow_leadership,broad_participation
20251103,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,False,False,False
20251104,1892,386,1359,1287840102,4111429984,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0.28403237674760856,0.3132341076004567,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,False,False,False
20251105,1894,635,1088,2990553954,2388163313,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0.5836397058823529,1.252240136895529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,False,False,False
20251106,1902,1254,500,4044845571,1121429471,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2.508,3.6068657687345547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,False,False,False
20251107,1895,509,1242,1631028902,3641833046,63,63,63,77,77,0,726,726,726,0,25,6,0,0,0.40982286634460546,0.4478593283652685,0.8181818181818182,38.31134564643799,38.31134564643799,38.31134564643799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,False,False,False
20251110,1892,658,1090,3244262949,1809768259,56,56,56,66,66,0,661,661,661,0,27,6,0,0,0.6036697247706422,1.7926399873940988,0.8484848484848485,34.936575052854124,34.936575052854124,34.936575052854124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251111,1907,807,938,4446852195,1915216240,46,46,46,122,122,0,681,681,681,0,32,12,0,0,0.8603411513859275,2.321853847166626,0.3770491803278688,35.710540115364445,35.710540115364445,35.710540115364445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251112,1900,1264,496,5049045815,1252914062,57,57,57,43,43,0,950,950,950,0,32,8,0,0,2.5483870967741935,4.029842084253022,1.3255813953488371,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251113,1903,834,889,5113914013,2790205770,68,68,68,39,39,0,958,958,958,0,33,5,0,0,0.9381327334083239,1.8328089160965357,1.7435897435897436,50.341565948502364,50.341565948502364,50.341565948502364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251114,1901,473,1286,1514201970,4888356440,37,37,37,136,136,0,756,756,756,0,21,8,0,0,0.3678071539657854,0.3097568658475322,0.27205882352941174,39.76854287217254,39.76854287217254,39.76854287217254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251117,1911,491,1284,2310746693,3413794539,28,28,28,181,181,0,609,609,609,0,17,6,0,0,0.382398753894081,0.6768851102787472,0.15469613259668508,31.868131868131865,31.868131868131865,31.868131868131865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,True,False,False
20251118,1903,211,1599,1633973378,5237807954,13,13,13,249,249,0,362,362,362,0,6,10,0,0,0.13195747342088807,0.3119574815170858,0.05220883534136546,19.022595901208618,19.022595901208618,19.022595901208618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,True,False,False
20251119,1903,503,1232,1194672853,4267576249,8,8,8,147,147,0,335,335,335,0,6,5,0,0,0.4082792207792208,0.27994177099470496,0.05442176870748299,17.603783499737258,17.603783499737258,17.603783499737258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,True,False,False
20251120,1900,1455,309,4434359933,1332591946,19,19,19,25,25,0,497,497,497,0,20,5,0,0,4.70873786407767,3.327620241372823,0.76,26.157894736842106,26.157894736842106,26.157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,True,False,False
20251121,1895,263,1521,496686821,4889343818,13,13,13,84,84,0,352,352,352,0,7,15,0,0,0.17291255752794216,0.10158557865606824,0.15476190476190477,18.575197889182057,18.575197889182057,18.575197889182057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,True,False,False
20251124,1903,1265,493,4906382063,2398473487,41,41,41,40,40,0,487,487,487,0,28,1,0,0,2.5659229208924947,2.04562697465415,1.025,25.5911718339464,25.5911718339464,25.5911718339464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,False,True,True,False
20251125,1908,1227,505,3019048690,1553197650,36,36,36,18,18,0,584,584,584,0,34,2,0,0,2.4297029702970296,1.943763364565997,2.0,30.60796645702306,30.60796645702306,30.60796645702306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251126,1916,1451,341,3107374212,2186581234,44,44,44,9,9,0,856,856,856,0,39,3,0,0,4.255131964809384,1.42111080241714,4.888888888888889,44.676409185803756,44.676409185803756,44.676409185803756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
20251127,1901,985,730,3571014419,1096212036,37,37,37,4,4,0,919,919,919,0,24,0,0,0,1.3493150684931507,3.2575946091874513,9.25,48.34297738032615,48.34297738032615,48.34297738032615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,False,False,False
