date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge
20260515,6205,詮欣,listed,76.8,2030.0,W底右側攻擊增強,已突破頸線,118,20260302,48.15,20260325,66.0,20260331,50.5,4.88,37.07,52.08,16.36,16.86,51.18,1653.0,6887.0,4.17,11,12,2.79,,False,20260515,48.21,-0.35,40.75,0.01,超大戶增加
20260515,2465,麗臺,listed,77.3,3037.0,W底右側攻擊增強,已突破頸線,118,20260211,50.8,20260319,69.1,20260331,50.5,-0.59,36.02,53.07,11.87,27.27,48.65,694.0,2734.0,3.94,11,12,2.15,,False,20260515,36.1,-0.18,29.65,0.0,變化不明顯
20260515,4569,六方科-KY,listed,194.0,1848.0,W底右側攻擊增強,已突破頸線,118,20260205,138.5,20260305,177.0,20260318,136.0,-1.81,27.8,42.65,9.6,19.29,41.09,83.0,293.0,3.51,8,13,3.48,,False,20260515,66.47,0.0,52.36,0.0,變化不明顯
20260515,6168,宏齊,listed,26.2,3425.0,W底右側攻擊增強,已突破頸線,118,20260109,19.5,20260128,25.05,20260202,20.0,2.56,28.46,31.0,4.59,23.74,29.38,2488.0,8392.0,3.37,7,32,9.4,,False,20260515,45.62,-0.38,42.76,0.01,超大戶增加
20260515,4562,穎漢,listed,39.05,3603.0,W底右側攻擊增強,已突破頸線,118,20260309,30.25,20260416,38.7,20260427,30.1,-0.5,27.93,29.73,0.9,14.42,26.58,559.0,1860.0,3.33,6,8,2.89,,False,20260515,52.66,0.09,50.04,0.0,中大戶增加
20260515,8374,羅昇,listed,103.0,7236.0,W底右側攻擊增強,已突破頸線,118,20260309,68.7,20260416,91.5,20260427,74.0,7.71,33.19,39.19,12.57,18.85,37.52,639.0,2016.0,3.16,6,8,1.86,,False,20260515,72.19,0.04,68.57,0.0,中大戶增加
20260515,2342,茂矽,listed,40.45,6890.0,W底右側攻擊增強,已突破頸線,118,20260309,27.65,20260319,34.65,20260331,28.0,1.27,25.32,44.46,16.74,15.18,43.95,2140.0,6749.0,3.15,4,15,5.26,,False,20260515,39.48,-4.57,34.17,-3.78,大戶籌碼減少
20260515,2337,旺宏,listed,162.5,129725.0,W底右側攻擊增強,已突破頸線,118,20260327,115.5,20260414,162.0,20260420,118.0,2.16,40.26,37.71,0.31,24.4,34.85,70562.0,206576.0,2.93,6,9,2.79,,False,20260515,52.77,-0.22,47.96,-0.49,大戶籌碼減少
20260515,4739,康普,listed,96.3,5802.0,W底右側攻擊增強,已突破頸線,118,20260206,61.7,20260302,80.9,20260309,64.5,4.54,31.12,49.3,19.04,25.76,46.8,2050.0,5350.0,2.61,5,22,3.88,,False,20260515,42.45,1.67,30.3,0.83,中大戶/超大戶同步增加
20260515,2441,超豐,listed,106.5,37141.0,W底右側攻擊增強,已突破頸線,118,20260309,79.1,20260320,100.5,20260407,83.4,5.44,27.05,27.7,5.97,20.35,23.84,5738.0,14247.0,2.48,5,12,1.79,,False,20260515,72.84,-0.79,68.22,-1.09,大戶籌碼減少
