date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260520,4566,時碩工業,TWSE,60.5,1027.0,W底右側攻擊增強・預備發動,預備發動型,130,20260206,55.0,20260324,66.8,20260407,55.3,0.55,21.45,9.4,-9.43,7.1,9.21,722.0,2174.0,3.01,10,13,2.04,電機機械,True,20260515,53.34,-0.2,49.94,0.41,超大戶增加,1
20260520,1304,台聚,TWSE,12.15,4632.0,W底右側攻擊增強・預備發動,預備發動型,130,20260113,11.05,20260127,13.0,20260203,10.95,-0.9,17.65,10.96,-6.54,6.96,9.95,7977.0,20046.0,2.51,4,24,5.64,塑膠工業,False,20260515,59.99,0.17,57.05,0.23,中大戶/超大戶同步增加,1
20260520,2337,旺宏,TWSE,141.0,112446.0,W底右側攻擊增強・預備發動,預備發動型,130,20260327,115.5,20260414,162.0,20260420,118.0,2.16,40.26,19.49,-12.96,24.4,17.01,82254.0,193671.0,2.35,6,10,2.93,半導體業,True,20260515,52.77,-0.22,47.96,-0.49,大戶籌碼減少,1
20260520,1305,華夏,TWSE,12.45,2731.0,W底右側攻擊增強・預備發動,預備發動型,130,20260122,11.55,20260128,13.3,20260206,11.25,-2.6,15.15,10.67,-6.39,6.72,8.26,6278.0,13780.0,2.2,2,24,16.07,塑膠工業,False,20260515,50.83,0.6,47.54,0.03,中大戶/超大戶同步增加,1
20260520,6781,AES-KY,TWSE,1090.0,1086.0,W底右側攻擊增強・預備發動,預備發動型,130,20260309,935.0,20260326,1175.0,20260402,957.0,2.35,25.67,13.9,-7.23,10.26,13.9,1173.0,1955.0,1.67,4,10,2.13,電子零組件業,True,20260515,71.56,-0.51,69.91,0.0,變化不明顯,1
20260520,4927,泰鼎-KY,TWSE,47.7,6787.0,W底右側攻擊增強・預備發動,預備發動型,130,20260310,41.0,20260318,53.8,20260324,41.0,0.0,31.22,16.34,-11.34,8.33,12.1,12957.0,18594.0,1.44,5,17,6.07,電子零組件業,True,20260515,28.55,-4.03,22.36,-4.17,大戶籌碼減少,1
20260520,1904,正隆,TWSE,18.4,2052.0,W底右側攻擊增強・預備發動,預備發動型,126,20260119,17.65,20260224,19.45,20260313,17.25,-2.27,10.2,6.67,-5.4,3.58,6.36,1150.0,3074.0,2.67,11,16,2.4,造紙工業,False,20260515,65.04,0.47,60.82,0.5,中大戶/超大戶同步增加,1
20260520,1447,力鵬,TWSE,5.89,3038.0,W底右側攻擊增強・預備發動,預備發動型,126,20260113,5.05,20260128,6.4,20260513,4.9,-2.97,26.73,20.2,-7.97,11.2,20.2,1932.0,4523.0,2.34,5,5,1.47,紡織纖維,False,20260515,70.31,0.25,65.45,0.41,中大戶/超大戶同步增加,1
20260520,1815,富喬,TPEX,99.5,14956.0,W底右側攻擊增強・預備發動,預備發動型,124,20260309,95.4,20260320,117.0,20260331,95.0,-0.42,22.64,4.74,-14.96,5.05,3.86,16495.0,56827.0,3.45,6,11,3.31,電子零組件業,True,20260515,36.15,-3.05,33.02,-2.56,大戶籌碼減少,1
20260520,6282,康舒,TWSE,50.8,15473.0,W底右側攻擊增強・預備發動,預備發動型,124,20260309,41.8,20260318,55.0,20260407,42.5,1.67,31.58,19.53,-7.64,22.51,18.97,23326.0,32351.0,1.39,5,13,2.38,電子零組件業,True,20260515,45.48,1.41,41.87,1.84,中大戶/超大戶同步增加,1
