date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260518,4967,十銓,TWSE,278.5,5083.0,W底右側攻擊增強・預備發動,接近突破型,112,20260211,197.0,20260320,288.5,20260416,211.0,7.11,46.45,31.99,-3.47,31.08,30.75,10583.0,19714.0,1.86,11,11,1.26,半導體業,True,20260515,24.66,-2.72,17.38,-0.6,大戶籌碼減少,2
20260518,2030,彰源,TWSE,16.8,1527.0,W底右側攻擊增強・預備發動,接近突破型,112,20260310,15.3,20260330,17.25,20260331,15.7,2.61,12.75,7.01,-2.61,5.18,6.67,1058.0,1493.0,1.41,3,9,1.37,鋼鐵工業,False,20260515,46.63,1.7,42.2,0.83,中大戶/超大戶同步增加,2
20260518,2883,凱基金,TWSE,21.35,65259.0,W底右側攻擊增強・預備發動,接近突破型,112,20260323,19.4,20260408,21.5,20260424,20.05,3.35,10.82,6.48,-0.7,7.83,5.17,43654.0,60080.0,1.38,6,9,2.03,金融保險業,False,20260515,66.62,0.04,62.69,0.08,中大戶/超大戶同步增加,2
20260518,5388,中磊,TWSE,77.6,3356.0,W底右側攻擊增強・預備發動,接近突破型,110,20260309,75.0,20260320,81.1,20260327,74.9,-0.13,8.13,3.6,-4.32,4.22,-0.51,2032.0,6262.0,3.08,4,14,5.21,通信網路業,True,20260515,50.54,-1.84,40.21,-3.42,大戶籌碼減少,2
20260518,3596,智易,TWSE,183.0,1465.0,W底右側攻擊增強・預備發動,接近突破型,110,20251231,173.5,20260123,188.5,20260130,176.5,1.73,8.65,3.68,-2.92,5.17,1.95,985.0,2159.0,2.19,5,29,4.53,通信網路業,True,20260515,72.49,-0.51,61.95,0.23,超大戶增加,2
20260518,3545,敦泰,TWSE,57.0,1860.0,W底右側攻擊增強・預備發動,接近突破型,110,20260105,49.95,20260123,58.6,20260429,49.85,-0.2,17.32,14.34,-2.73,9.5,11.55,2007.0,2835.0,1.41,5,8,1.0,半導體業,True,20260515,24.51,0.83,18.41,0.93,中大戶/超大戶同步增加,2
20260518,3231,緯創,TWSE,135.5,29122.0,W底右側攻擊增強・預備發動,接近突破型,110,20260309,123.5,20260316,137.5,20260323,125.0,1.21,11.34,8.4,-1.45,5.88,7.97,34465.0,40861.0,1.19,4,18,4.57,電腦及週邊設備業,True,20260515,60.85,-1.42,56.52,-1.39,大戶籌碼減少,2
20260518,2382,廣達,TWSE,300.0,36475.0,W底右側攻擊增強・預備發動,接近突破型,110,20260108,272.0,20260226,302.0,20260331,278.0,2.21,11.03,7.91,-0.66,6.78,7.72,20004.0,23284.0,1.16,8,13,1.82,電腦及週邊設備業,True,20260515,86.17,0.09,82.02,-0.09,中大戶增加,2
20260518,6139,亞翔,TWSE,721.0,3684.0,W底右側攻擊增強・預備發動,接近突破型,108,20260427,657.0,20260507,740.0,20260511,655.0,-0.3,12.63,10.08,-2.57,8.26,6.19,3106.0,5700.0,1.84,3,3,1.47,其他電子業,True,20260515,69.44,-0.24,59.21,-1.23,大戶籌碼減少,2
20260518,1215,卜蜂,TWSE,141.5,1891.0,W底右側攻擊增強・預備發動,接近突破型,108,20260401,133.5,20260414,146.5,20260508,130.5,-2.25,9.74,8.43,-3.41,4.33,5.6,1103.0,1930.0,1.75,4,4,1.4,食品工業,False,20260515,64.06,-0.46,60.1,-0.1,大戶籌碼減少,2
