Code,Name,RecentlyMetAttentionSecuritiesCriteria
050503,緯穎中信5A購05,115年5月28日至115年5月29日連續二次
2302,麗正,115年5月28日至115年5月29日連續二次
2369,菱生,115年5月26日至115年5月29日連續四次
3189,景碩,115年5月28日至115年5月29日連續二次
3528,安馳,115年5月28日至115年5月29日連續二次
6770,力積電,115年5月28日至115年5月29日連續二次
6906,現觀科,115年5月28日至115年5月29日連續二次
8150,南茂,115年5月28日至115年5月29日連續二次
