Date,SecuritiesCompanyCode,CompanyName,AccumulationSituation
20260529,2061,風青,115年05月28日至115年05月29日連續二次
20260529,3485,敘豐,115年05月28日至115年05月29日連續二次
20260529,3523,迎輝,115年05月28日至115年05月29日連續二次
20260529,4760,勤凱,115年05月28日至115年05月29日連續二次
20260529,4973,廣穎,115年05月28日至115年05月29日連續二次
20260529,5321,美而快,115年05月28日至115年05月29日連續二次
20260529,6173,信昌電,115年05月28日至115年05月29日連續二次
20260529,6182,合晶,115年05月28日至115年05月29日連續二次
20260529,61828,合晶八,115年05月28日至115年05月29日連續二次
20260529,6654,天正國際,115年05月28日至115年05月29日連續二次
20260529,8291,尚茂,115年05月28日至115年05月29日連續二次
