Code,Name,RecentlyMetAttentionSecuritiesCriteria
058462,汎銓元大59購05,115年5月29日至115年6月1日連續二次
059942,惠特群益61購01,115年5月29日至115年6月1日連續二次
1563,巧新,115年5月29日至115年6月1日連續二次
2337,旺宏,115年5月20日至115年6月1日等九個營業日已有五次
2464,盟立,115年5月29日至115年6月1日連續二次
3026,禾伸堂,115年5月29日至115年6月1日連續二次
3481,群創,115年5月27日至115年6月1日連續四次
3532,台勝科,115年5月29日至115年6月1日連續二次
6239,力成,115年5月29日至115年6月1日連續二次
