Date,SecuritiesCompanyCode,CompanyName,TradingInformation,ClosePrice,PriceEarningRatio
1150529,2061,風青,最近六個營業日(含當日)累積之最後成交價漲幅達41.16%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達125.46%(第二款),36.30,N/A
1150529,24642,盟立二,最近六個營業日(含當日)累積之最後成交價漲幅達31.42%(第一款),233.00,N/A
1150529,3191,雲嘉南,最近六個營業日(含當日)累積之最後成交價漲幅達55.91%(第一款)當日之成交量較最近六十個營業日日平均成交量放大10.13倍(第三款),26.45,120.23
1150529,3455,由田,最近六個營業日(含當日)累積之最後成交價跌幅達24.26%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣51.5元(第一款),241.50,135.67
1150529,3485,敘豐,最近六個營業日(含當日)累積之最後成交價漲幅達34.18%(第一款),334.00,64.60
1150529,3491,昇達科,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達182.05%(第二款),2200.00,240.70
1150529,3523,迎輝,最近六個營業日(含當日)累積之最後成交價漲幅達48.92%(第一款)當日之成交量較最近六十個營業日日平均成交量放大14.02倍(第三款)土銀證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為59.43%，台新證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為82.48%(第五款),15.95,N/A
1150529,3675,德微,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達205.92%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣93.5元(第十一款),413.00,146.45
1150529,4760,勤凱,最近六個營業日(含當日)累積之最後成交價漲幅達43.21%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達172.33%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達172.33%(第二款),468.00,62.07
1150529,47602,勤凱二,最近六個營業日(含當日)累積之最後成交價漲幅達54.99%(第一款),170.00,N/A
1150529,4939,亞電,最近六個營業日(含當日)累積之最後成交價漲幅達29.5%，當日之成交量較最近六十個營業日日平均成交量放大6.47倍(第三款)當日週轉率達31.77%(第四款),50.50,N/A
1150529,4973,廣穎,最近六個營業日(含當日)累積之最後成交價漲幅達40.78%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達106.18%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達297.53%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達228.23%(第二款)當日週轉率達21.53%(第四款),160.00,17.02
1150529,4979,華星光,當日本益比為112.84、股價淨值比為21.5且為其所屬產業類別股價淨值比之2.79倍、當日週轉率達6.69%(第六款),624.00,112.84
1150529,4991,環宇-KY,當日本益比為301.65、股價淨值比為20.7且為其所屬產業類別股價淨值比之3.56倍、當日週轉率達7.2%(第六款),730.00,301.65
1150529,5321,美而快,最近六個營業日(含當日)累積之最後成交價漲幅達41.02%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達113.93%(第二款),52.20,N/A
1150529,5457,宣德,最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達15.87%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款),29.75,53.13
