Code,Name,RecentlyMetAttentionSecuritiesCriteria
060668,惠特元大59購04,115年6月2日至115年6月3日連續二次
2408,南亞科,115年6月2日至115年6月3日連續二次
3528,安馳,115年6月2日至115年6月3日連續二次
3535,晶彩科,115年5月22日至115年6月3日等九個營業日已有五次
8454,富邦媒,115年6月2日至115年6月3日連續二次
