Code,Name,RecentlyMetAttentionSecuritiesCriteria
058498,汎銓國票5A購01,115年5月27日至115年5月28日連續二次
1568,倉佑,115年5月27日至115年5月28日連續二次
2305,全友,115年5月27日至115年5月28日連續二次
2327,國巨*,115年5月27日至115年5月28日連續二次
2369,菱生,115年5月27日至115年5月28日連續二次
2375,凱美,115年5月27日至115年5月28日連續二次
2454,聯發科,115年5月27日至115年5月28日連續二次
2472,立隆電,115年5月27日至115年5月28日連續二次
2492,華新科,115年5月27日至115年5月28日連續二次
3021,鴻名,115年5月27日至115年5月28日連續二次
6116,彩晶,115年5月27日至115年5月28日連續二次
6442,光聖,115年5月25日至115年5月28日連續四次
6449,鈺邦,115年5月27日至115年5月28日連續二次
