Date,SecuritiesCompanyCode,CompanyName,AccumulationSituation
20260528,1570,力肯,115年05月27日至115年05月28日連續二次
20260528,24642,盟立二,115年05月27日至115年05月28日連續二次
20260528,3131,弘塑,115年05月27日至115年05月28日連續二次
20260528,31311,弘塑一,115年05月27日至115年05月28日連續二次
20260528,31312,弘塑二,115年05月27日至115年05月28日連續二次
20260528,5386,青雲,115年05月27日至115年05月28日連續二次
20260528,61827,合晶七,115年05月27日至115年05月28日連續二次
20260528,6291,沛亨,115年05月27日至115年05月28日連續二次
20260528,6488,環球晶,115年05月27日至115年05月28日連續二次
20260528,705031,訊聯群益5A購02,115年05月27日至115年05月28日連續二次
20260528,76101,聯友金屬一創,115年05月27日至115年05月28日連續二次
20260528,7828,創新服務,115年05月27日至115年05月28日連續二次
