episode_key,condition_variant_id,stock_id,change_class,changed_columns,old_row_sha256,new_row_sha256
absolute_or_latest_yoy_ge15|1268|20251117|1,absolute_or_latest_yoy_ge15,1268,added_episode,,,2545f5e790f6ee668e958934732141e47f82f049171e25ec5ce9caf0e5d93542
absolute_or_latest_yoy_ge15|1268|20260317|1,absolute_or_latest_yoy_ge15,1268,removed_episode,,134ee4026b54775d0fc10539167764cb315386dcb14356f3fcd6c9ccaa65f918,
absolute_or_latest_yoy_ge15|1294|20251017|1,absolute_or_latest_yoy_ge15,1294,added_episode,,,e48844bb0a9c01737024cf6089f50d89d1055d10344129989525d8c00c5750f2
absolute_or_latest_yoy_ge15|1294|20251217|1,absolute_or_latest_yoy_ge15,1294,removed_episode,,410fc51cd134f9c0be43c2197e92360d2b8d1198c9f980e7d9c1682e75374c06,
absolute_or_latest_yoy_ge15|1295|20251117|1,absolute_or_latest_yoy_ge15,1295,added_episode,,,4964462f8485dafb042b4ee7302c927c685db26345243349e06a68308de5fe7a
absolute_or_latest_yoy_ge15|1570|20260417|1,absolute_or_latest_yoy_ge15,1570,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,9009c1f092f0b3cad67e1d7ff2550093b992f3b7c1ec69a88598e54105a375db,76af668ea3c93fcba7c409086d4b54cf1731a179fa08896e9fa7dcaad20cffba
absolute_or_latest_yoy_ge15|1586|20260217|1,absolute_or_latest_yoy_ge15,1586,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,19ae84bc956e7d02a16c00078b6268c5abbac621403bb5497ac70a0cf065e351,bbd76c80fa694e6970be8b4eff1aa9b9ebaff67c3ffd4d149227594417dc5af2
absolute_or_latest_yoy_ge15|1591|20251217|1,absolute_or_latest_yoy_ge15,1591,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,c4e1208a60da88d0b3b530d9f92daf39d1fe110a87cc9588fcd71f7bc0edf84f,5a0a31e944f741f28a80b42991f328b90c497dbbf14c0929f11ccbd6ce882009
absolute_or_latest_yoy_ge15|1593|20251017|1,absolute_or_latest_yoy_ge15,1593,added_episode,,,0acea0b430bfe4b4a443643d72e419fe929a4c773a3fb37174f5b519abb493a5
absolute_or_latest_yoy_ge15|1593|20251217|1,absolute_or_latest_yoy_ge15,1593,removed_episode,,0145956fd7d9ed7df3ed494d8763643cf290967568048e65b0a70c5251ac59c3,
absolute_or_latest_yoy_ge15|1595|20260617|1,absolute_or_latest_yoy_ge15,1595,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,3319d2a260ea74031b4bfeb3008537d3ae4fe3a41dd3b220b9d551282f031020,954f58679bb2f9876f9d202832ea48916a45b717dd9dea0a4d6c2eb58177c657
absolute_or_latest_yoy_ge15|1599|20260317|1,absolute_or_latest_yoy_ge15,1599,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,cd26e985a4c04a764500b9b2d31663613d854ee146ae2dc1be342975e993b519,31fe949f5f8a1c82b3b4eb2ee634b629ec46cff817982ae09b348a73cb0f54c8
absolute_or_latest_yoy_ge15|1777|20251117|1,absolute_or_latest_yoy_ge15,1777,added_episode,,,65fec6e8290d0b9160bcb67a499acf2e8f99597291ff42f4fb286e899a3f1638
absolute_or_latest_yoy_ge15|1781|20260617|1,absolute_or_latest_yoy_ge15,1781,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,3143358d61802ab773478f21c6ffcdadd1a8475391967e297e374487f7356b01,1554cd9aeeb5948f7b357198223bdfee9a6d2f000d029c9defa72ab3c52bb7aa
absolute_or_latest_yoy_ge15|1785|20251017|1,absolute_or_latest_yoy_ge15,1785,added_episode,,,1265c9cf388cbe41ac1b45e62c4b7903d99d52b5cd17556fed22ab8926d15f74
absolute_or_latest_yoy_ge15|1785|20251217|1,absolute_or_latest_yoy_ge15,1785,removed_episode,,0f83489760b82699780b75f05be09a896d1e43efe357f6c8aa2d09a067efe44d,
absolute_or_latest_yoy_ge15|1785|20260517|2,absolute_or_latest_yoy_ge15,1785,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,3c783527c246bf0216b20c2af90cad7df41497ba6c8536f32aef4301c883569a,82d27ad677ea58a106a86c632d0ee14cf593b3871d34924b2468595f3bdd3534
absolute_or_latest_yoy_ge15|1796|20251017|1,absolute_or_latest_yoy_ge15,1796,added_episode,,,e49f257b33e9edef987d2e7082eae602e2dcea367e20d33586bf59ea89568ee7
absolute_or_latest_yoy_ge15|1796|20251217|1,absolute_or_latest_yoy_ge15,1796,removed_episode,,70bf0fba617af93d67fd06329ff6c38143fa1d1fb506f904e0d8cf940262134a,
absolute_or_latest_yoy_ge15|1799|20260217|1,absolute_or_latest_yoy_ge15,1799,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,1ec4638354f1c529139fd0201f5a139a7724ddd5607303a9ff79a8de3e651630,339e4a7d4606b6bf5b052d4f5e59cf0017ae283bdf9f75793ba89e655a68d9d8
absolute_or_latest_yoy_ge15|1813|20260117|1,absolute_or_latest_yoy_ge15,1813,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,d97ff54b7f1aa0e464ee1a39f9b3c41c9240bc36a3553bfbfc962a74416e6a55,88889be863391a3d778fa9059bbc6cbcf1dc4f3c7aa07a01b2c69df639e8b897
absolute_or_latest_yoy_ge15|1815|20251017|1,absolute_or_latest_yoy_ge15,1815,added_episode,,,2eaba4a0fab1865fed9587145abf95da28e87edd1026b9b771b96eba2fb3fa01
absolute_or_latest_yoy_ge15|1815|20251217|1,absolute_or_latest_yoy_ge15,1815,removed_episode,,36bb61085873c9e2d288e37756534c47c648fa40304b691dfd75dc83d1f744af,
absolute_or_latest_yoy_ge15|2035|20260217|1,absolute_or_latest_yoy_ge15,2035,changed_episode,episode_start_sequence_index|latest_qualifying_sequence_index|qualifying_sequence_indices|episode_end_sequence_index,35cf354f3a06851c5340dea6f33d928919aff093983d37ed2e0100d85c20025f,67c2130868d3cf4c52a9465a3ff977c61beb0d0d3858949245fba345d9dc43a5
absolute_or_latest_yoy_ge15|2061|20251017|1,absolute_or_latest_yoy_ge15,2061,added_episode,,,ee60df709d3ec090e67d26e5534ed97a0e12bfb2d07379cdcb05177cf5e0878a
absolute_or_latest_yoy_ge15|2061|20260217|1,absolute_or_latest_yoy_ge15,2061,removed_episode,,d1c9cf7e38c6e684c7a1139b44547df09ed6d502dc7932458561b9d0cdc446d7,
