source_version,condition_variant_id,metric_basis,episode_count,stock_count,launch_count,no_launch_count,right_censored_count,retrospective_launch_rate_pct,unresolved_candidate_count,observed_d20_count,first_breakout_d20_positive_rate_pct,first_breakout_d20_neutral_rate_pct,first_breakout_d20_loss_rate_pct,first_breakout_d20_high_return_ge20_rate_pct,first_breakout_d20_mean_pct,first_breakout_d20_median_pct,first_breakout_d20_min_pct,first_breakout_d20_max_pct,metric_interpretation,research_only,formal_model_use_allowed,promotion_evidence_allowed,pdf_consumption_allowed,production_change
v2,absolute_or_two_month_yoy_ge15,primary_all_rows,1557,1315,339,170,1048,66.6012,141,1370,45.0365,1.2409,53.7226,13.5766,3.9303,-1.0413,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge15,candidate_exclusion_sensitivity_only,1416,1195,324,166,926,66.1224,0,1244,45.6592,1.3666,52.9743,13.9871,3.9509,-0.8758,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge15_cumulative_improving,primary_all_rows,1549,1310,338,169,1042,66.6667,141,1363,44.8276,1.2472,53.9252,13.6464,3.8935,-1.0526,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge15_cumulative_improving,candidate_exclusion_sensitivity_only,1408,1190,323,165,920,66.1885,0,1237,45.4325,1.3743,53.1932,14.0663,3.9104,-0.8951,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge17_5,primary_all_rows,1514,1286,333,157,1024,67.9592,141,1333,44.9362,1.3503,53.7134,13.8035,4.0546,-1.0381,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge17_5,candidate_exclusion_sensitivity_only,1373,1166,318,153,902,67.5159,0,1207,45.4847,1.4913,53.024,14.2502,4.0782,-0.8743,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge18,primary_all_rows,1507,1280,331,158,1018,67.6892,141,1327,44.9133,1.3564,53.7302,13.9412,4.0232,-1.0444,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge18,candidate_exclusion_sensitivity_only,1366,1160,316,154,896,67.234,0,1201,45.4621,1.4988,53.0391,14.4047,4.0437,-0.8772,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge20,primary_all_rows,1482,1259,323,161,998,66.7355,141,1310,44.9618,1.2977,53.7405,13.9695,4.1396,-1.0457,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge20,candidate_exclusion_sensitivity_only,1341,1139,308,157,876,66.2366,0,1184,45.5236,1.4358,53.0405,14.4426,4.1728,-0.8869,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_or_two_month_yoy_ge25,primary_all_rows,1459,1238,314,157,988,66.6667,141,1286,44.9456,1.2442,53.8103,13.7636,3.9875,-1.0413,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
