episode_key,condition_variant_id,stock_id,first_breakout_date,first_breakout_d20_return_pct,unit_d20_date,unit_raw_d0_close,unit_raw_d20_close,unit_existing_action_ids,unit_added_action_ids,unit_added_share_factor,unit_reconciled_d20_return_pct,unit_delta_percentage_points,unit_reconciliation_status,unit_anomaly_disposition
absolute_strong|4763|20250517|1,absolute_strong,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_latest_yoy_ge15|4763|20250517|1,absolute_or_latest_yoy_ge15,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge10|4763|20250517|1,absolute_or_two_month_yoy_ge10,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge12_5|4763|20250517|1,absolute_or_two_month_yoy_ge12_5,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge15|4763|20250517|1,absolute_or_two_month_yoy_ge15,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge17_5|4763|20250517|1,absolute_or_two_month_yoy_ge17_5,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge18|4763|20250517|1,absolute_or_two_month_yoy_ge18,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge20|4763|20250517|1,absolute_or_two_month_yoy_ge20,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge25|4763|20250517|1,absolute_or_two_month_yoy_ge25,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_two_month_yoy_ge15_cumulative_improving|4763|20250517|1,absolute_or_two_month_yoy_ge15_cumulative_improving,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_turn_positive_accel20|4763|20250517|1,absolute_or_turn_positive_accel20,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
absolute_or_positive_accel20|4763|20250517|1,absolute_or_positive_accel20,4763,20250522,-89.832,20250701,893.0,90.8,,4763_20250630_par_value_change_1_to_10,10.0000000000,1.6797312430,91.5117312430,share_unit_only_reconciled,unresolved_anomaly_candidate
