condition_variant_id,metric_basis,outcome_version,episode_count,stock_count,observed_d20_count,unresolved_candidate_count,positive_rate_pct,neutral_rate_pct,loss_rate_pct,high_return_ge20_rate_pct,mean_pct,median_pct,min_pct,max_pct,metric_interpretation,research_only,formal_model_use_allowed,promotion_evidence_allowed,pdf_consumption_allowed,production_change
absolute_or_latest_yoy_ge15,primary_all_rows,frozen_v3,1889,1544,1682,157,46.4922711058,0.9512485137,52.5564803805,13.1391200951,3.9683106421,-0.5788500000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_latest_yoy_ge15,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1889,1544,1682,157,46.5517241379,0.9512485137,52.4970273484,13.1391200951,4.0227171410,-0.5780000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_latest_yoy_ge15,candidate_exclusion_sensitivity_only,frozen_v3,1732,1415,1536,0,47.2005208333,0.9765625000,51.8229166667,13.4765625000,4.0220062500,-0.5279500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_latest_yoy_ge15,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1732,1415,1536,0,47.2005208333,0.9765625000,51.8229166667,13.4765625000,4.0220062500,-0.5279500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_positive_accel20,primary_all_rows,frozen_v3,1900,1572,1704,158,45.8920187793,0.9389671362,53.1690140845,12.0305164319,3.3016302817,-0.7467500000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_positive_accel20,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1900,1572,1704,158,45.9507042254,0.9389671362,53.1103286385,12.0305164319,3.3553343493,-0.7436500000,-88.6792000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_positive_accel20,candidate_exclusion_sensitivity_only,frozen_v3,1742,1442,1557,0,46.4996788696,0.9633911368,52.5369299936,12.3314065511,3.3793240848,-0.6780000000,-35.6747000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_positive_accel20,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1742,1442,1557,0,46.4996788696,0.9633911368,52.5369299936,12.3314065511,3.3793240848,-0.6780000000,-35.6747000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_turn_positive_accel20,primary_all_rows,frozen_v3,1888,1562,1695,157,46.0766961652,0.9439528024,52.9793510324,12.2713864307,3.3607155752,-0.7386000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_turn_positive_accel20,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1888,1562,1695,157,46.1356932153,0.9439528024,52.9203539823,12.2713864307,3.4147047972,-0.7080000000,-88.6792000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
