date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20241101,2330,True,台積電,TWSE,996.0,1030.0,996.0,1025.0,61545741,62269386415
20241104,2330,True,台積電,TWSE,1030.0,1045.0,1025.0,1040.0,28225506,29263376605
20241105,2330,True,台積電,TWSE,1030.0,1055.0,1030.0,1050.0,33407780,34851674542
20241106,2330,True,台積電,TWSE,1050.0,1080.0,1040.0,1060.0,59404980,63110184620
20241107,2330,True,台積電,TWSE,1050.0,1075.0,1050.0,1065.0,46030563,48979606039
20241108,2330,True,台積電,TWSE,1085.0,1090.0,1080.0,1090.0,38840413,42224017162
20241111,2330,True,台積電,TWSE,1080.0,1090.0,1070.0,1085.0,36630666,39467913757
20241112,2330,True,台積電,TWSE,1060.0,1065.0,1050.0,1050.0,54098799,57135037210
20241113,2330,True,台積電,TWSE,1045.0,1050.0,1035.0,1035.0,46420969,48395649023
20241114,2330,True,台積電,TWSE,1030.0,1040.0,1025.0,1035.0,49328914,50864201443
20241115,2330,True,台積電,TWSE,1040.0,1045.0,1030.0,1035.0,37405855,38824519360
20241118,2330,True,台積電,TWSE,1030.0,1035.0,1020.0,1025.0,33583180,34422999050
20241119,2330,True,台積電,TWSE,1030.0,1045.0,1025.0,1040.0,25497606,26433399155
20241120,2330,True,台積電,TWSE,1045.0,1050.0,1020.0,1025.0,40203197,41541948790
20241121,2330,True,台積電,TWSE,1020.0,1025.0,1010.0,1010.0,44679981,45374625920
20241122,2330,True,台積電,TWSE,1035.0,1050.0,1035.0,1040.0,32509453,33754431973
20241125,2330,True,台積電,TWSE,1045.0,1050.0,1030.0,1030.0,54443912,56293841760
20241126,2330,True,台積電,TWSE,1015.0,1020.0,1010.0,1010.0,31309332,31750783325
20241127,2330,True,台積電,TWSE,1010.0,1020.0,1000.0,1000.0,34602143,34822499480
20241128,2330,True,台積電,TWSE,1005.0,1005.0,992.0,1005.0,37166049,37181706464
20241129,2330,True,台積電,TWSE,995.0,1010.0,994.0,996.0,43621329,43637043385
