date,status,twse_rows,tpex_rows,total_rows,reason,saved_files
20240801,repaired,1150,830,1980,full_market_ok,data/daily_price/20240801.csv;data/daily_price/daily_price_20240801.csv
20240802,repaired,1148,829,1977,full_market_ok,data/daily_price/20240802.csv;data/daily_price/daily_price_20240802.csv
20240803,skipped_weekend,0,0,0,weekend,
20240804,skipped_weekend,0,0,0,weekend,
20240805,repaired,1153,836,1989,full_market_ok,data/daily_price/20240805.csv;data/daily_price/daily_price_20240805.csv
20240806,repaired,1153,831,1984,full_market_ok,data/daily_price/20240806.csv;data/daily_price/daily_price_20240806.csv
20240807,repaired,1150,833,1983,full_market_ok,data/daily_price/20240807.csv;data/daily_price/daily_price_20240807.csv
20240808,repaired,1146,825,1971,full_market_ok,data/daily_price/20240808.csv;data/daily_price/daily_price_20240808.csv
20240809,repaired,1150,826,1976,full_market_ok,data/daily_price/20240809.csv;data/daily_price/daily_price_20240809.csv
20240810,skipped_weekend,0,0,0,weekend,
20240811,skipped_weekend,0,0,0,weekend,
20240812,repaired,1148,832,1980,full_market_ok,data/daily_price/20240812.csv;data/daily_price/daily_price_20240812.csv
20240813,repaired,1148,827,1975,full_market_ok,data/daily_price/20240813.csv;data/daily_price/daily_price_20240813.csv
20240814,repaired,1148,832,1980,full_market_ok,data/daily_price/20240814.csv;data/daily_price/daily_price_20240814.csv
20240815,repaired,1150,827,1977,full_market_ok,data/daily_price/20240815.csv;data/daily_price/daily_price_20240815.csv
20240816,repaired,1149,831,1980,full_market_ok,data/daily_price/20240816.csv;data/daily_price/daily_price_20240816.csv
20240817,skipped_weekend,0,0,0,weekend,
20240818,skipped_weekend,0,0,0,weekend,
20240819,repaired,1148,828,1976,full_market_ok,data/daily_price/20240819.csv;data/daily_price/daily_price_20240819.csv
20240820,repaired,1027,835,1862,full_market_ok,data/daily_price/20240820.csv;data/daily_price/daily_price_20240820.csv
20240821,repaired,1152,828,1980,full_market_ok,data/daily_price/20240821.csv;data/daily_price/daily_price_20240821.csv
20240822,repaired,1144,827,1971,full_market_ok,data/daily_price/20240822.csv;data/daily_price/daily_price_20240822.csv
20240823,repaired,1148,820,1968,full_market_ok,data/daily_price/20240823.csv;data/daily_price/daily_price_20240823.csv
20240824,skipped_weekend,0,0,0,weekend,
20240825,skipped_weekend,0,0,0,weekend,
20240826,repaired,1151,829,1980,full_market_ok,data/daily_price/20240826.csv;data/daily_price/daily_price_20240826.csv
20240827,repaired,1147,826,1973,full_market_ok,data/daily_price/20240827.csv;data/daily_price/daily_price_20240827.csv
20240828,repaired,1148,832,1980,full_market_ok,data/daily_price/20240828.csv;data/daily_price/daily_price_20240828.csv
20240829,repaired,1145,825,1970,full_market_ok,data/daily_price/20240829.csv;data/daily_price/daily_price_20240829.csv
20240830,repaired,1151,831,1982,full_market_ok,data/daily_price/20240830.csv;data/daily_price/daily_price_20240830.csv
20240831,skipped_weekend,0,0,0,weekend,
