date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20240301,2330,True,台積電,TWSE,697.0,697.0,688.0,689.0,24167721,16699995060
20240304,2330,True,台積電,TWSE,714.0,725.0,711.0,725.0,97210112,69868348694
20240305,2330,True,台積電,TWSE,735.0,738.0,728.0,730.0,73299411,53751887376
20240306,2330,True,台積電,TWSE,718.0,738.0,717.0,735.0,52464833,38203868985
20240307,2330,True,台積電,TWSE,755.0,769.0,754.0,760.0,80382406,61221034146
20240308,2330,True,台積電,TWSE,795.0,796.0,772.0,784.0,98069174,77295575097
20240311,2330,True,台積電,TWSE,768.0,778.0,761.0,766.0,73436931,56348050108
20240312,2330,True,台積電,TWSE,757.0,771.0,754.0,770.0,63336798,48288411581
20240313,2330,True,台積電,TWSE,785.0,785.0,777.0,779.0,43130896,33672441212
20240314,2330,True,台積電,TWSE,779.0,785.0,770.0,784.0,48964017,38196293503
20240315,2330,True,台積電,TWSE,771.0,777.0,753.0,753.0,80580846,61451780435
20240318,2330,True,台積電,TWSE,754.0,765.0,754.0,764.0,46006400,34967084535
20240319,2330,True,台積電,TWSE,758.0,765.0,755.0,762.0,32078900,24399917859
20240320,2330,True,台積電,TWSE,764.0,769.0,752.0,758.0,48788389,37117091830
20240321,2330,True,台積電,TWSE,773.0,784.0,772.0,784.0,47759094,37203673872
20240322,2330,True,台積電,TWSE,788.0,789.0,775.0,785.0,32629749,25521571701
20240325,2330,True,台積電,TWSE,783.0,788.0,779.0,780.0,21223414,16612693369
20240326,2330,True,台積電,TWSE,788.0,792.0,776.0,782.0,43103294,33847261033
20240327,2330,True,台積電,TWSE,785.0,785.0,779.0,779.0,19732209,15418346943
20240328,2330,True,台積電,TWSE,774.0,776.0,768.0,769.0,28393398,21889883699
20240329,2330,True,台積電,TWSE,769.0,781.0,768.0,779.0,20212820,15682908766
