date,status,twse_rows,tpex_rows,total_rows,reason,saved_files
20241201,skipped_weekend,0,0,0,weekend,
20241202,repaired,1166,833,1999,full_market_ok,data/daily_price/20241202.csv;data/daily_price/daily_price_20241202.csv
20241203,repaired,1169,833,2002,full_market_ok,data/daily_price/20241203.csv;data/daily_price/daily_price_20241203.csv
20241204,repaired,1164,833,1997,full_market_ok,data/daily_price/20241204.csv;data/daily_price/daily_price_20241204.csv
20241205,repaired,1165,839,2004,full_market_ok,data/daily_price/20241205.csv;data/daily_price/daily_price_20241205.csv
20241206,repaired,1168,834,2002,full_market_ok,data/daily_price/20241206.csv;data/daily_price/daily_price_20241206.csv
20241207,skipped_weekend,0,0,0,weekend,
20241208,skipped_weekend,0,0,0,weekend,
20241209,repaired,1163,831,1994,full_market_ok,data/daily_price/20241209.csv;data/daily_price/daily_price_20241209.csv
20241210,repaired,1169,831,2000,full_market_ok,data/daily_price/20241210.csv;data/daily_price/daily_price_20241210.csv
20241211,repaired,1167,833,2000,full_market_ok,data/daily_price/20241211.csv;data/daily_price/daily_price_20241211.csv
20241212,repaired,1169,830,1999,full_market_ok,data/daily_price/20241212.csv;data/daily_price/daily_price_20241212.csv
20241213,repaired,1167,839,2006,full_market_ok,data/daily_price/20241213.csv;data/daily_price/daily_price_20241213.csv
20241214,skipped_weekend,0,0,0,weekend,
20241215,skipped_weekend,0,0,0,weekend,
20241216,repaired,1169,833,2002,full_market_ok,data/daily_price/20241216.csv;data/daily_price/daily_price_20241216.csv
20241217,repaired,1167,828,1995,full_market_ok,data/daily_price/20241217.csv;data/daily_price/daily_price_20241217.csv
20241218,repaired,1171,832,2003,full_market_ok,data/daily_price/20241218.csv;data/daily_price/daily_price_20241218.csv
20241219,repaired,1173,826,1999,full_market_ok,data/daily_price/20241219.csv;data/daily_price/daily_price_20241219.csv
20241220,repaired,1173,831,2004,full_market_ok,data/daily_price/20241220.csv;data/daily_price/daily_price_20241220.csv
20241221,skipped_weekend,0,0,0,weekend,
20241222,skipped_weekend,0,0,0,weekend,
20241223,repaired,1176,833,2009,full_market_ok,data/daily_price/20241223.csv;data/daily_price/daily_price_20241223.csv
20241224,repaired,1176,839,2015,full_market_ok,data/daily_price/20241224.csv;data/daily_price/daily_price_20241224.csv
20241225,repaired,1171,827,1998,full_market_ok,data/daily_price/20241225.csv;data/daily_price/daily_price_20241225.csv
20241226,repaired,1168,835,2003,full_market_ok,data/daily_price/20241226.csv;data/daily_price/daily_price_20241226.csv
20241227,repaired,1172,833,2005,full_market_ok,data/daily_price/20241227.csv;data/daily_price/daily_price_20241227.csv
20241228,skipped_weekend,0,0,0,weekend,
20241229,skipped_weekend,0,0,0,weekend,
20241230,repaired,1174,831,2005,full_market_ok,data/daily_price/20241230.csv;data/daily_price/daily_price_20241230.csv
20241231,repaired,1177,829,2006,full_market_ok,data/daily_price/20241231.csv;data/daily_price/daily_price_20241231.csv
