date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20240801,2330,True,台積電,TWSE,969.0,969.0,948.0,960.0,50257642,48211390158
20240802,2330,True,台積電,TWSE,918.0,928.0,903.0,903.0,89044852,81488499047
20240805,2330,True,台積電,TWSE,852.0,857.0,813.0,815.0,159662795,133482646539
20240806,2330,True,台積電,TWSE,868.0,895.0,840.0,880.0,108521787,94271532567
20240807,2330,True,台積電,TWSE,901.0,920.0,893.0,920.0,62643163,56900026373
20240808,2330,True,台積電,TWSE,901.0,905.0,887.0,896.0,41288222,37045507217
20240809,2330,True,台積電,TWSE,927.0,934.0,922.0,934.0,54464183,50586946042
20240812,2330,True,台積電,TWSE,942.0,948.0,931.0,940.0,40968742,38572439136
20240813,2330,True,台積電,TWSE,945.0,945.0,937.0,941.0,26831364,25227760336
20240814,2330,True,台積電,TWSE,951.0,955.0,945.0,948.0,40527779,38507151446
20240815,2330,True,台積電,TWSE,945.0,950.0,941.0,943.0,21714163,20528538286
20240816,2330,True,台積電,TWSE,963.0,969.0,958.0,969.0,49830670,48022581452
20240819,2330,True,台積電,TWSE,969.0,975.0,964.0,973.0,22416274,21737948903
20240820,2330,True,台積電,TWSE,977.0,977.0,968.0,973.0,26420625,25701355510
20240821,2330,True,台積電,TWSE,961.0,964.0,956.0,958.0,32606816,31287150192
20240822,2330,True,台積電,TWSE,958.0,964.0,948.0,951.0,25850379,24661701935
20240823,2330,True,台積電,TWSE,944.0,952.0,939.0,949.0,31203321,29530574857
20240826,2330,True,台積電,TWSE,957.0,961.0,945.0,950.0,26518126,25271527066
20240827,2330,True,台積電,TWSE,945.0,946.0,940.0,942.0,19969925,18819208932
20240828,2330,True,台積電,TWSE,945.0,964.0,943.0,964.0,33519083,31994192847
20240829,2330,True,台積電,TWSE,942.0,947.0,937.0,943.0,46275772,43616354135
20240830,2330,True,台積電,TWSE,944.0,952.0,941.0,944.0,75533393,71355905880
