date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20250102,2330,True,台積電,TWSE,1070.0,1075.0,1055.0,1065.0,45045125,47883206644
20250103,2330,True,台積電,TWSE,1080.0,1085.0,1075.0,1075.0,31244211,33728652860
20250106,2330,True,台積電,TWSE,1100.0,1125.0,1095.0,1125.0,77874801,86585128825
20250107,2330,True,台積電,TWSE,1150.0,1160.0,1130.0,1130.0,54691485,62664127156
20250108,2330,True,台積電,TWSE,1110.0,1130.0,1105.0,1105.0,49181518,54760296689
20250109,2330,True,台積電,TWSE,1100.0,1115.0,1100.0,1100.0,29916198,33052210793
20250110,2330,True,台積電,TWSE,1100.0,1110.0,1100.0,1100.0,24475751,26996697889
20250113,2330,True,台積電,TWSE,1110.0,1115.0,1070.0,1075.0,62629547,68093421797
20250114,2330,True,台積電,TWSE,1085.0,1090.0,1075.0,1090.0,31280235,33915048410
20250115,2330,True,台積電,TWSE,1085.0,1085.0,1065.0,1065.0,37966582,40677529813
20250116,2330,True,台積電,TWSE,1095.0,1115.0,1090.0,1105.0,49872673,54934128041
20250117,2330,True,台積電,TWSE,1420.0,1435.0,1415.0,1430.0,33103697,47179906765
20250120,2330,True,台積電,TWSE,1125.0,1135.0,1120.0,1120.0,32062171,36076248367
20250121,2330,True,台積電,TWSE,1115.0,1125.0,1110.0,1120.0,24368832,27256307475
20250122,2330,True,台積電,TWSE,1140.0,1150.0,1135.0,1135.0,45996696,52510666410
