date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20240603,2330,True,台積電,TWSE,839.0,853.0,837.0,846.0,29629706,25053781742
20240604,2330,True,台積電,TWSE,844.0,851.0,837.0,839.0,31031104,26107162214
20240605,2330,True,台積電,TWSE,841.0,857.0,835.0,854.0,37531781,31774150536
20240606,2330,True,台積電,TWSE,893.0,899.0,885.0,894.0,67300344,60138015941
20240607,2330,True,台積電,TWSE,885.0,888.0,879.0,879.0,44489018,39240336617
20240611,2330,True,台積電,TWSE,892.0,895.0,883.0,883.0,57435637,51091497348
20240612,2330,True,台積電,TWSE,888.0,914.0,888.0,909.0,51874967,46791431521
20240613,2330,True,台積電,TWSE,923.0,935.0,911.0,919.0,59656092,54980784829
20240614,2330,True,台積電,TWSE,916.0,922.0,905.0,922.0,43289572,39603293460
20240617,2330,True,台積電,TWSE,913.0,925.0,913.0,921.0,28796529,26475733502
20240618,2330,True,台積電,TWSE,944.0,950.0,940.0,943.0,40870419,38583515635
20240619,2330,True,台積電,TWSE,953.0,984.0,953.0,981.0,76684138,74395758883
20240620,2330,True,台積電,TWSE,971.0,981.0,971.0,981.0,52144900,50859632569
20240621,2330,True,台積電,TWSE,961.0,978.0,960.0,970.0,97995843,94882220706
20240624,2330,True,台積電,TWSE,958.0,960.0,940.0,940.0,74081708,70162177693
20240625,2330,True,台積電,TWSE,925.0,945.0,923.0,945.0,62079701,57978440842
20240626,2330,True,台積電,TWSE,951.0,960.0,951.0,960.0,48821135,46668874056
20240627,2330,True,台積電,TWSE,951.0,961.0,949.0,960.0,41276086,39447006518
20240628,2330,True,台積電,TWSE,956.0,971.0,955.0,966.0,42998776,41476565443
