date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20240502,2330,True,台積電,TWSE,789.0,789.0,772.0,772.0,47536363,36983047647
20240503,2330,True,台積電,TWSE,788.0,788.0,773.0,780.0,31026748,24240817990
20240506,2330,True,台積電,TWSE,791.0,793.0,786.0,786.0,33733509,26644713164
20240507,2330,True,台積電,TWSE,797.0,800.0,792.0,800.0,35917824,28623349239
20240508,2330,True,台積電,TWSE,794.0,802.0,792.0,802.0,22585765,18032263877
20240509,2330,True,台積電,TWSE,798.0,802.0,796.0,796.0,22863681,18267303103
20240510,2330,True,台積電,TWSE,803.0,807.0,798.0,802.0,27560431,22107595449
20240513,2330,True,台積電,TWSE,823.0,825.0,818.0,819.0,38146948,31315059679
20240514,2330,True,台積電,TWSE,816.0,825.0,811.0,825.0,29663617,24309306615
20240515,2330,True,台積電,TWSE,838.0,844.0,837.0,839.0,41805778,35112739055
20240516,2330,True,台積電,TWSE,852.0,856.0,837.0,841.0,46276890,39179826883
20240517,2330,True,台積電,TWSE,848.0,848.0,834.0,835.0,27855719,23373478247
20240520,2330,True,台積電,TWSE,834.0,838.0,822.0,835.0,30148330,25069342221
20240521,2330,True,台積電,TWSE,830.0,841.0,830.0,841.0,20548110,17214095315
20240522,2330,True,台積電,TWSE,845.0,865.0,843.0,864.0,40904357,35027824713
20240523,2330,True,台積電,TWSE,875.0,877.0,867.0,875.0,40771207,35638205695
20240524,2330,True,台積電,TWSE,858.0,872.0,858.0,867.0,37353467,32358555678
20240527,2330,True,台積電,TWSE,872.0,878.0,866.0,869.0,32691921,28496096179
20240528,2330,True,台積電,TWSE,867.0,873.0,865.0,865.0,32712504,28375286215
20240529,2330,True,台積電,TWSE,861.0,868.0,856.0,857.0,51073346,43924367680
20240530,2330,True,台積電,TWSE,841.0,848.0,838.0,838.0,42535118,35840589611
20240531,2330,True,台積電,TWSE,838.0,846.0,821.0,821.0,90177283,74602358441
