date,stock_id,found,stock_name,market,open,high,low,close,volume,trading_value
20240201,2330,True,台積電,TWSE,625.0,628.0,619.0,628.0,46924943,29237425981
20240202,2330,True,台積電,TWSE,633.0,635.0,628.0,635.0,27797894,17563853315
20240205,2330,True,台積電,TWSE,645.0,647.0,638.0,646.0,48037344,30931242935
20240215,2330,True,台積電,TWSE,709.0,709.0,693.0,697.0,132263803,92592826951
20240216,2330,True,台積電,TWSE,697.0,699.0,683.0,683.0,48963167,33742716965
20240219,2330,True,台積電,TWSE,674.0,682.0,674.0,678.0,36366837,24665534552
20240220,2330,True,台積電,TWSE,675.0,688.0,675.0,687.0,31403730,21494427969
20240221,2330,True,台積電,TWSE,678.0,683.0,678.0,681.0,31980543,21748906940
20240222,2330,True,台積電,TWSE,695.0,695.0,685.0,692.0,34269392,23664176835
20240223,2330,True,台積電,TWSE,701.0,703.0,696.0,697.0,48404478,33847447281
20240226,2330,True,台積電,TWSE,700.0,700.0,695.0,698.0,29976379,20917136411
20240227,2330,True,台積電,TWSE,700.0,701.0,691.0,698.0,35389548,24647159479
20240229,2330,True,台積電,TWSE,691.0,698.0,688.0,690.0,59337072,40973093720
