generated_at,model_id,model_name_zh,research_artifact_id,artifact_scope,anomaly_exclusion_basis,decision_basis,source_condition_id,source_condition_rule,entry_rule_id,exit_rule_id,win_definition,neutral_definition,failure_definition,high_return_definition,non_overlap_cooldown_days,non_overlap_applied,same_stock_overlap_pair_count,source_strong_signal_count,known_anomaly_count_in_source,basis_source_signal_count,accepted_signal_count_after_non_overlap,suppressed_signal_count,return_path_discontinuity_count_after_non_overlap,anomaly_interpretation_status,sample_count_context,combination_policy,approved_for_daily,production_change,promotion_readiness,row_type,feature_order,feature_id,feature_family,feature_rule,feature_column,feature_independence_status,equivalent_to_feature_id,feature_hit_count,feature_coverage_pct,evidence_interpretation,accepted_trade_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,loss_5_count,loss_5_rate_pct,high_return_group_count,high_return_feature_hit_count,high_return_feature_hit_rate_pct,win_group_count,win_feature_hit_count,win_feature_hit_rate_pct,failure_group_count,failure_feature_hit_count,failure_feature_hit_rate_pct,high_return_minus_failure_hit_rate_pct,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_return_pct,delta_vs_baseline_median_return_pct,delta_vs_baseline_high_return_8_rate_pct,delta_vs_baseline_loss_5_rate_pct,high_return_feature_value_count,high_return_feature_mean,high_return_feature_median,win_feature_value_count,win_feature_mean,win_feature_median,failure_feature_value_count,failure_feature_mean,failure_feature_median,high_return_minus_failure_feature_mean,high_return_minus_failure_feature_median
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,baseline,0,baseline_revenue_production_strong,baseline,strong monthly revenue baseline under the fixed D+20 close-only operation basis,,baseline_not_applicable,,4646,100.0,baseline_anchor,4646.0,1469.0,861.0,2316.0,31.62,18.53,49.85,3.41,0.0,1146.0,24.67,1328.0,28.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,10,revenue_latest30_and_cumulative20,monthly_revenue,latest monthly revenue YoY >= 30% and cumulative monthly revenue YoY >= 20%,feature__revenue_latest30_and_cumulative20,distinct_observed_mask,,2095,45.09,positive_discriminator_single_feature_candidate,2095.0,720.0,349.0,1026.0,34.37,16.66,48.97,4.12,0.18,568.0,27.11,621.0,29.64,1146.0,568.0,49.56,1469.0,720.0,49.01,2316.0,1026.0,44.3,5.26,2.75,-0.88,0.71,0.18,2.44,1.06,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,20,revenue_latest50_and_cumulative30,monthly_revenue,latest monthly revenue YoY >= 50% and cumulative monthly revenue YoY >= 30%,feature__revenue_latest50_and_cumulative30,distinct_observed_mask,,1039,22.36,positive_discriminator_single_feature_candidate,1039.0,383.0,157.0,499.0,36.86,15.11,48.03,5.24,0.5,315.0,30.32,327.0,31.47,1146.0,315.0,27.49,1469.0,383.0,26.07,2316.0,499.0,21.55,5.94,5.24,-1.82,1.83,0.5,5.65,2.89,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,30,revenue_latest_yoy_ge100,monthly_revenue,latest monthly revenue YoY >= 100%,feature__revenue_latest_yoy_ge100,distinct_observed_mask,,481,10.35,mixed_or_low_discrimination_research_only,481.0,155.0,69.0,257.0,32.22,14.35,53.43,4.23,-0.98,119.0,24.74,154.0,32.02,1146.0,119.0,10.38,1469.0,155.0,10.55,2316.0,257.0,11.1,-0.72,0.6,3.58,0.82,-0.98,0.07,3.44,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,40,revenue_latest_yoy_improving_2m,monthly_revenue,latest monthly revenue YoY improves for two consecutive available months,feature__revenue_latest_yoy_improving_2m,distinct_observed_mask,,1264,27.21,failure_associated_risk_feature_candidate,1264.0,388.0,229.0,647.0,30.7,18.12,51.19,2.84,-0.33,302.0,23.89,384.0,30.38,1146.0,302.0,26.35,1469.0,388.0,26.41,2316.0,647.0,27.94,-1.59,-0.92,1.34,-0.57,-0.33,-0.78,1.8,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,50,revenue_cumulative_yoy_improving_2m,monthly_revenue,cumulative monthly revenue YoY improves for two consecutive available months,feature__revenue_cumulative_yoy_improving_2m,distinct_observed_mask,,1739,37.43,mixed_or_low_discrimination_research_only,1739.0,554.0,316.0,869.0,31.86,18.17,49.97,3.47,0.0,429.0,24.67,518.0,29.79,1146.0,429.0,37.43,1469.0,554.0,37.71,2316.0,869.0,37.52,-0.09,0.24,0.12,0.06,0.0,0.0,1.21,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,60,revenue_latest_yoy_delta_ge20,monthly_revenue,latest monthly revenue YoY improves by at least 20 percentage points month over month,feature__revenue_latest_yoy_delta_ge20,distinct_observed_mask,,1747,37.6,failure_associated_risk_feature_candidate,1747.0,520.0,307.0,920.0,29.77,17.57,52.66,3.0,-0.63,413.0,23.64,520.0,29.77,1146.0,413.0,36.04,1469.0,520.0,35.4,2316.0,920.0,39.72,-3.68,-1.85,2.81,-0.41,-0.63,-1.03,1.19,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,100,tdcc_high_thresholds_up,tdcc,TDCC history is available and high thresholds are increasing,feature__tdcc_high_thresholds_up,distinct_observed_mask,,244,5.25,positive_discriminator_single_feature_candidate,244.0,105.0,42.0,97.0,43.03,17.21,39.75,4.9,3.0,76.0,31.15,70.0,28.69,1146.0,76.0,6.63,1469.0,105.0,7.15,2316.0,97.0,4.19,2.44,11.41,-10.1,1.49,3.0,6.48,0.11,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,110,tdcc_all_thresholds_up,tdcc,TDCC history is available and all thresholds are increasing,feature__tdcc_all_thresholds_up,distinct_observed_mask,,126,2.71,positive_discriminator_single_feature_candidate,126.0,60.0,23.0,43.0,47.62,18.25,34.13,6.58,3.79,46.0,36.51,31.0,24.6,1146.0,46.0,4.01,1469.0,60.0,4.08,2316.0,43.0,1.86,2.15,16.0,-15.72,3.17,3.79,11.84,-3.98,,,,,,,,,,,
2026-07-11 23:37:00 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,90512,12913,77599,5226,72373,4,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,120,tdcc_four_thresholds_sync_up,tdcc,TDCC history is available and four thresholds increase together,feature__tdcc_four_thresholds_sync_up,duplicate_mask_not_independent_evidence,tdcc_all_thresholds_up,126,2.71,positive_discriminator_single_feature_candidate,126.0,60.0,23.0,43.0,47.62,18.25,34.13,6.58,3.79,46.0,36.51,31.0,24.6,1146.0,46.0,4.01,1469.0,60.0,4.08,2316.0,43.0,1.86,2.15,16.0,-15.72,3.17,3.79,11.84,-3.98,,,,,,,,,,,
