rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh,price_context_date,price_context_source,price_start_date_5d,price_start_date_10d,price_start_date_20d,report_price_return_5d,report_price_return_10d,report_price_return_20d,report_distance_ma20_pct,tdcc_facts_zh,price_facts_zh,historical_evidence_status,historical_evidence_zh
1,20260924,6257,矽格,半導體業,mainstream_leader,70.3,80.3,5.07,5.399999999999999,4.93,4.909999999999997,20.309999999999995,50.3,4,15.0,5.0,12574.53,0.0,3,10.0,3,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,19.11764705882353,9.619939100033825,9.672025526608708,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 3 週,20260924,data/stock_price_history/6257.csv,20260917,20260910,20260827,9.213483146067425,11.981566820276491,19.11764705882353,9.619939100033825,>400／600／800／1000張：+5.07／+5.40／+4.93／+4.91百分點；800/1000有效連增：3週,截至20260924；5日：+9.21%；10日：+11.98%；20日：+19.12%；距MA20：+9.62%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
2,20260924,1727,中華化,特化材料,mainstream_leader,70.62,75.62,3.990000000000009,4.710000000000008,6.469999999999999,4.450000000000003,19.62000000000002,50.62,4,15.0,5.0,8833.98,0.0,2,5.0,2,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,19.195046439628484,18.461538461538463,25.45594543199592,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/1727.csv,20260917,20260910,20260827,10.000000000000009,27.765486725663703,19.195046439628484,18.461538461538463,>400／600／800／1000張：+3.99／+4.71／+6.47／+4.45百分點；800/1000有效連增：2週,截至20260924；5日：+10.00%；10日：+27.77%；20日：+19.20%；距MA20：+18.46%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
3,20260924,6168,宏齊,光電業,mainstream_leader,59.17,64.17,3.779999999999994,3.440000000000005,4.090000000000003,4.060000000000002,15.370000000000005,39.17,4,15.0,5.0,13215.38,0.0,2,5.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,48.39797639123105,34.59773631079841,45.341465417741595,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/6168.csv,20260917,20260910,20260827,24.46958981612446,47.65100671140938,48.39797639123105,34.59773631079841,>400／600／800／1000張：+3.78／+3.44／+4.09／+4.06百分點；800/1000有效連增：2週,截至20260924；5日：+24.47%；10日：+47.65%；20日：+48.40%；距MA20：+34.60%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
4,20260924,3605,宏致,電子零組件業,mainstream_leader,43.97,53.97,2.1799999999999926,2.769999999999996,3.229999999999997,1.6400000000000006,9.819999999999986,23.97,4,15.0,5.0,21578.14,0.0,3,10.0,4,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,53.55648535564854,32.41926754465092,41.049833706332215,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 3 週,20260924,data/stock_price_history/3605.csv,20260917,20260910,20260827,31.071428571428573,43.359375,53.55648535564854,32.41926754465092,>400／600／800／1000張：+2.18／+2.77／+3.23／+1.64百分點；800/1000有效連增：3週,截至20260924；5日：+31.07%；10日：+43.36%；20日：+53.56%；距MA20：+32.42%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
5,20260924,3717,聯嘉投控,汽車工業,non_mainstream_watch,42.41,47.41,2.1200000000000045,1.1400000000000006,2.7500000000000036,3.6900000000000013,9.70000000000001,27.41,4,15.0,0.0,5516.05,0.0,2,5.0,3,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,10.217391304347823,11.184210526315796,15.872276888150404,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/3717.csv,20260917,20260910,20260827,10.698689956331897,18.181818181818187,10.217391304347823,11.184210526315796,>400／600／800／1000張：+2.12／+1.14／+2.75／+3.69百分點；800/1000有效連增：2週,截至20260924；5日：+10.70%；10日：+18.18%；20日：+10.22%；距MA20：+11.18%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
6,20260924,8996,高力,散熱液冷,single_name_signal,41.39,46.39,1.5399999999999991,3.469999999999999,3.210000000000001,2.0700000000000003,10.29,26.39,4,15.0,0.0,4142.24,0.0,2,5.0,3,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,16.793893129771,15.384615384615374,15.382766398639914,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/8996.csv,20260917,20260910,20260827,17.692307692307697,17.692307692307697,16.793893129771,15.384615384615374,>400／600／800／1000張：+1.54／+3.47／+3.21／+2.07百分點；800/1000有效連增：2週,截至20260924；5日：+17.69%；10日：+17.69%；20日：+16.79%；距MA20：+15.38%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
7,20260924,4956,光鋐,光電業,mainstream_leader,38.29,43.29,1.6500000000000057,2.3700000000000045,1.6999999999999957,1.6999999999999957,7.420000000000002,18.29,4,15.0,5.0,8768.16,0.0,2,5.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,23.611111111111114,19.25499129036581,29.347263440060047,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/4956.csv,20260917,20260910,20260827,14.83870967741936,31.656804733727828,23.611111111111114,19.25499129036581,>400／600／800／1000張：+1.65／+2.37／+1.70／+1.70百分點；800/1000有效連增：2週,截至20260924；5日：+14.84%；10日：+31.66%；20日：+23.61%；距MA20：+19.25%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
8,20260924,2303,聯電,半導體業,mainstream_leader,27.31,42.31,0.7099999999999937,0.7199999999999989,0.6799999999999926,0.7800000000000011,2.8899999999999864,7.31,4,15.0,5.0,199017.26,0.0,4,15.0,4,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,29.957805907172986,8.661139530781448,5.76063414492871,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 4 週,20260924,data/stock_price_history/2303.csv,20260917,20260910,20260827,4.406779661016946,8.070175438596493,29.957805907172986,8.661139530781448,>400／600／800／1000張：+0.71／+0.72／+0.68／+0.78百分點；800/1000有效連增：4週,截至20260924；5日：+4.41%；10日：+8.07%；20日：+29.96%；距MA20：+8.66%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
9,20260924,3105,穩懋,低軌衛星,mainstream_leader,36.75,41.75,1.7199999999999989,1.8299999999999983,1.8700000000000045,1.4399999999999977,6.859999999999999,16.75,4,15.0,5.0,31653.0,0.0,2,5.0,3,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,12.682379349046013,7.598328153466927,6.86328436592234,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/3105.csv,20260917,20260910,20260827,6.581740976645434,8.77573131094258,12.682379349046013,7.598328153466927,>400／600／800／1000張：+1.72／+1.83／+1.87／+1.44百分點；800/1000有效連增：2週,截至20260924；5日：+6.58%；10日：+8.78%；20日：+12.68%；距MA20：+7.60%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
10,20260924,4979,華星光,CPO光通訊,mainstream_leader,36.41,41.41,1.8599999999999994,3.1099999999999994,1.230000000000004,1.1600000000000001,7.360000000000003,16.41,4,15.0,5.0,6988.4,0.0,2,5.0,2,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-8.752025931928687,-3.736000683936058,-3.3134977331113036,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260924,data/stock_price_history/4979.csv,20260917,20260910,20260827,1.2589928057553879,-1.4010507880910628,-8.752025931928687,-3.736000683936058,>400／600／800／1000張：+1.86／+3.11／+1.23／+1.16百分點；800/1000有效連增：2週,截至20260924；5日：+1.26%；10日：-1.40%；20日：-8.75%；距MA20：-3.74%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
