generated_at,model_id,model_name_zh,research_artifact_id,matrix_scope,base_condition_id,base_condition_rule,test_order,condition_test_id,condition_family,condition_role_candidate,condition_rule,data_status,revenue_join_source,point_in_time_rule,anomaly_exclusion_basis,revenue_or_price_anomaly_count_in_sample,revenue_or_price_anomaly_count_in_baseline,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,operation_basis,lifecycle_replay_scope,source_mature_signal_stock_days,source_unique_stocks,accepted_trade_count,accepted_unique_stocks,suppressed_signal_count,suppressed_rate_pct,accepted_share_of_source_mature_pct,baseline_source_mature_signal_stock_days,baseline_accepted_trade_count,accepted_trade_share_of_baseline_pct,source_signal_day_count,source_avg_signals_per_signal_day,accepted_signal_day_count,accepted_avg_trades_per_signal_day,research_trading_day_count,accepted_avg_trades_per_research_day,first_signal_date,last_signal_date,metric_surface_use,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,mature_count,win_count,neutral_count,failure_count,same_day_unresolved_count,hard_stop_count,ma5_exit_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,same_day_unresolved_rate_pct,hard_stop_rate_pct,ma5_exit_rate_pct,avg_d20_close_return_pct,median_d20_close_return_pct,avg_realized_return_pct,avg_win_realized_return_pct,avg_failure_realized_return_pct,avg_neutral_realized_return_pct,avg_realized_or_d20_days,avg_days_to_win,avg_days_to_failure,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,high_return_10_count,high_return_10_rate_pct,loss_5_count,loss_5_rate_pct,avg_revenue_latest_yoy_pct,median_revenue_latest_yoy_pct,avg_revenue_cumulative_yoy_pct,median_revenue_cumulative_yoy_pct,avg_revenue_latest_yoy_delta_1m_pct_points,median_revenue_latest_yoy_delta_1m_pct_points,avg_revenue_cumulative_yoy_delta_1m_pct_points,median_revenue_cumulative_yoy_delta_1m_pct_points
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",0,base_v1_without_revenue_gate,baseline,baseline_anchor,"price_pullback_23ema production proxy plus return20_0_25, TDCC high thresholds up, and OBV above MA20; no revenue gate",available_full_market_monthly_revenue_history_join_not_required,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,130,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,4062,669,1128,669,2934,72.23,27.77,4062,1128,100.0,120,33.85,102,11.06,275,4.1,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",1128,747,62,319,0,103,0,66.22,5.5,28.28,0.0,9.13,0.0,3.44,0.56,3.12,7.44,-6.82,2.13,10.02,6.15,17.12,1.57,257,22.78,201,17.82,175,15.51,8.79,4.04,6.84,2.17,4.88,4.09,-2.68,0.26
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",10,revenue_context_ready,revenue_coverage,coverage_gate_review,canonical monthly revenue history has an as-of row where source_table_date <= signal_date,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,130,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,4057,668,1126,668,2931,72.25,27.75,4062,1128,99.82,120,33.81,102,11.04,275,4.09,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",1126,745,62,319,0,103,0,66.16,5.51,28.33,0.0,9.15,0.0,3.43,0.56,3.09,7.42,-6.82,2.13,10.02,6.15,17.12,1.56,255,22.65,199,17.67,175,15.54,8.79,4.04,6.84,2.17,4.88,4.09,-2.68,0.26
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",20,revenue_positive,revenue_direction,add_score_candidate,latest or cumulative monthly revenue YoY is positive,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,125,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,2744,524,793,524,1951,71.1,28.9,4062,1128,70.3,120,22.87,94,8.44,275,2.88,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",793,524,42,227,0,73,0,66.08,5.3,28.63,0.0,9.21,0.0,4.08,0.64,3.25,7.77,-7.01,2.16,10.25,6.46,17.22,1.85,184,23.2,137,17.28,120,15.13,22.32,12.33,17.19,8.12,9.82,7.39,0.76,1.47
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",30,revenue_production_strong,revenue_strength,required_gate_candidate,latest revenue YoY >= 30% or cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,124,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,840,213,277,213,563,67.02,32.98,4062,1128,24.56,99,8.48,48,5.77,275,1.01,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",277,172,12,93,0,40,0,62.09,4.33,33.57,0.0,14.44,0.0,4.78,1.74,3.09,9.56,-8.77,2.38,10.7,6.87,16.59,2.63,89,32.13,66,23.83,60,21.66,51.46,39.98,43.15,29.4,16.1,15.4,0.27,3.38
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",40,latest_revenue_yoy_ge50,revenue_strength,strong_add_score_candidate,latest monthly revenue YoY >= 50%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,114,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,282,84,103,84,179,63.48,36.52,4062,1128,9.13,56,5.04,26,3.96,275,0.37,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",103,68,4,31,0,16,0,66.02,3.88,30.1,0.0,15.53,0.0,5.31,2.72,3.13,9.74,-11.12,1.14,10.08,6.99,15.58,3.95,36,34.95,26,25.24,25,24.27,93.26,78.73,63.01,51.66,38.91,42.32,5.33,10.35
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",50,cumulative_revenue_yoy_ge30,revenue_strength,strong_add_score_candidate,cumulative monthly revenue YoY >= 30%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,117,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,398,107,127,107,271,68.09,31.91,4062,1128,11.26,72,5.53,31,4.1,275,0.46,20251202,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",127,78,6,43,0,20,0,61.42,4.72,33.86,0.0,15.75,0.0,4.51,1.47,3.3,10.35,-9.22,1.42,11.02,7.68,15.84,3.39,45,35.43,33,25.98,27,21.26,69.5,60.57,73.67,54.84,7.75,8.39,-4.61,0.56
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",60,latest30_and_cumulative20,revenue_strength_combo,condition_package_candidate,latest monthly revenue YoY >= 30% and cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,108,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,443,128,156,128,287,64.79,35.21,4062,1128,13.83,69,6.42,32,4.88,275,0.57,20251212,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",156,99,6,51,0,24,0,63.46,3.85,32.69,0.0,15.38,0.0,4.67,2.13,3.26,9.96,-9.51,1.34,10.53,6.91,16.43,3.84,56,35.9,39,25.0,33,21.15,71.54,60.28,56.22,40.35,25.9,20.61,4.14,5.7
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",70,latest_yoy_improving_2m,revenue_turnaround,turnaround_add_score_candidate,latest monthly revenue YoY improves for two consecutive available months,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,45,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,920,208,293,208,627,68.15,31.85,4062,1128,25.98,116,7.93,59,4.97,275,1.07,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",293,198,17,78,0,24,0,67.58,5.8,26.62,0.0,8.19,0.0,3.31,0.76,3.05,7.17,-7.36,2.84,9.49,5.37,17.65,2.66,69,23.55,60,20.48,45,15.36,21.74,13.55,7.91,2.78,17.02,9.08,3.72,3.31
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",80,latest_yoy_improving_3m,revenue_turnaround,turnaround_add_score_candidate,latest monthly revenue YoY improves for three consecutive available months,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,15,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,224,48,71,48,153,68.3,31.7,4062,1128,6.29,92,2.43,41,1.73,275,0.26,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",71,47,5,19,0,7,0,66.2,7.04,26.76,0.0,9.86,0.0,3.01,0.25,1.88,5.81,-7.71,1.42,9.7,5.57,17.21,0.97,12,16.9,11,15.49,12,16.9,33.7,16.53,17.01,3.16,21.87,10.39,-0.68,3.9
2026-07-05 19:23:25 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_revenue_condition_matrix,model_specific_revenue_condition_research,v1_gate_return20_tdcc_high_obv,"production proxy signal plus return20_0_25, TDCC high thresholds up, and OBV above MA20",90,cumulative_yoy_improving_2m,revenue_turnaround,turnaround_add_score_candidate,cumulative monthly revenue YoY improves for two consecutive available months,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_known_price_or_revenue_anomalies,48,130,close_prev20_high_break_next_open,close_confirmed_candidate,,next_open_after_close_breaks_previous_20d_high,signal_date_next_open,price_pullback_close_confirmed_candidate_lifecycle_replay,trade_level_same_stock_active_position_suppressed_after_condition,1179,239,350,239,829,70.31,29.69,4062,1128,31.03,118,9.99,70,5.0,275,1.27,20251128,20260602,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_model_specific_promotion_pr_required,"revenue condition cannot enter price_pullback_23ema production until explicit model-rule decision, contract/parity/validator updates, PR merge, and post-merge main validation",350,232,26,92,0,24,0,66.29,7.43,26.29,0.0,6.86,0.0,3.38,0.81,2.79,6.65,-6.85,2.45,10.03,5.84,17.77,1.68,75,21.43,62,17.71,48,13.71,22.56,13.58,7.5,3.16,8.04,3.99,6.32,2.97
