rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,risk_label,risk_bucket,interpretation
1,1323,永裕,traditional industries,mainstream_leader,high,525.00,36,True,True,tdcc_price_divergence,quiet_accumulation,96.00,1.02,-2.70,-0.02,-0.56,0.50,10.00,153.62,10.00,16.00,0.00,0.62,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
2,7718,友鋮,other,single_name_signal,high,395.00,26,False,True,insufficient_price_context,quiet_accumulation,70.00,,,,,,10.00,179.27,10.00,20.00,0.00,0.27,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
3,1233,天仁,other,single_name_signal,high,315.00,15,True,True,tdcc_price_divergence,quiet_accumulation,100.00,-0.69,3.42,-0.89,0.02,1.20,10.00,179.27,10.00,20.00,0.00,0.27,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
4,2321,東訊,other electronics,mainstream_leader,high,305.00,14,True,True,tdcc_price_divergence,watch_only,65.00,1.35,7.91,-0.84,1.04,0.45,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
5,2516,新建,traditional industries,mainstream_leader,high,305.00,14,True,True,tdcc_price_divergence,quiet_accumulation,96.00,-0.36,0.73,-0.59,-0.72,0.45,10.00,153.62,10.00,16.00,0.00,0.62,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
6,2618,長榮航,traditional industries,mainstream_leader,high,305.00,14,True,True,insufficient_price_context,quiet_accumulation,95.00,3.59,8.53,6.35,3.06,0.40,10.00,153.62,10.00,16.00,0.00,0.62,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
7,2867,三商壽,finance,mainstream_leader,high,305.00,14,True,True,insufficient_price_context,watch_only,86.00,1.98,10.27,6.90,4.85,0.83,10.00,61.30,10.00,6.00,0.00,1.30,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
8,4406,新昕纖,other,single_name_signal,high,305.00,14,True,True,insufficient_price_context,watch_only,80.00,-0.50,0.40,3.40,0.33,0.11,10.00,179.27,10.00,20.00,0.00,0.27,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
9,5523,豐謙,traditional industries,mainstream_leader,high,305.00,14,True,True,tdcc_leading_price,quiet_accumulation,96.00,0.33,-0.16,2.73,-0.05,0.30,10.00,153.62,10.00,16.00,0.00,0.62,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
10,6527,明達醫,biotechnology,mainstream_leader,high,305.00,14,True,True,price_leading_tdcc,quiet_accumulation,100.00,13.68,3.56,12.62,7.42,2.40,10.00,46.78,10.00,6.00,0.00,0.78,late_or_chasing_risk,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
11,6965,中傑-KY,other,single_name_signal,high,305.00,14,True,True,tdcc_price_divergence,quiet_accumulation,89.00,-0.26,-3.28,-2.31,-2.09,0.83,10.00,179.27,10.00,20.00,0.00,0.27,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
12,7760,享溫馨,other,single_name_signal,high,305.00,14,True,True,tdcc_price_divergence,quiet_accumulation,91.00,-1.03,-5.48,-3.24,-1.87,1.25,10.00,179.27,10.00,20.00,0.00,0.27,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
13,8401,白紗科,biotechnology,mainstream_leader,high,305.00,14,True,True,tdcc_leading_price,quiet_accumulation,86.00,0.89,-1.09,1.16,-0.53,0.28,10.00,46.78,10.00,6.00,0.00,0.78,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
14,6418,詠昇,other electronics,mainstream_leader,high,295.00,13,True,True,insufficient_price_context,quiet_accumulation,80.00,13.75,-3.19,8.53,3.13,0.70,10.00,225.04,10.00,28.00,0.00,1.04,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
15,4119,旭富,other,single_name_signal,high,285.00,12,True,True,tdcc_price_divergence,quiet_accumulation,77.00,1.35,8.72,-0.54,1.19,0.53,10.00,179.27,10.00,20.00,0.00,0.27,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
16,6170,統振,other electronics,mainstream_leader,high,285.00,12,True,True,tdcc_leading_price,quiet_accumulation,86.00,-0.22,-3.55,0.78,-1.09,0.22,10.00,225.04,10.00,28.00,0.00,1.04,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
17,8930,青鋼,other,single_name_signal,high,285.00,12,True,True,tdcc_leading_price,watch_only,76.00,3.36,1.48,1.29,-0.31,0.37,10.00,179.27,10.00,20.00,0.00,0.27,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
18,2511,太子,traditional industries,mainstream_leader,high,275.00,11,True,True,tdcc_price_divergence,quiet_accumulation,88.00,0.97,-2.47,-1.99,-2.12,0.78,10.00,153.62,10.00,16.00,0.00,0.62,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
19,4737,華廣,other,single_name_signal,high,275.00,11,True,True,tdcc_price_divergence,watch_only,50.00,-3.91,-5.26,-2.05,-4.94,0.50,10.00,179.27,10.00,20.00,0.00,0.27,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
20,9906,欣巴巴,other,single_name_signal,high,275.00,11,True,True,tdcc_price_divergence,quiet_accumulation,96.00,2.63,-4.88,-2.39,-2.45,0.51,10.00,179.27,10.00,20.00,0.00,0.27,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
21,1709,和益,biotechnology,mainstream_leader,high,265.00,13,False,True,insufficient_price_context,quiet_accumulation,70.00,,,,,,10.00,46.78,10.00,6.00,0.00,0.78,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
22,2892,第一金,finance,mainstream_leader,high,265.00,10,True,True,insufficient_price_context,quiet_accumulation,100.00,0.00,4.11,4.43,2.53,1.21,10.00,61.30,10.00,6.00,0.00,1.30,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
23,5880,合庫金,finance,mainstream_leader,high,265.00,10,True,True,tdcc_leading_price,quiet_accumulation,100.00,-3.33,3.98,2.43,0.68,1.03,10.00,61.30,10.00,6.00,0.00,1.30,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
24,6194,育富,other electronics,mainstream_leader,high,265.00,10,True,True,tdcc_leading_price,quiet_accumulation,89.00,1.54,-7.05,1.07,-1.67,0.98,10.00,225.04,10.00,28.00,0.00,1.04,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
25,3356,奇偶,other electronics,mainstream_leader,high,255.00,9,True,True,tdcc_price_divergence,watch_only,75.00,3.89,-6.34,-2.80,-2.70,0.96,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
26,3499,環天科,other electronics,mainstream_leader,high,255.00,9,True,True,tdcc_price_divergence,quiet_accumulation,70.00,4.84,-12.16,-2.56,-4.62,0.45,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
27,3666,光耀,other electronics,mainstream_leader,high,255.00,9,True,True,insufficient_price_context,quiet_accumulation,90.00,0.40,-0.20,3.09,0.23,0.34,10.00,225.04,10.00,28.00,0.00,1.04,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
28,3712,永崴投控,other electronics,mainstream_leader,high,255.00,9,True,True,price_leading_tdcc,strong_momentum,65.00,23.78,15.67,11.10,14.84,1.02,10.00,225.04,10.00,28.00,0.00,1.04,late_or_chasing_risk,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
29,6128,上福,other electronics,mainstream_leader,high,255.00,9,True,True,tdcc_price_divergence,quiet_accumulation,89.00,1.51,-0.49,-0.75,-0.51,0.82,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
30,6461,益得,other electronics,mainstream_leader,high,255.00,9,True,True,insufficient_price_context,quiet_accumulation,82.00,1.96,-5.17,1.01,-0.51,0.40,10.00,225.04,10.00,28.00,0.00,1.04,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
31,6409,旭隼,other electronics,mainstream_leader,high,255.00,12,False,True,insufficient_price_context,watch_only,60.00,,,,,,10.00,225.04,10.00,28.00,0.00,1.04,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
32,1413,宏洲,traditional industries,mainstream_leader,high,245.00,8,True,True,tdcc_price_divergence,quiet_accumulation,70.00,-2.63,-0.64,-0.80,-3.01,0.29,10.00,153.62,10.00,16.00,0.00,0.62,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
33,1452,宏益,traditional industries,mainstream_leader,high,245.00,8,True,True,tdcc_price_divergence,quiet_accumulation,87.00,-1.77,-5.93,-3.42,-3.39,1.74,10.00,153.62,10.00,16.00,0.00,0.62,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
34,1463,強盛新,traditional industries,mainstream_leader,high,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,100.00,0.00,0.56,0.76,0.52,0.34,10.00,153.62,10.00,16.00,0.00,0.62,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
35,2020,美亞,traditional industries,mainstream_leader,high,245.00,8,True,True,tdcc_leading_price,watch_only,71.00,-0.24,-0.94,0.24,-0.37,1.00,10.00,153.62,10.00,16.00,0.00,0.62,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
36,2729,瓦城,traditional industries,mainstream_leader,high,245.00,8,True,True,insufficient_price_context,quiet_accumulation,82.00,-1.54,1.27,3.21,0.17,0.36,10.00,153.62,10.00,16.00,0.00,0.62,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
37,5481,新華,other electronics,mainstream_leader,high,245.00,8,True,True,tdcc_price_divergence,quiet_accumulation,68.00,-2.22,-4.81,-5.01,-4.17,0.11,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
38,6218,豪勉,other electronics,mainstream_leader,high,245.00,8,True,True,insufficient_price_context,quiet_accumulation,64.00,18.35,0.73,7.12,1.48,0.37,10.00,225.04,10.00,28.00,0.00,1.04,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
39,6219,富旺,other electronics,mainstream_leader,high,245.00,8,True,True,tdcc_price_divergence,quiet_accumulation,60.00,2.48,-2.36,-8.54,-3.03,0.15,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
