generated_at,model_id,artifact_id,artifact_version,stock_id,stock_name,entry_date,entry_price,exit_date,exit_price,exit_price_basis,realized_return_pct,replayed_realized_return_pct,review_trigger_threshold_pct,review_candidate_grid_count,review_candidate_grid_ids,path_trading_row_count,max_abs_raw_close_return_1d_pct,max_abs_analysis_close_return_1d_pct,max_abs_analysis_open_gap_pct,price_resolution_ids_in_path,bottom_level_price_path_result,authoritative_corporate_action_layer_status,review_disposition,included_in_primary_metrics,excluded_in_review_candidate_sensitivity,approved_for_daily,production_change
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,2478,大毅,20260508,80.3,20260618,234.0,fixed_future_close,191.4072,191.4072,80.0,1,rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|none_no_stop_reference,30,9.9526,9.9526,10.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,3581,博磊,20260320,77.4,20260505,216.5,fixed_future_close,179.7158,179.7158,80.0,2,episode_first_match_once|base_close_confirmed|d30|none_no_stop_reference;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|none_no_stop_reference,30,10.0,10.0,10.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,6861,睿生光電,20260120,68.4,20260312,177.5,fixed_future_close,159.5029,159.5029,80.0,2,rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|none_no_stop_reference,30,10.0,10.0,10.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,6658,聯策,20260401,76.0,20260515,194.0,fixed_future_close,155.2632,155.2632,80.0,4,episode_first_match_once|delayed_next_close_continuation_bonus|d30|ma20_ema23_close_stop_4d;episode_first_match_once|delayed_next_close_continuation_bonus|d30|none_no_stop_reference;rearm_after_realized_exit_next_trade_day|delayed_next_close_continuation_bonus|d30|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|delayed_next_close_continuation_bonus|d30|none_no_stop_reference,30,9.988,9.988,9.9548,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,6658,聯策,20260326,70.0,20260511,176.5,fixed_future_close,152.1429,152.1429,80.0,2,rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|none_no_stop_reference,30,9.988,9.988,9.9548,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,6658,聯策,20260422,84.9,20260513,213.0,fixed_future_close,150.8834,150.8834,80.0,4,episode_first_match_once|base_close_confirmed|d15|ma20_ema23_close_stop_4d;episode_first_match_once|base_close_confirmed|d15|none_no_stop_reference;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d15|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d15|none_no_stop_reference,15,9.988,9.988,9.9548,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,8033,雷虎,20250724,70.7,20250903,174.0,fixed_future_close,146.1103,146.1103,80.0,4,episode_first_match_once|base_close_confirmed|d30|ma20_ema23_close_stop_4d;episode_first_match_once|base_close_confirmed|d30|none_no_stop_reference;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|none_no_stop_reference,30,9.9379,9.9379,7.8498,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,8033,雷虎,20250725,70.0,20250904,171.0,fixed_future_close,144.2857,144.2857,80.0,4,episode_first_match_once|delayed_next_close_continuation_bonus|d30|ma20_ema23_close_stop_4d;episode_first_match_once|delayed_next_close_continuation_bonus|d30|none_no_stop_reference;rearm_after_realized_exit_next_trade_day|delayed_next_close_continuation_bonus|d30|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|delayed_next_close_continuation_bonus|d30|none_no_stop_reference,30,9.9379,9.9379,7.8498,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,6658,聯策,20260422,84.9,20260603,203.0,fixed_future_close,139.1048,139.1048,80.0,2,episode_first_match_once|base_close_confirmed|d30|ma20_ema23_close_stop_4d;episode_first_match_once|base_close_confirmed|d30|none_no_stop_reference,30,9.988,9.988,9.9548,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-08-23 01:27:13 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v2_20260822,5464,霖宏,20260421,32.0,20260602,76.3,fixed_future_close,138.4375,138.4375,80.0,4,episode_first_match_once|base_close_confirmed|d30|ma20_ema23_close_stop_4d;episode_first_match_once|base_close_confirmed|d30|none_no_stop_reference;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|ma20_ema23_close_stop_4d;rearm_after_realized_exit_next_trade_day|base_close_confirmed|d30|none_no_stop_reference,30,9.9685,9.9685,9.9685,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
